amt,close,high,low,open,date
,997.1893,1005.0072,995.3714,999.5135,2015-01-09
,999.5614,1007.7739,998.1222,1002.2404,2015-01-12
,981.2228,996.5814,980.5351,996.5814,2015-01-13
,966.6934,981.3882,961.6902,978.3763,2015-01-14
,970.9392,974.9538,968.5273,969.199,2015-01-15
,972.9485,977.3657,965.6429,972.0694,2015-01-16
,976.7518,984.767,966.2928,970.2356,2015-01-19
,973.7798,980.8939,969.1632,975.1392,2015-01-20
,959.1806,980.4913,955.782,974.2542,2015-01-21
,964.3174,966.2848,953.7648,961.4171,2015-01-22
,965.8583,967.7798,959.2105,964.2855,2015-01-23
,979.4468,979.4468,958.0962,963.6377,2015-01-26
,976.7379,992.0088,974.9359,981.5178,2015-01-27
,981.5698,983.1245,971.9001,971.9001,2015-01-28
,966.3786,981.791,964.9793,980.89,2015-01-29
,966.5919,970.0145,960.9728,965.0032,2015-01-30
,959.6293,971.8643,958.499,966.3866,2015-02-02
,975.6436,975.6436,958.4432,959.8505,2015-02-03
,972.245,981.9366,969.4863,975.9446,2015-02-04
,979.0283,984.5399,971.0909,971.352,2015-02-05
,978.0815,983.898,974.7447,983.898,2015-02-06
,977.8065,991.1956,975.8152,990.9425,2015-02-09
,976.3374,981.719,974.685,976.73,2015-02-10
,966.8033,976.2657,965.2386,975.6178,2015-02-11
,960.4386,969.8531,960.1775,966.2193,2015-02-12
,965.609,969.815,956.336,959.751,2015-02-13
,965.6253,971.3322,963.9568,964.9376,2015-02-16
,963.7575,969.0079,958.4771,965.8306,2015-02-17
,984.498,985.6681,951.9629,958.9356,2015-02-25
,982.3492,988.1976,978.522,986.3239,2015-02-26
,1002.0573,1003.4167,981.4802,981.8908,2015-02-27
,1009.43,1010.37,998.517,1001.6,2015-03-02
,1004.4672,1008.2705,997.052,1008.2705,2015-03-03
,996.9046,1015.59,994.7936,1003.7795,2015-03-04
,991.9073,995.4494,987.5917,993.8687,2015-03-05
,972.1135,998.3497,970.9355,993.2587,2015-03-06
,966.1236,973.1261,962.2804,964.0744,2015-03-09
,967.6765,972.0618,964.6386,967.2618,2015-03-10
,972.3908,974.6352,965.0134,967.6685,2015-03-11
,971.2286,981.6218,967.9636,976.802,2015-03-12
,968.6054,973.9097,961.9657,970.0904,2015-03-13
,977.2067,978.606,968.131,971.0951,2015-03-16
,975.1834,978.3688,971.2307,975.3808,2015-03-17
,974.4618,976.2797,967.0965,975.2153,2015-03-18
,968.438,985.2198,968.2008,974.9921,2015-03-19
,969.6719,971.5376,965.3404,968.43,2015-03-20
,971.8306,973.6964,965.8228,971.1908,2015-03-23
,968.4038,977.4115,968.1019,975.3529,2015-03-24
,942.5406,968.7887,937.5424,967.6199,2015-03-25
,946.28,951.1458,941.3223,941.3223,2015-03-26
,950.798,952.6748,945.6162,946.9173,2015-03-27
,945.7715,955.1324,943.8877,950.8404,2015-03-30
,950.9869,951.3718,938.3369,946.1706,2015-03-31
,939.5921,952.7719,939.5639,951.1476,2015-04-01
,1028.6505,1062.9975,1021.3629,1059.6926,2015-04-02
,899.1385,911.0964,897.0446,908.5276,2015-04-03
,883.3998,894.6793,880.1583,892.4733,2015-04-07
,886.1955,888.8768,881.5104,881.5104,2015-04-08
,1000.7192,1005.1963,996.5145,996.5145,2015-04-09
,905.4237,909.1139,886.3025,886.3025,2015-04-10
,909.4024,910.4564,900.402,905.2576,2015-04-13
,909.7966,919.1431,904.9749,909.4844,2015-04-14
,909.0482,911.3811,902.8383,907.5566,2015-04-15
,902.2213,915.2853,898.3879,910.2932,2015-04-16
,921.8251,925.8998,903.2206,904.1926,2015-04-17
,919.2006,932.7334,917.7164,924.1743,2015-04-20
,920.6575,926.7604,914.9348,916.7991,2015-04-21
,924.3315,925.3035,916.3917,916.3917,2015-04-22
,926.032,928.5428,917.7187,923.3049,2015-04-23
,925.7611,931.5407,921.1151,930.1908,2015-04-24
,924.7618,928.3789,918.0648,924.0311,2015-04-27
,935.7475,943.6327,923.3846,924.6002,2015-04-28
,933.1548,936.5011,931.2108,936.0184,2015-04-29
,925.6061,934.532,916.1252,934.532,2015-04-30
,924.6408,931.3377,923.6599,923.6599,2015-05-04
,934.3585,936.3276,919.9424,925.2895,2015-05-05
,930.7414,939.8924,929.4985,935.952,2015-05-06
,930.1244,935.9313,924.5588,929.3642,2015-05-07
,915.7607,928.6631,913.0882,927.6114,2015-05-08
,907.3654,915.7902,903.2361,915.1414,2015-05-11
,909.5301,,,,2015-05-12
,907.643,,,,2015-05-13
,921.3033,921.3033,897.3606,905.1868,2015-05-14
,926.9442,927.5656,920.3587,922.5735,2015-05-15
,923.9987,929.1819,923.4865,927.5656,2015-05-18
,909.9375,924.0533,909.9102,924.0533,2015-05-19
,902.3232,911.9863,901.836,904.1055,2015-05-20
,905.9949,911.0416,902.783,902.783,2015-05-21
,909.9604,911.8771,897.6521,905.9949,2015-05-22
,890.2975,906.3684,885.3349,906.3684,2015-05-25
,884.0264,896.3162,883.9991,892.4851,2015-05-26
,889.0074,889.0074,875.7655,881.4336,2015-05-27
,891.361,892.9522,886.9313,890.0658,2015-05-28
,889.772,891.0127,884.9098,889.1211,2015-05-29
,889.262,901.6249,887.4819,889.6126,2015-06-01
,888.1328,890.8828,885.1873,888.2354,2015-06-02
,877.5729,894.1766,877.1678,888.1601,2015-06-03
,871.2789,874.7913,864.0174,874.7913,2015-06-04
,867.867,871.6819,866.9835,870.5505,2015-06-05
,867.9216,871.0951,860.0888,864.1384,2015-06-08
,875.9389,878.1789,870.1091,870.2981,2015-06-09
,870.8081,880.3937,870.3756,878.9368,2015-06-10
,872.1875,876.0208,870.0272,871.8325,2015-06-11
,856.0982,875.0968,854.3704,870.9719,2015-06-12
