amt,close,high,low,open,date
2750167260.0,224.3,230.99,223.0,230.99,2008-01-09
1188119100.0,216.2,224.0,215.63,224.0,2008-01-10
677813500.0,218.03,219.97,216.5,218.58,2008-01-11
447724220.0,220.32,220.47,217.63,219.0,2008-01-14
366166660.0,224.26,224.82,220.56,220.66,2008-01-15
526650540.0,216.3,222.0,216.11,222.0,2008-01-16
187241040.0,216.8,217.39,212.97,212.97,2008-01-17
188730420.0,214.7,215.0,205.0,205.0,2008-01-18
83503140.0,213.75,216.47,213.75,214.6,2008-01-21
189924500.0,206.68,211.94,205.11,206.6,2008-01-22
193635380.0,213.0,215.71,210.64,215.71,2008-01-23
116886500.0,216.55,216.9,212.66,213.61,2008-01-24
236267320.0,219.81,221.11,218.41,219.21,2008-01-25
88638240.0,219.85,221.67,219.2,219.9,2008-01-28
81745180.0,222.71,224.0,222.71,223.8,2008-01-29
93721680.0,220.16,221.98,220.01,221.0,2008-01-30
75086460.0,219.8,220.78,218.5,219.0,2008-01-31
42614780.0,218.8,220.75,218.8,220.5,2008-02-01
60460300.0,215.8,216.76,215.11,215.11,2008-02-04
31461200.0,216.0,216.0,215.13,215.5,2008-02-05
23623280.0,214.05,216.01,214.0,216.01,2008-02-13
25435520.0,216.54,217.68,214.8,215.67,2008-02-14
27659440.0,216.5,216.79,215.56,216.0,2008-02-15
33585640.0,215.85,216.0,214.5,215.0,2008-02-18
59497100.0,218.2,218.2,215.6,215.99,2008-02-19
164159960.0,219.98,223.18,212.5,221.0,2008-02-20
86033960.0,223.7,223.96,221.6,222.78,2008-02-21
140057960.0,222.58,224.02,221.85,222.88,2008-02-22
91646960.0,225.57,225.57,223.11,223.11,2008-02-25
136639480.0,219.85,223.0,219.11,222.99,2008-02-26
96784600.0,224.38,227.01,223.02,224.01,2008-02-27
62452440.0,223.68,225.01,223.68,225.01,2008-02-28
96295520.0,225.72,226.9,225.31,226.9,2008-02-29
96612780.0,229.0,229.89,226.45,226.45,2008-03-03
47961180.0,227.15,229.98,226.96,229.03,2008-03-04
49361260.0,224.6,224.8,223.35,224.5,2008-03-05
96211200.0,227.99,228.83,227.0,228.0,2008-03-06
49059600.0,227.32,227.78,226.43,226.85,2008-03-07
52239700.0,225.05,226.52,224.45,226.52,2008-03-10
17545820.0,223.9,225.3,223.89,225.05,2008-03-11
18399000.0,223.91,225.05,223.8,224.8,2008-03-12
43820900.0,225.97,226.2,225.28,226.2,2008-03-13
59121240.0,227.4,227.98,226.86,227.3,2008-03-14
119978900.0,232.45,233.7,230.99,230.99,2008-03-17
52164080.0,227.3,227.99,225.0,225.0,2008-03-18
52325820.0,225.7,226.59,225.35,226.59,2008-03-19
174412240.0,214.4,214.66,214.26,214.27,2008-03-20
164259980.0,209.85,210.38,203.54,208.01,2008-03-21
87550800.0,207.18,209.8,206.5,209.8,2008-03-24
67921160.0,210.51,211.56,208.5,208.5,2008-03-25
23816420.0,211.7,213.66,211.7,212.16,2008-03-26
54716560.0,213.11,214.8,213.1,214.8,2008-03-27
31389500.0,211.85,213.0,211.3,212.5,2008-03-28
40157300.0,209.02,209.45,207.83,207.83,2008-03-31
92982100.0,202.85,206.8,198.69,206.8,2008-04-01
126295060.0,199.0,202.04,198.12,200.5,2008-04-02
81895560.0,202.18,202.18,200.51,202.0,2008-04-03
76033540.0,204.88,205.03,203.66,203.66,2008-04-07
59259960.0,204.51,207.18,203.7,207.18,2008-04-08
33778500.0,203.19,204.6,202.5,204.51,2008-04-09
50852420.0,207.1,207.1,206.33,206.55,2008-04-10
62655760.0,204.05,205.5,203.1,205.5,2008-04-11
64213060.0,204.63,204.64,202.0,202.18,2008-04-14
28121280.0,207.55,207.9,205.11,205.86,2008-04-15
23104980.0,206.49,207.1,205.12,206.64,2008-04-16
82061920.0,209.55,210.24,208.54,209.1,2008-04-17
38035320.0,209.0,209.47,208.5,209.21,2008-04-18
59656140.0,203.5,205.67,203.38,204.33,2008-04-21
43489160.0,203.17,203.67,202.8,202.8,2008-04-22
41591560.0,203.9,204.9,203.42,204.9,2008-04-23
64554240.0,201.61,203.28,200.56,200.56,2008-04-24
81313680.0,199.2,200.0,199.0,200.0,2008-04-25
54889960.0,200.58,201.28,199.6,199.9,2008-04-28
45526660.0,199.7,200.3,199.25,199.6,2008-04-29
47485620.0,197.5,197.5,192.03,196.91,2008-04-30
50381340.0,195.18,195.91,194.42,195.76,2008-05-05
68752800.0,196.2,197.25,195.69,197.25,2008-05-06
41939440.0,195.1,196.75,195.1,196.75,2008-05-07
25594280.0,193.75,194.79,193.5,193.5,2008-05-08
56647120.0,197.07,197.19,194.88,194.88,2008-05-09
38734880.0,197.01,198.27,197.0,197.99,2008-05-12
20854480.0,196.4,197.19,196.4,196.71,2008-05-13
24089700.0,194.5,195.23,193.91,194.68,2008-05-14
20179820.0,194.97,194.97,193.11,194.39,2008-05-15
52377420.0,197.29,197.3,196.26,197.22,2008-05-16
101277500.0,202.25,202.68,199.99,201.21,2008-05-19
62537900.0,202.55,202.7,200.99,200.99,2008-05-20
56727560.0,204.11,204.56,202.5,202.5,2008-05-21
61163020.0,206.9,208.2,205.88,208.17,2008-05-22
24827200.0,203.55,204.04,203.08,203.08,2008-05-23
145370440.0,206.4,206.42,205.19,205.93,2008-05-26
26040520.0,206.12,207.56,205.95,207.5,2008-05-27
17007360.0,203.0,203.0,201.1,201.1,2008-05-28
69281500.0,200.05,201.95,200.05,201.27,2008-05-29
29831080.0,195.2,197.27,195.0,196.4,2008-05-30
10250800.0,196.07,197.9,196.07,197.9,2008-06-02
20675860.0,199.63,199.63,197.7,197.7,2008-06-03
7038700.0,195.55,195.97,195.23,195.5,2008-06-04
5869460.0,196.11,196.14,195.31,195.31,2008-06-05
22813780.0,196.87,197.08,195.99,197.07,2008-06-06
17776200.0,197.62,198.1,196.87,196.87,2008-06-10
9318060.0,194.41,194.41,193.55,193.69,2008-06-11
7777060.0,193.46,195.06,193.0,195.06,2008-06-12
30947240.0,193.0,194.0,193.0,194.0,2008-06-13
15060300.0,192.66,193.66,192.0,192.9,2008-06-16
21108840.0,196.5,196.5,194.0,195.24,2008-06-17
11731860.0,196.2,196.26,186.93,186.93,2008-06-18
16220220.0,198.02,198.07,196.3,196.3,2008-06-19
7963820.0,199.7,199.77,198.14,198.8,2008-06-20
14030940.0,200.9,201.19,200.0,200.0,2008-06-23
6327340.0,197.09,209.3,195.9,209.3,2008-06-24
11860860.0,197.4,200.0,197.21,200.0,2008-06-25
13804280.0,197.0,197.97,197.0,197.3,2008-06-26
17360580.0,201.5,203.0,200.99,202.0,2008-06-27
40057940.0,204.7,204.96,203.0,203.0,2008-06-30
7315280.0,203.93,203.93,202.7,203.35,2008-07-01
9092280.0,206.98,206.99,205.68,205.68,2008-07-02
19084020.0,208.3,208.3,206.84,207.0,2008-07-03
4526500.0,205.9,205.97,205.15,205.15,2008-07-04
5709440.0,204.71,204.71,203.75,204.45,2008-07-07
14313520.0,204.6,204.6,204.21,204.5,2008-07-08
5266280.0,202.7,203.93,201.98,201.98,2008-07-09
2042080.0,204.0,204.5,204.0,204.06,2008-07-10
23562820.0,207.19,207.2,205.95,205.95,2008-07-11
14348940.0,211.11,211.11,210.47,211.0,2008-07-14
7223360.0,212.98,212.98,212.17,212.3,2008-07-15
17442260.0,219.73,219.73,211.0,211.0,2008-07-16
3376140.0,210.81,211.78,210.31,211.24,2008-07-17
2948620.0,211.72,211.72,210.37,210.48,2008-07-18
2941380.0,210.6,210.6,210.0,210.0,2008-07-21
25950880.0,213.2,213.5,206.55,212.16,2008-07-22
9105980.0,206.06,208.47,206.01,207.82,2008-07-23
2014080.0,201.51,201.51,201.3,201.42,2008-07-24
2864180.0,205.49,205.49,203.8,203.9,2008-07-25
406320.0,203.16,203.16,203.16,203.16,2008-07-28
1224600.0,204.1,204.1,204.1,204.1,2008-07-29
,204.1,,,,2008-07-30
1217740.0,203.4,203.4,202.61,202.61,2008-07-31
401800.0,200.9,200.9,200.9,200.9,2008-08-01
810660.0,203.83,203.83,201.5,201.5,2008-08-04
2763960.0,197.5,199.0,196.8,196.8,2008-08-05
,197.5,,,,2008-08-06
1180980.0,197.0,197.0,196.5,196.5,2008-08-07
389000.0,194.5,194.5,194.5,194.5,2008-08-08
764040.0,191.01,191.01,191.01,191.01,2008-08-11
365640.0,182.82,182.82,182.82,182.82,2008-08-12
1799440.0,180.5,180.6,179.02,180.6,2008-08-13
2204020.0,185.0,185.0,180.6,180.6,2008-08-14
2823600.0,177.0,177.0,176.0,176.0,2008-08-15
3218300.0,179.8,181.2,177.45,177.45,2008-08-18
,179.8,,,,2008-08-19
715140.0,187.72,187.72,169.85,169.85,2008-08-20
1093180.0,182.5,183.48,180.61,183.48,2008-08-21
1845280.0,184.3,185.34,183.66,184.05,2008-08-22
364000.0,182.0,182.0,182.0,182.0,2008-08-25
722900.0,181.52,181.52,179.93,179.93,2008-08-26
,181.52,,,,2008-08-27
,181.52,,,,2008-08-28
363200.0,181.6,181.6,181.6,181.6,2008-08-29
,181.6,,,,2008-09-01
,181.6,,,,2008-09-02
718000.0,179.0,180.0,179.0,180.0,2008-09-03
717960.0,179.49,179.49,179.49,179.49,2008-09-04
352100.0,176.05,176.05,176.05,176.05,2008-09-05
,176.05,,,,2008-09-08
710380.0,178.39,178.39,176.8,176.8,2008-09-09
,178.39,,,,2008-09-10
,178.39,,,,2008-09-11
,178.39,,,,2008-09-12
,178.39,,,,2008-09-16
4167660.0,173.21,174.82,173.06,173.06,2008-09-17
364660.0,182.33,182.33,182.33,182.33,2008-09-18
2624740.0,186.55,187.99,186.55,187.34,2008-09-19
6465660.0,190.98,191.3,188.27,191.1,2008-09-22
,190.98,,,,2008-09-23
777600.0,195.1,195.1,193.7,193.7,2008-09-24
788980.0,196.99,197.5,196.99,197.5,2008-09-25
788000.0,195.0,199.0,195.0,199.0,2008-09-26
,195.0,,,,2008-10-06
11974220.0,192.1,196.31,190.1,196.21,2008-10-07
,192.1,,,,2008-10-08
775600.0,186.9,200.9,186.9,200.9,2008-10-09
805800.0,201.45,201.45,201.45,201.45,2008-10-10
,201.45,,,,2008-10-13
806320.0,194.32,208.84,194.32,208.84,2008-10-14
1537640.0,191.5,194.32,191.5,194.32,2008-10-15
13535845620.0,178.99,185.49,177.1,184.5,2008-10-16
8712238160.0,176.64,177.8,173.6,176.0,2008-10-17
10281305480.0,177.14,177.6,172.61,175.0,2008-10-20
7894400340.0,172.72,176.3,172.33,176.0,2008-10-21
5988757400.0,165.35,169.33,165.35,169.0,2008-10-22
6558564060.0,159.3,159.98,155.44,155.44,2008-10-23
16125733720.0,148.9,159.5,148.89,158.0,2008-10-24
15036834000.0,156.59,160.65,152.14,160.3,2008-10-27
10281723620.0,163.98,164.4,155.0,159.01,2008-10-28
3519783220.0,163.75,164.0,160.51,164.0,2008-10-29
3207074940.0,168.3,168.6,165.6,167.0,2008-10-30
1543346520.0,159.11,160.69,159.09,159.21,2008-10-31
