amt,close,high,low,open,date
1897900.0,2320.0,2336.0,2294.0,2309.0,2015-01-05
2977100.0,2323.0,2336.0,2318.0,2323.0,2015-01-06
1422200.0,2294.0,2310.0,2269.0,2310.0,2015-01-07
2065400.0,2291.0,2305.0,2278.0,2296.0,2015-01-08
137700.0,2302.0,2302.0,2280.0,2302.0,2015-01-09
2110400.0,2296.0,2307.0,2255.0,2255.0,2015-01-12
1376100.0,2296.0,2306.0,2281.0,2281.0,2015-01-13
0.0,2293.0,,,,2015-01-14
2147000.0,2283.0,2294.0,2276.0,2278.0,2015-01-15
1418700.0,2285.0,2303.0,2278.0,2290.0,2015-01-16
506396400.0,2415.0,2415.0,2408.0,2409.0,2015-01-19
260480800.0,2412.0,2417.0,2411.0,2415.0,2015-01-20
642231300.0,2415.0,2423.0,2411.0,2413.0,2015-01-21
229955700.0,2419.0,2419.0,2414.0,2414.0,2015-01-22
296893500.0,2415.0,2421.0,2414.0,2417.0,2015-01-23
480338200.0,2425.0,2426.0,2413.0,2415.0,2015-01-26
652681500.0,2423.0,2433.0,2422.0,2426.0,2015-01-27
383238900.0,2423.0,2424.0,2415.0,2421.0,2015-01-28
227546000.0,2423.0,2428.0,2418.0,2428.0,2015-01-29
261038700.0,2424.0,2429.0,2420.0,2424.0,2015-01-30
471108600.0,2419.0,2426.0,2412.0,2424.0,2015-02-02
448128600.0,2430.0,2431.0,2416.0,2418.0,2015-02-03
1232518400.0,2445.0,2446.0,2432.0,2433.0,2015-02-04
1909374600.0,2439.0,2467.0,2437.0,2442.0,2015-02-05
294772600.0,2450.0,2452.0,2438.0,2442.0,2015-02-06
349978000.0,2456.0,2460.0,2445.0,2450.0,2015-02-09
346823700.0,2467.0,2500.0,2442.0,2500.0,2015-02-10
216964900.0,2467.0,2468.0,2458.0,2465.0,2015-02-11
409030900.0,2459.0,2470.0,2459.0,2465.0,2015-02-12
314790500.0,2468.0,2470.0,2455.0,2458.0,2015-02-13
330214700.0,2468.0,2469.0,2460.0,2465.0,2015-02-16
290068900.0,2465.0,2470.0,2465.0,2469.0,2015-02-17
307663600.0,2472.0,2485.0,2465.0,2465.0,2015-02-25
246808400.0,2468.0,2471.0,2460.0,2471.0,2015-02-26
439610900.0,2480.0,2481.0,2466.0,2468.0,2015-02-27
308573300.0,2481.0,2492.0,2477.0,2484.0,2015-03-02
295737000.0,2480.0,2482.0,2474.0,2480.0,2015-03-03
427091200.0,2496.0,2496.0,2481.0,2482.0,2015-03-04
338370100.0,2483.0,2493.0,2482.0,2490.0,2015-03-05
179267800.0,2479.0,2491.0,2479.0,2483.0,2015-03-06
271287300.0,2481.0,2490.0,2477.0,2478.0,2015-03-09
590294400.0,2493.0,2499.0,2480.0,2481.0,2015-03-10
297823000.0,2488.0,2497.0,2484.0,2492.0,2015-03-11
208652200.0,2485.0,2490.0,2481.0,2488.0,2015-03-12
182165700.0,2483.0,2489.0,2482.0,2484.0,2015-03-13
0.0,2514.0,,,,2015-03-16
0.0,2514.0,,,,2015-03-17
250200.0,2502.0,2502.0,2501.0,2501.0,2015-03-18
348300.0,2464.0,2500.0,2464.0,2500.0,2015-03-19
