amt,close,high,low,open,date
120471900.0,1000.0,1000.0,1000.0,1000.0,1999-01-04
117306500.0,998.6595,998.6595,998.6595,998.6595,1999-01-05
136920300.0,1006.7024,1006.7024,1006.7024,1006.7024,1999-01-06
90591500.0,1005.3619,1005.3619,1005.3619,1005.3619,1999-01-07
36063300.0,1006.7024,1006.7024,1006.7024,1006.7024,1999-01-08
71443900.0,1005.3619,1005.3619,1005.3619,1005.3619,1999-01-11
68240200.0,998.6595,998.6595,998.6595,998.6595,1999-01-12
26901000.0,997.319,997.319,997.319,997.319,1999-01-13
19577100.0,998.6595,998.6595,998.6595,998.6595,1999-01-14
33870200.0,993.2976,993.2976,993.2976,993.2976,1999-01-15
13534400.0,995.9786,995.9786,995.9786,995.9786,1999-01-18
32492000.0,998.6596,998.6596,998.6596,998.6596,1999-01-19
19764200.0,998.6596,998.6596,998.6596,998.6596,1999-01-20
13329500.0,998.6596,998.6596,998.6596,998.6596,1999-01-21
129068100.0,998.6596,998.6596,998.6596,998.6596,1999-01-22
79031900.0,1000.0001,1000.0001,1000.0001,1000.0001,1999-01-25
53059400.0,1001.3406,1001.3406,1001.3406,1001.3406,1999-01-26
48130100.0,1010.724,1010.724,1010.724,1010.724,1999-01-27
21171700.0,1006.7026,1006.7026,1006.7026,1006.7026,1999-01-28
42570100.0,1002.6812,1002.6812,1002.6812,1002.6812,1999-01-29
43894600.0,998.6598,998.6598,998.6598,998.6598,1999-02-01
99553500.0,994.6384,994.6384,994.6384,994.6384,1999-02-02
19298000.0,993.2979,993.2979,993.2979,993.2979,1999-02-03
66065800.0,971.8502,971.8502,971.8502,971.8502,1999-02-04
62959200.0,961.1263,961.1263,961.1263,961.1263,1999-02-05
48862900.0,963.7381,963.7381,963.7381,963.7381,1999-02-08
15865900.0,963.7381,963.7381,963.7381,963.7381,1999-02-09
24566400.0,961.1263,961.1263,961.1263,961.1263,1999-03-01
14307000.0,959.8204,959.8204,959.8204,959.8204,1999-03-02
11692500.0,963.738,963.738,963.738,963.738,1999-03-03
15279700.0,968.9615,968.9615,968.9615,968.9615,1999-03-04
8710700.0,963.745,963.745,963.745,963.745,1999-03-05
28594600.0,957.2244,957.2244,957.2244,957.2244,1999-03-08
18128700.0,957.2244,957.2244,957.2244,957.2244,1999-03-09
7035300.0,955.9203,955.9203,955.9203,955.9203,1999-03-10
18500900.0,954.6162,954.6162,954.6162,954.6162,1999-03-11
9539500.0,955.9203,955.9203,955.9203,955.9203,1999-03-12
15588300.0,959.8327,959.8327,959.8327,959.8327,1999-03-15
13285500.0,952.008,952.008,952.008,952.008,1999-03-16
30837000.0,945.4874,945.4874,945.4874,945.4874,1999-03-17
22118200.0,935.0544,935.0544,935.0544,935.0544,1999-03-18
20671500.0,925.9256,925.9256,925.9256,925.9256,1999-03-19
30031700.0,912.8844,912.8844,912.8844,912.8844,1999-03-22
16619400.0,912.8844,912.8844,912.8844,912.8844,1999-03-23
28203800.0,907.6679,907.6679,907.6679,907.6679,1999-03-24
10254900.0,910.2761,910.2761,910.2761,910.2761,1999-03-25
33167500.0,903.7555,903.7555,903.7555,903.7555,1999-03-26
4407100.0,908.972,908.972,908.972,908.972,1999-03-29
5490600.0,911.5802,911.5802,911.5802,911.5802,1999-03-30
15243000.0,903.7555,903.7555,903.7555,903.7555,1999-03-31
8873300.0,902.4514,902.4514,902.4514,902.4514,1999-04-01
19066800.0,906.3638,906.3638,906.3638,906.3638,1999-04-02
7805100.0,905.0597,905.0597,905.0597,905.0597,1999-04-05
6414200.0,905.0597,905.0597,905.0597,905.0597,1999-04-06
7622900.0,905.0597,905.0597,905.0597,905.0597,1999-04-07
17110400.0,893.3226,893.3226,893.3226,893.3226,1999-04-08
26440100.0,884.1938,884.1938,884.1938,884.1938,1999-04-09
14355000.0,885.4979,885.4979,885.4979,885.4979,1999-04-12
19201500.0,871.1526,871.1526,871.1526,871.1526,1999-04-13
14593600.0,862.0238,862.0238,862.0238,862.0238,1999-04-14
9275200.0,858.1114,858.1114,858.1114,858.1114,1999-04-15
13915200.0,859.4155,859.4155,859.4155,859.4155,1999-04-16
7174700.0,858.1114,858.1114,858.1114,858.1114,1999-04-19
8312400.0,871.1526,871.1526,871.1526,871.1526,1999-04-20
4588100.0,865.9361,865.9361,865.9361,865.9361,1999-04-21
7356800.0,865.9361,865.9361,865.9361,865.9361,1999-04-22
5264400.0,863.3279,863.3279,863.3279,863.3279,1999-04-23
536500.0,863.3279,863.3279,863.3279,863.3279,1999-04-26
5826800.0,867.2403,867.2403,867.2403,867.2403,1999-04-27
3460600.0,859.4156,859.4156,859.4156,859.4156,1999-04-28
5284800.0,862.0238,862.0238,862.0238,862.0238,1999-04-29
9655900.0,851.5908,851.5908,851.5908,851.5908,1999-04-30
7045600.0,851.5908,851.5908,851.5908,851.5908,1999-05-04
30932200.0,822.9001,822.9001,822.9001,822.9001,1999-05-05
5808200.0,826.8125,826.8125,826.8125,826.8125,1999-05-06
11711400.0,824.2043,824.2043,824.2043,824.2043,1999-05-07
20574400.0,845.0702,845.0702,845.0702,845.0702,1999-05-10
10715800.0,843.7661,843.7661,843.7661,843.7661,1999-05-11
5592900.0,841.1579,841.1579,841.1579,841.1579,1999-05-12
12532100.0,837.2455,837.2455,837.2455,837.2455,1999-05-13
16032600.0,828.1167,828.1167,828.1167,828.1167,1999-05-14
23304100.0,826.8126,826.8126,826.8126,826.8126,1999-05-17
7525500.0,820.292,820.292,820.292,820.292,1999-05-18
17842200.0,800.7302,800.7302,800.7302,800.7302,1999-05-19
4239000.0,802.0343,802.0343,802.0343,802.0343,1999-05-20
14201900.0,805.9467,805.9467,805.9467,805.9467,1999-05-21
10150500.0,800.7302,800.7302,800.7302,800.7302,1999-05-24
4038600.0,803.2522,803.2522,803.2522,803.2522,1999-05-25
5883800.0,802.6217,802.6217,802.6217,802.6217,1999-05-26
8334900.0,799.4692,799.4692,799.4692,799.4692,1999-05-27
9083800.0,801.9912,801.9912,801.9912,801.9912,1999-05-28
6077700.0,800.7302,800.7302,800.7302,800.7302,1999-05-31
4650500.0,800.7302,800.7302,800.7302,800.7302,1999-06-01
5354000.0,800.7302,800.7302,800.7302,800.7302,1999-06-02
7639300.0,795.6862,795.6862,795.6862,795.6862,1999-06-03
4548800.0,801.3607,801.3607,801.3607,801.3607,1999-06-04
8771300.0,800.7302,800.7302,800.7302,800.7302,1999-06-07
3054700.0,800.7302,800.7302,800.7302,800.7302,1999-06-08
6315100.0,800.7302,800.7302,800.7302,800.7302,1999-06-09
9425000.0,812.0258,812.0258,812.0258,812.0258,1999-06-10
8170700.0,803.8679,803.8679,803.8679,803.8679,1999-06-11
2935000.0,814.5359,814.5359,814.5359,814.5359,1999-06-14
4032200.0,808.2606,808.2606,808.2606,808.2606,1999-06-15
6375800.0,800.7302,800.7302,800.7302,800.7302,1999-06-16
7086700.0,795.7099,795.7099,795.7099,795.7099,1999-06-17
1279200.0,794.4548,794.4548,794.4548,794.4548,1999-06-18
3243800.0,795.7099,795.7099,795.7099,795.7099,1999-06-21
7689600.0,785.6694,785.6694,785.6694,785.6694,1999-06-22
5156000.0,778.139,778.139,778.139,778.139,1999-06-23
2557500.0,778.139,778.139,778.139,778.139,1999-06-24
6979800.0,778.139,778.139,778.139,778.139,1999-06-25
5782200.0,778.139,778.139,778.139,778.139,1999-06-28
8603000.0,778.139,778.139,778.139,778.139,1999-06-29
10879100.0,765.5884,765.5884,765.5884,765.5884,1999-06-30
4964800.0,776.884,776.884,776.884,776.884,1999-07-01
3386300.0,774.3739,774.3739,774.3739,774.3739,1999-07-02
3298200.0,765.5885,765.5885,765.5885,765.5885,1999-07-05
2395100.0,773.1189,773.1189,773.1189,773.1189,1999-07-06
1216500.0,776.8841,776.8841,776.8841,776.8841,1999-07-07
345800.0,776.8841,776.8841,776.8841,776.8841,1999-07-08
240200.0,776.8841,776.8841,776.8841,776.8841,1999-07-09
1800200.0,774.9815,774.9815,774.9815,774.9815,1999-07-12
4075100.0,773.7131,773.7131,773.7131,773.7131,1999-07-13
443800.0,768.6396,768.6396,768.6396,768.6396,1999-07-14
2151200.0,773.7131,773.7131,773.7131,773.7131,1999-07-15
3287900.0,777.5182,777.5182,777.5182,777.5182,1999-07-16
7797000.0,770.5421,770.5421,770.5421,770.5421,1999-07-19
9801500.0,767.3711,767.3711,767.3711,767.3711,1999-07-20
2563300.0,761.0292,761.0292,761.0292,761.0292,1999-07-21
6953000.0,755.3215,755.3215,755.3215,755.3215,1999-07-22
2329200.0,760.395,760.395,760.395,760.395,1999-07-23
3673800.0,765.4685,765.4685,765.4685,765.4685,1999-07-26
629700.0,767.3711,767.3711,767.3711,767.3711,1999-07-27
5948100.0,760.395,760.395,760.395,760.395,1999-07-28
8643600.0,758.4924,758.4924,758.4924,758.4924,1999-07-29
6852800.0,758.4924,758.4924,758.4924,758.4924,1999-07-30
2636700.0,758.4924,758.4924,758.4924,758.4924,1999-08-02
11693000.0,762.2975,762.2975,762.2975,762.2975,1999-08-03
760700.0,757.8582,757.8582,757.8582,757.8582,1999-08-04
2306000.0,760.395,760.395,760.395,760.395,1999-08-05
4181700.0,763.566,763.566,763.566,763.566,1999-08-06
14454100.0,771.8105,771.8105,771.8105,771.8105,1999-08-09
14073900.0,773.7131,773.7131,773.7131,773.7131,1999-08-10
18074500.0,767.3712,767.3712,767.3712,767.3712,1999-08-11
16463400.0,764.2002,764.2002,764.2002,764.2002,1999-08-12
10822300.0,760.4541,760.4541,760.4541,760.4541,1999-08-13
8587200.0,771.068,771.068,771.068,771.068,1999-08-16
6651300.0,764.2002,764.2002,764.2002,764.2002,1999-08-17
23904800.0,774.1897,774.1897,774.1897,774.1897,1999-08-18
19818400.0,784.8036,784.8036,784.8036,784.8036,1999-08-19
30347400.0,793.5445,793.5445,793.5445,793.5445,1999-08-20
21123100.0,801.661,801.661,801.661,801.661,1999-08-23
