amt,close,high,low,open,date
45816400.0,968.0,975.0,955.0,960.0,2013-10-18
4039800.0,960.0,966.0,956.0,965.0,2013-10-21
11413600.0,948.0,953.0,948.0,953.0,2013-10-22
16413200.0,940.0,947.0,940.0,947.0,2013-10-23
376000.0,940.0,940.0,940.0,940.0,2013-10-24
3549200.0,931.0,937.0,931.0,937.0,2013-10-25
371600.0,930.0,930.0,928.0,928.0,2013-10-28
185200.0,926.0,926.0,926.0,926.0,2013-10-29
0.0,926.0,,,,2013-10-30
0.0,926.0,,,,2013-10-31
567600.0,952.0,952.0,934.0,934.0,2013-11-01
380000.0,950.0,950.0,950.0,950.0,2013-11-04
381200.0,953.0,953.0,953.0,953.0,2013-11-05
0.0,953.0,,,,2013-11-06
0.0,951.0,,,,2013-11-07
0.0,950.0,,,,2013-11-08
1331200.0,954.0,954.0,947.0,947.0,2013-11-11
189800.0,949.0,949.0,949.0,949.0,2013-11-12
381800.0,956.0,956.0,953.0,953.0,2013-11-13
0.0,952.0,,,,2013-11-14
374800.0,941.0,941.0,933.0,933.0,2013-11-15
0.0,938.0,,,,2013-11-18
0.0,941.0,,,,2013-11-19
378400.0,946.0,946.0,946.0,946.0,2013-11-20
0.0,943.0,,,,2013-11-21
561800.0,935.0,939.0,935.0,939.0,2013-11-22
0.0,936.0,,,,2013-11-25
0.0,941.0,,,,2013-11-26
0.0,938.0,,,,2013-11-27
0.0,939.0,,,,2013-11-28
0.0,942.0,,,,2013-11-29
0.0,942.0,,,,2013-12-02
0.0,941.0,,,,2013-12-03
6083800.0,955.0,955.0,950.0,950.0,2013-12-04
2090600.0,950.0,953.0,950.0,953.0,2013-12-05
3980600.0,949.0,949.0,945.0,947.0,2013-12-06
0.0,947.0,,,,2013-12-09
0.0,947.0,,,,2013-12-10
0.0,944.0,,,,2013-12-11
0.0,942.0,,,,2013-12-12
3298600.0,919.0,921.0,910.0,914.0,2013-12-13
0.0,919.0,,,,2013-12-16
185800.0,929.0,929.0,929.0,929.0,2013-12-17
0.0,924.0,,,,2013-12-18
0.0,924.0,,,,2013-12-19
