amt,close,high,low,open,date
0.0,4467.0,,,,2015-01-05
0.0,4467.0,,,,2015-01-06
176000.0,4545.0,4545.0,4252.0,4252.0,2015-01-07
88000.0,4398.0,4398.0,4398.0,4398.0,2015-01-08
540000.0,4500.0,4500.0,4500.0,4500.0,2015-01-09
0.0,4500.0,,,,2015-01-12
270000.0,4500.0,4500.0,4500.0,4500.0,2015-01-13
722000.0,4533.0,4533.0,4500.0,4500.0,2015-01-14
89700.0,4484.0,4484.0,4484.0,4484.0,2015-01-15
90200.0,4510.0,4510.0,4510.0,4510.0,2015-01-16
1262700.0,4217.0,4221.0,4183.0,4183.0,2015-01-19
252100.0,4200.0,4202.0,4200.0,4202.0,2015-01-20
1181600.0,4192.0,4265.0,4192.0,4240.0,2015-01-21
3976100.0,4238.0,4260.0,4153.0,4155.0,2015-01-22
506500.0,4212.0,4231.0,4212.0,4227.0,2015-01-23
254300.0,4228.0,4247.0,4228.0,4247.0,2015-01-26
935000.0,4222.0,4313.0,4211.0,4313.0,2015-01-27
760600.0,4246.0,4246.0,4206.0,4219.0,2015-01-28
505600.0,4206.0,4219.0,4206.0,4207.0,2015-01-29
250900.0,4180.0,4199.0,4166.0,4166.0,2015-01-30
0.0,4188.0,,,,2015-02-02
168700.0,4233.0,4233.0,4200.0,4200.0,2015-02-03
1602400.0,4201.0,4253.0,4151.0,4240.0,2015-02-04
0.0,4216.0,,,,2015-02-05
0.0,4216.0,,,,2015-02-06
592700.0,4236.0,4236.0,4228.0,4229.0,2015-02-09
592600.0,4210.0,4244.0,4210.0,4221.0,2015-02-10
504300.0,4186.0,4223.0,4182.0,4182.0,2015-02-11
5580600.0,4209.0,4240.0,4184.0,4229.0,2015-02-12
504200.0,4201.0,4201.0,4201.0,4201.0,2015-02-13
0.0,4147.0,,,,2015-02-16
165600.0,4180.0,4180.0,4100.0,4100.0,2015-02-17
0.0,4180.0,,,,2015-02-25
165900.0,4147.0,4147.0,4147.0,4147.0,2015-02-26
763300.0,4289.0,4299.0,4180.0,4299.0,2015-02-27
251000.0,4270.0,4270.0,4120.0,4120.0,2015-03-02
0.0,4182.0,,,,2015-03-03
0.0,4182.0,,,,2015-03-04
0.0,4182.0,,,,2015-03-05
420600.0,4136.0,4250.0,4136.0,4250.0,2015-03-06
0.0,4171.0,,,,2015-03-09
0.0,4171.0,,,,2015-03-10
0.0,4171.0,,,,2015-03-11
163200.0,4060.0,4100.0,4060.0,4100.0,2015-03-12
1146200.0,3993.0,4260.0,3940.0,4260.0,2015-03-13
2501008100.0,4159.0,4165.0,4120.0,4133.0,2015-03-16
1619526300.0,4150.0,4168.0,4132.0,4151.0,2015-03-17
1914214700.0,4148.0,4156.0,4114.0,4150.0,2015-03-18
2908311200.0,4122.0,4198.0,4121.0,4150.0,2015-03-19
1952802500.0,4127.0,4135.0,4107.0,4122.0,2015-03-20
2014025600.0,4136.0,4145.0,4110.0,4133.0,2015-03-23
2421447700.0,4120.0,4163.0,4115.0,4137.0,2015-03-24
8260846400.0,3931.0,4115.0,3931.0,4112.0,2015-03-25
5221665600.0,3887.0,3944.0,3870.0,3920.0,2015-03-26
2408066900.0,3884.0,3917.0,3876.0,3883.0,2015-03-27
2570359100.0,3915.0,3927.0,3882.0,3883.0,2015-03-30
2254973700.0,3946.0,3949.0,3884.0,3930.0,2015-03-31
2094448200.0,3906.0,3973.0,3901.0,3948.0,2015-04-01
2360985500.0,3814.0,3924.0,3799.0,3920.0,2015-04-02
1219198500.0,3811.0,3860.0,3800.0,3802.0,2015-04-03
1449163160.0,3652.0,3776.0,3650.0,3761.0,2015-04-07
870115600.0,3675.0,3677.0,3632.0,3641.0,2015-04-08
718371500.0,3691.0,3699.0,3653.0,3673.0,2015-04-09
1096518800.0,3763.0,3788.0,3688.0,3705.0,2015-04-10
459191100.0,3777.0,3798.0,3738.0,3760.0,2015-04-13
556909700.0,3797.0,3815.0,3752.0,3777.0,2015-04-14
610091500.0,3796.0,3859.0,3607.0,3859.0,2015-04-15
1431000.0,3979.0,3984.0,3962.0,3971.0,2015-04-16
1596000.0,3997.0,4010.0,3984.0,3984.0,2015-04-17
320100.0,4000.0,4002.0,4000.0,4002.0,2015-04-20
320100.0,4000.0,4008.0,3995.0,3995.0,2015-04-21
239500.0,3991.0,3991.0,3991.0,3991.0,2015-04-22
480200.0,4007.0,4007.0,3977.0,4006.0,2015-04-23
321300.0,4016.0,4016.0,4015.0,4015.0,2015-04-24
319500.0,4000.0,4008.0,3981.0,4008.0,2015-04-27
1046300.0,4006.0,4049.0,3982.0,3982.0,2015-04-28
886900.0,4006.0,4050.0,4003.0,4049.0,2015-04-29
3842400.0,3983.0,4045.0,3968.0,3989.0,2015-04-30
5280500.0,3910.0,4016.0,3900.0,3970.0,2015-05-04
7482100.0,3909.0,3928.0,3820.0,3878.0,2015-05-05
1626900.0,3856.0,3923.0,3812.0,3860.0,2015-05-06
1844400.0,3884.0,3884.0,3802.0,3802.0,2015-05-07
2605300.0,3838.0,3849.0,3811.0,3843.0,2015-05-08
1738800.0,3776.0,3810.0,3740.0,3799.0,2015-05-11
2110300.0,3765.0,3809.0,3743.0,3780.0,2015-05-12
2513100.0,3625.0,3744.0,3617.0,3702.0,2015-05-13
2196800.0,3652.0,3696.0,3649.0,3649.0,2015-05-14
1767900.0,3659.0,3786.0,3658.0,3786.0,2015-05-15
2724083800.0,4455.0,4485.0,4452.0,4472.0,2015-05-18
4096088100.0,4380.0,4455.0,4380.0,4455.0,2015-05-19
3286773400.0,4341.0,4392.0,4338.0,4350.0,2015-05-20
2780382600.0,4360.0,4389.0,4341.0,4343.0,2015-05-21
5565858500.0,4382.0,4397.0,4317.0,4360.0,2015-05-22
5959266600.0,4284.0,4368.0,4254.0,4364.0,2015-05-25
4332684200.0,4255.0,4316.0,4255.0,4295.0,2015-05-26
4873423300.0,4287.0,4305.0,4206.0,4242.0,2015-05-27
2962548400.0,4297.0,4310.0,4275.0,4290.0,2015-05-28
2289314900.0,4287.0,4294.0,4253.0,4285.0,2015-05-29
4476021600.0,4283.0,4349.0,4273.0,4285.0,2015-06-01
3072136500.0,4275.0,4293.0,4260.0,4278.0,2015-06-02
4836757100.0,4222.0,4308.0,4220.0,4275.0,2015-06-03
6935740000.0,4191.0,4208.0,4152.0,4208.0,2015-06-04
2605711900.0,4178.0,4194.0,4170.0,4187.0,2015-06-05
3569193600.0,4178.0,4200.0,4135.0,4160.0,2015-06-08
4106479600.0,4220.0,4233.0,4188.0,4190.0,2015-06-09
2945023900.0,4194.0,4245.0,4191.0,4235.0,2015-06-10
2574599300.0,4200.0,4220.0,4188.0,4200.0,2015-06-11
5719033700.0,4116.0,4218.0,4106.0,4194.0,2015-06-12
561900.0,4012.0,4014.0,4012.0,4013.0,2015-06-15
81000.0,4049.0,4049.0,4049.0,4049.0,2015-06-16
962600.0,4000.0,4030.0,4000.0,4030.0,2015-06-17
951900.0,3975.0,4010.0,3933.0,4010.0,2015-06-18
0.0,3965.0,,,,2015-06-19
159900.0,3995.0,3996.0,3995.0,3996.0,2015-06-23
0.0,3995.0,,,,2015-06-24
242500.0,4047.0,4047.0,4028.0,4028.0,2015-06-25
322400.0,4000.0,4059.0,4000.0,4059.0,2015-06-26
399800.0,3982.0,4025.0,3980.0,4025.0,2015-06-29
867700.0,3959.0,3965.0,3929.0,3960.0,2015-06-30
874200.0,3988.0,3988.0,3938.0,3938.0,2015-07-01
552500.0,3967.0,3967.0,3924.0,3945.0,2015-07-02
159300.0,3980.0,3983.0,3980.0,3983.0,2015-07-03
1751800.0,3978.0,4019.0,3932.0,4017.0,2015-07-06
1035500.0,3943.0,3999.0,3940.0,3999.0,2015-07-07
3894400.0,3801.0,3900.0,3786.0,3900.0,2015-07-08
2361700.0,3920.0,3998.0,3876.0,3948.0,2015-07-09
1354000.0,3931.0,4017.0,3931.0,3965.0,2015-07-10
318600.0,3989.0,3991.0,3962.0,3962.0,2015-07-13
5939700.0,4047.0,4108.0,4035.0,4060.0,2015-07-14
324800.0,4059.0,4059.0,4059.0,4059.0,2015-07-15
79900.0,3995.0,3995.0,3995.0,3995.0,2015-07-16
407200.0,4094.0,4115.0,4017.0,4115.0,2015-07-17
1376500.0,4093.0,4099.0,3935.0,4008.0,2015-07-20
657200.0,4119.0,4150.0,4056.0,4150.0,2015-07-21
0.0,4107.0,,,,2015-07-22
1072300.0,4128.0,4129.0,4101.0,4127.0,2015-07-23
3583400.0,4188.0,4188.0,4150.0,4150.0,2015-07-24
1084400.0,4179.0,4181.0,4139.0,4180.0,2015-07-27
1337100.0,4194.0,4194.0,4155.0,4161.0,2015-07-28
250400.0,4172.0,4175.0,4172.0,4175.0,2015-07-29
581700.0,4151.0,4170.0,4150.0,4151.0,2015-07-30
999700.0,4140.0,4171.0,4140.0,4164.0,2015-07-31
910500.0,4110.0,4198.0,4016.0,4195.0,2015-08-03
0.0,4138.0,,,,2015-08-04
977900.0,4069.0,4138.0,4005.0,4005.0,2015-08-05
1769700.0,4048.0,4048.0,4012.0,4012.0,2015-08-06
2243700.0,3982.0,4044.0,3978.0,4035.0,2015-08-07
320600.0,4010.0,4010.0,4004.0,4004.0,2015-08-10
1043000.0,4000.0,4052.0,4000.0,4052.0,2015-08-11
2588700.0,4013.0,4210.0,3992.0,4001.0,2015-08-12
563700.0,4044.0,4119.0,3980.0,4119.0,2015-08-13
5224100.0,4003.0,4109.0,3874.0,4109.0,2015-08-14
2221800.0,3950.0,4000.0,3950.0,4000.0,2015-08-17
1027800.0,3946.0,3999.0,3934.0,3999.0,2015-08-18
2057200.0,3970.0,3972.0,3931.0,3931.0,2015-08-19
2147000.0,3967.0,3998.0,3954.0,3985.0,2015-08-20
1275500.0,3976.0,4000.0,3975.0,3989.0,2015-08-21
4504700.0,3953.0,3997.0,3810.0,3851.0,2015-08-24
1669200.0,3949.0,4037.0,3933.0,3985.0,2015-08-25
9502800.0,3901.0,3989.0,3885.0,3970.0,2015-08-26
6250400.0,3885.0,3937.0,3851.0,3851.0,2015-08-27
3110600.0,3856.0,3949.0,3852.0,3873.0,2015-08-28
6528900.0,3710.0,3880.0,3710.0,3865.0,2015-08-31
8105700.0,3730.0,3853.0,3730.0,3762.0,2015-09-01
5489400.0,3761.0,3786.0,3740.0,3766.0,2015-09-02
1871200.0,3728.0,3769.0,3723.0,3766.0,2015-09-07
1201300.0,3769.0,3776.0,3725.0,3747.0,2015-09-08
7550500.0,3728.0,3819.0,3725.0,3800.0,2015-09-09
5418300.0,3790.0,3813.0,3680.0,3721.0,2015-09-10
5772700.0,3796.0,3815.0,3762.0,3762.0,2015-09-11
12723700.0,3799.0,3839.0,3780.0,3780.0,2015-09-14
4629600.0,3783.0,3806.0,3780.0,3780.0,2015-09-15
6700900.0,3752.0,3785.0,3741.0,3775.0,2015-09-16
225500.0,3760.0,3760.0,3752.0,3752.0,2015-09-17
1557800.0,3733.0,3756.0,3686.0,3687.0,2015-09-18
966900.0,3738.0,3738.0,3699.0,3699.0,2015-09-21
147600.0,3681.0,3699.0,3681.0,3699.0,2015-09-22
878800.0,3698.0,3698.0,3630.0,3631.0,2015-09-23
444400.0,3696.0,3720.0,3696.0,3720.0,2015-09-24
0.0,3701.0,,,,2015-09-25
662600.0,3698.0,3698.0,3608.0,3681.0,2015-09-28
438800.0,3636.0,3679.0,3636.0,3675.0,2015-09-29
1125700.0,3510.0,3535.0,3509.0,3522.0,2015-09-30
491700.0,3435.0,3539.0,3435.0,3539.0,2015-10-08
137900.0,3452.0,3452.0,3441.0,3441.0,2015-10-09
603400.0,3376.0,3424.0,3301.0,3424.0,2015-10-12
2399300.0,3329.0,3477.0,3203.0,3203.0,2015-10-13
0.0,3325.0,,,,2015-10-14
333400.0,3338.0,3338.0,3332.0,3332.0,2015-10-15
65800.0,3289.0,3289.0,3289.0,3289.0,2015-10-16
779900.0,3286.0,3324.0,3200.0,3200.0,2015-10-19
198000.0,3300.0,3300.0,3299.0,3299.0,2015-10-20
132500.0,3332.0,3332.0,3290.0,3290.0,2015-10-21
207800.0,3483.0,3483.0,3421.0,3421.0,2015-10-22
209900.0,3498.0,3498.0,3496.0,3496.0,2015-10-23
279000.0,3478.0,3496.0,3477.0,3495.0,2015-10-26
69200.0,3460.0,3460.0,3460.0,3460.0,2015-10-27
0.0,3444.0,,,,2015-10-28
468100.0,3336.0,3377.0,3298.0,3376.0,2015-10-29
392200.0,3259.0,3322.0,3250.0,3250.0,2015-10-30
256500.0,3250.0,3257.0,3116.0,3257.0,2015-11-02
0.0,3205.0,,,,2015-11-03
0.0,3260.0,,,,2015-11-04
260200.0,3299.0,3299.0,3235.0,3235.0,2015-11-05
334900.0,3360.0,3374.0,3309.0,3309.0,2015-11-06
204200.0,3410.0,3410.0,3389.0,3410.0,2015-11-09
203800.0,3400.0,3400.0,3388.0,3388.0,2015-11-10
545700.0,3400.0,3507.0,3377.0,3380.0,2015-11-11
2012000.0,3410.0,3410.0,3242.0,3247.0,2015-11-12
133600.0,3402.0,3402.0,3276.0,3276.0,2015-11-13
3706807600.0,3720.0,3784.0,3719.0,3779.0,2015-11-16
