amt,close,high,low,open,date
3233200.0,1266.0,1315.0,1241.0,1315.0,2013-03-22
1804500.0,1251.0,1268.0,1241.0,1267.0,2013-03-25
1205200.0,1259.0,1265.0,1252.0,1254.0,2013-03-26
452400.0,1252.0,1259.0,1252.0,1259.0,2013-03-27
4670800.0,1249.0,1263.0,1249.0,1255.0,2013-03-28
593900.0,1235.0,1244.0,1234.0,1234.0,2013-03-29
4535600.0,1203.0,1234.0,1197.0,1234.0,2013-04-01
26042200.0,1210.0,1210.0,1176.0,1202.0,2013-04-02
7634000.0,1195.0,1209.0,1192.0,1209.0,2013-04-03
6281000.0,1194.0,1194.0,1181.0,1188.0,2013-04-08
1292400.0,1198.0,1202.0,1193.0,1197.0,2013-04-09
8046600.0,1187.0,1213.0,1187.0,1197.0,2013-04-10
1142200.0,1181.0,1193.0,1181.0,1192.0,2013-04-11
569700.0,1188.0,1188.0,1185.0,1188.0,2013-04-12
1533000.0,1143.0,1195.0,1143.0,1195.0,2013-04-15
1233900.0,1147.0,1155.0,1122.0,1122.0,2013-04-16
272700.0,1137.0,1137.0,1135.0,1135.0,2013-04-17
2150800.0,1122.0,1132.0,1101.0,1132.0,2013-04-18
1357000.0,1126.0,1138.0,1120.0,1137.0,2013-04-19
534300.0,1111.0,1118.0,1111.0,1118.0,2013-04-22
396000.0,1094.0,1107.0,1094.0,1107.0,2013-04-23
8411700.0,1107.0,1136.0,1089.0,1089.0,2013-04-24
1585200.0,1112.0,1112.0,1095.0,1107.0,2013-04-25
395300.0,1097.0,1100.0,1097.0,1100.0,2013-04-26
1420800.0,1077.0,1077.0,1075.0,1075.0,2013-05-02
524400.0,1086.0,1099.0,1086.0,1099.0,2013-05-03
0.0,1092.0,,,,2013-05-06
396500.0,1104.0,1104.0,1096.0,1104.0,2013-05-07
922400.0,1109.0,1109.0,1091.0,1091.0,2013-05-08
1058200.0,1100.0,1103.0,1100.0,1100.0,2013-05-09
132200.0,1101.0,1101.0,1101.0,1101.0,2013-05-10
1485500.0,1129.0,1144.0,1106.0,1114.0,2013-05-13
814600.0,1134.0,1134.0,1130.0,1134.0,2013-05-14
0.0,1131.0,,,,2013-05-15
1714700.0,1107.0,1126.0,1091.0,1093.0,2013-05-16
807500.0,1125.0,1125.0,1104.0,1104.0,2013-05-17
269100.0,1121.0,1121.0,1121.0,1121.0,2013-05-20
1342200.0,1111.0,1146.0,1110.0,1146.0,2013-05-21
134100.0,1117.0,1117.0,1117.0,1117.0,2013-05-22
1202000.0,1105.0,1118.0,1104.0,1116.0,2013-05-23
0.0,1112.0,,,,2013-05-24
133500.0,1112.0,1112.0,1112.0,1112.0,2013-05-27
776700.0,1082.0,1082.0,1073.0,1073.0,2013-05-28
129200.0,1076.0,1076.0,1076.0,1076.0,2013-05-29
636600.0,1068.0,1068.0,1057.0,1061.0,2013-05-30
126800.0,1056.0,1056.0,1056.0,1056.0,2013-05-31
503200.0,1043.0,1057.0,1043.0,1050.0,2013-06-03
1739400.0,1046.0,1058.0,1012.0,1051.0,2013-06-04
252600.0,1052.0,1053.0,1052.0,1053.0,2013-06-05
1215600.0,1010.0,1026.0,1010.0,1026.0,2013-06-06
1559300.0,1000.0,1013.0,986.0,1002.0,2013-06-07
477000.0,995.0,995.0,992.0,993.0,2013-06-13
955700.0,996.0,996.0,992.0,996.0,2013-06-14
1326400.0,1001.0,1011.0,999.0,999.0,2013-06-17
478200.0,992.0,999.0,992.0,995.0,2013-06-18
593400.0,990.0,992.0,987.0,992.0,2013-06-19
3887600.0,980.0,989.0,965.0,985.0,2013-06-20
819900.0,978.0,981.0,970.0,970.0,2013-06-21
4404900.0,990.0,1002.0,977.0,991.0,2013-06-24
0.0,992.0,,,,2013-06-25
478100.0,1004.0,1005.0,985.0,985.0,2013-06-26
239100.0,996.0,996.0,996.0,996.0,2013-06-27
0.0,996.0,,,,2013-06-28
592400.0,987.0,988.0,987.0,988.0,2013-07-01
237800.0,985.0,996.0,985.0,996.0,2013-07-02
0.0,990.0,,,,2013-07-03
481400.0,1004.0,1004.0,1002.0,1002.0,2013-07-04
725300.0,1010.0,1013.0,1003.0,1003.0,2013-07-05
122000.0,1016.0,1016.0,1016.0,1016.0,2013-07-08
965100.0,1013.0,1013.0,997.0,1005.0,2013-07-09
121000.0,1008.0,1008.0,1008.0,1008.0,2013-07-10
0.0,1008.0,,,,2013-07-11
363600.0,1010.0,1010.0,1010.0,1010.0,2013-07-12
327771600.0,1004.0,1018.0,1004.0,1012.0,2013-07-15
181874300.0,1005.0,1009.0,1002.0,1004.0,2013-07-16
708692000.0,1016.0,1020.0,1004.0,1005.0,2013-07-17
566596500.0,1016.0,1020.0,1010.0,1017.0,2013-07-18
335286400.0,1015.0,1025.0,1014.0,1020.0,2013-07-19
562434400.0,1020.0,1027.0,1012.0,1018.0,2013-07-22
489029400.0,1015.0,1023.0,1014.0,1019.0,2013-07-23
321559400.0,1010.0,1018.0,1007.0,1015.0,2013-07-24
205313800.0,1010.0,1015.0,1008.0,1009.0,2013-07-25
575004000.0,1011.0,1017.0,1008.0,1013.0,2013-07-26
541635000.0,996.0,1010.0,996.0,1010.0,2013-07-29
201511800.0,995.0,1000.0,993.0,996.0,2013-07-30
82200900.0,996.0,998.0,993.0,994.0,2013-07-31
297016600.0,1005.0,1005.0,996.0,997.0,2013-08-01
120225500.0,1011.0,1011.0,1006.0,1008.0,2013-08-02
113521600.0,1012.0,1015.0,1007.0,1007.0,2013-08-05
105844700.0,1015.0,1015.0,1006.0,1013.0,2013-08-06
168548100.0,1018.0,1018.0,1009.0,1013.0,2013-08-07
232396600.0,1026.0,1029.0,1017.0,1018.0,2013-08-08
174049000.0,1020.0,1030.0,1011.0,1029.0,2013-08-09
189018900.0,1028.0,1030.0,1016.0,1025.0,2013-08-12
225338900.0,1031.0,1040.0,1022.0,1040.0,2013-08-13
103239400.0,1022.0,1033.0,1022.0,1028.0,2013-08-14
129800.0,1081.0,1081.0,1081.0,1081.0,2013-08-15
764700.0,1071.0,1074.0,1050.0,1051.0,2013-08-16
14433800.0,1020.0,1039.0,1020.0,1038.0,2013-08-19
4412700.0,1021.0,1030.0,1016.0,1020.0,2013-08-20
2440000.0,1016.0,1027.0,1013.0,1027.0,2013-08-21
1839400.0,1016.0,1026.0,1016.0,1020.0,2013-08-22
4022800.0,1008.0,1028.0,997.0,1025.0,2013-08-23
3558800.0,1017.0,1036.0,1013.0,1018.0,2013-08-26
4512900.0,1020.0,1022.0,1007.0,1008.0,2013-08-27
4796900.0,984.0,1014.0,984.0,1014.0,2013-08-28
3486600.0,965.0,980.0,961.0,980.0,2013-08-29
1861000.0,972.0,973.0,963.0,968.0,2013-08-30
2867800.0,1007.0,1007.0,979.0,979.0,2013-09-02
1448300.0,1005.0,1010.0,1004.0,1004.0,2013-09-03
1446000.0,1004.0,1005.0,1002.0,1005.0,2013-09-04
1092800.0,1012.0,1017.0,1004.0,1004.0,2013-09-05
1441600.0,1008.0,1008.0,988.0,1007.0,2013-09-06
837900.0,993.0,999.0,993.0,999.0,2013-09-09
839300.0,1000.0,1005.0,995.0,998.0,2013-09-10
360200.0,1001.0,1001.0,999.0,999.0,2013-09-11
2479400.0,974.0,998.0,972.0,988.0,2013-09-12
1970200.0,968.0,974.0,960.0,961.0,2013-09-13
0.0,1000.0,,,,2013-09-16
2628500.0,1006.0,1008.0,983.0,992.0,2013-09-17
1810700.0,1018.0,1018.0,996.0,1005.0,2013-09-18
607600.0,1020.0,1020.0,999.0,999.0,2013-09-23
0.0,1016.0,,,,2013-09-24
244600.0,1020.0,1020.0,1018.0,1018.0,2013-09-25
613200.0,1022.0,1022.0,1022.0,1022.0,2013-09-26
1822100.0,1007.0,1017.0,1007.0,1016.0,2013-09-27
604700.0,995.0,1011.0,995.0,1011.0,2013-09-30
2124500.0,986.0,990.0,977.0,977.0,2013-10-08
0.0,983.0,,,,2013-10-09
239000.0,995.0,996.0,995.0,996.0,2013-10-10
717600.0,986.0,1000.0,986.0,999.0,2013-10-11
600300.0,1002.0,1002.0,998.0,998.0,2013-10-14
361000.0,1003.0,1016.0,989.0,1016.0,2013-10-15
119600.0,996.0,996.0,996.0,996.0,2013-10-16
601200.0,1002.0,1002.0,1002.0,1002.0,2013-10-17
241600.0,1018.0,1018.0,995.0,995.0,2013-10-18
365700.0,1009.0,1028.0,1009.0,1028.0,2013-10-21
128600.0,1071.0,1071.0,1071.0,1071.0,2013-10-22
1777700.0,1046.0,1061.0,1046.0,1059.0,2013-10-23
250400.0,1043.0,1043.0,1043.0,1043.0,2013-10-24
498000.0,1027.0,1042.0,1027.0,1042.0,2013-10-25
124000.0,1033.0,1033.0,1033.0,1033.0,2013-10-28
363600.0,1018.0,1018.0,1006.0,1006.0,2013-10-29
246600.0,1021.0,1034.0,1021.0,1034.0,2013-10-30
363300.0,1009.0,1009.0,1009.0,1009.0,2013-10-31
605100.0,1002.0,1011.0,1002.0,1009.0,2013-11-01
724700.0,1007.0,1009.0,1000.0,1009.0,2013-11-04
120200.0,1001.0,1001.0,1001.0,1001.0,2013-11-05
121400.0,1011.0,1011.0,1011.0,1011.0,2013-11-06
121600.0,1013.0,1013.0,1013.0,1013.0,2013-11-07
864500.0,1024.0,1035.0,1018.0,1034.0,2013-11-08
0.0,1029.0,,,,2013-11-11
5230200.0,1038.0,1042.0,1029.0,1029.0,2013-11-12
8551200.0,1048.0,1048.0,1047.0,1047.0,2013-11-13
125800.0,1048.0,1048.0,1048.0,1048.0,2013-11-14
1128507600.0,1081.0,1086.0,1080.0,1084.0,2013-11-15
1512365200.0,1084.0,1086.0,1080.0,1082.0,2013-11-18
818418300.0,1086.0,1087.0,1081.0,1081.0,2013-11-19
1372080600.0,1095.0,1095.0,1086.0,1087.0,2013-11-20
982042500.0,1084.0,1096.0,1084.0,1093.0,2013-11-21
780236000.0,1083.0,1085.0,1080.0,1085.0,2013-11-22
637560400.0,1077.0,1085.0,1076.0,1084.0,2013-11-25
1321984200.0,1077.0,1083.0,1076.0,1077.0,2013-11-26
