amt,close,high,low,open,date
830100.0,2956.0,2989.0,2956.0,2969.0,2015-01-05
1982700.0,2987.0,3017.0,2977.0,2977.0,2015-01-06
1266400.0,3000.0,3031.0,3000.0,3031.0,2015-01-07
4449800.0,3012.0,3023.0,2992.0,3001.0,2015-01-08
1492100.0,2971.0,3006.0,2967.0,3006.0,2015-01-09
2561400.0,2984.0,2990.0,2956.0,2966.0,2015-01-12
2359500.0,2943.0,3016.0,2930.0,2953.0,2015-01-13
3201300.0,2888.0,2949.0,2887.0,2943.0,2015-01-14
1986200.0,2927.0,2935.0,2890.0,2890.0,2015-01-15
2823000.0,2860.0,2947.0,2854.0,2936.0,2015-01-16
96968740500.0,2681.0,2735.0,2620.0,2713.0,2015-01-19
56178056100.0,2669.0,2683.0,2644.0,2681.0,2015-01-20
75810639400.0,2693.0,2730.0,2645.0,2669.0,2015-01-21
61722661100.0,2698.0,2721.0,2682.0,2690.0,2015-01-22
54039011400.0,2681.0,2711.0,2663.0,2711.0,2015-01-23
63884851500.0,2674.0,2698.0,2658.0,2671.0,2015-01-26
59705269200.0,2695.0,2720.0,2669.0,2670.0,2015-01-27
42308787600.0,2691.0,2702.0,2676.0,2696.0,2015-01-28
41039705600.0,2686.0,2702.0,2673.0,2684.0,2015-01-29
45017702000.0,2694.0,2702.0,2677.0,2682.0,2015-01-30
59342952300.0,2665.0,2697.0,2655.0,2697.0,2015-02-02
50166652700.0,2691.0,2701.0,2663.0,2671.0,2015-02-03
82780669300.0,2720.0,2752.0,2689.0,2699.0,2015-02-04
41784654200.0,2716.0,2727.0,2700.0,2721.0,2015-02-05
45946677100.0,2725.0,2742.0,2716.0,2721.0,2015-02-06
38521286900.0,2737.0,2738.0,2712.0,2731.0,2015-02-09
43675074000.0,2734.0,2759.0,2729.0,2732.0,2015-02-10
45447751200.0,2744.0,2759.0,2724.0,2731.0,2015-02-11
19020395300.0,2742.0,2749.0,2735.0,2738.0,2015-02-12
43121597700.0,2794.0,2795.0,2743.0,2745.0,2015-02-13
31652924500.0,2799.0,2819.0,2785.0,2786.0,2015-02-16
12502431300.0,2809.0,2814.0,2789.0,2793.0,2015-02-17
16987386200.0,2838.0,2869.0,2831.0,2848.0,2015-02-25
27922350300.0,2851.0,2865.0,2832.0,2838.0,2015-02-26
43745846600.0,2919.0,2930.0,2852.0,2859.0,2015-02-27
44019490600.0,2932.0,2951.0,2905.0,2922.0,2015-03-02
39394781000.0,2883.0,2941.0,2873.0,2932.0,2015-03-03
24873873400.0,2875.0,2890.0,2847.0,2884.0,2015-03-04
20120002600.0,2842.0,2866.0,2834.0,2866.0,2015-03-05
24261791000.0,2820.0,2872.0,2818.0,2836.0,2015-03-06
20437036700.0,2840.0,2848.0,2802.0,2828.0,2015-03-09
14226397300.0,2849.0,2865.0,2831.0,2839.0,2015-03-10
22264243000.0,2874.0,2899.0,2821.0,2845.0,2015-03-11
