amt,close,high,low,open,date
146454700.0,3584.0,3650.0,3535.0,3570.0,2009-03-27
21974400.0,3581.0,3600.0,3517.0,3584.0,2009-03-30
6150100.0,3578.0,3598.0,3565.0,3567.0,2009-03-31
5661000.0,3583.0,3675.0,3550.0,3675.0,2009-04-01
18168400.0,3519.0,3583.0,3465.0,3583.0,2009-04-02
35130700.0,3485.0,3519.0,3475.0,3519.0,2009-04-03
20745000.0,3522.0,3534.0,3433.0,3433.0,2009-04-07
8896800.0,3502.0,3515.0,3493.0,3499.0,2009-04-08
12763200.0,3490.0,3505.0,3480.0,3502.0,2009-04-09
17418800.0,3510.0,3600.0,3490.0,3500.0,2009-04-10
23512700.0,3501.0,3549.0,3501.0,3549.0,2009-04-13
23400900.0,3596.0,3669.0,3498.0,3500.0,2009-04-14
19087900.0,3600.0,3617.0,3588.0,3597.0,2009-04-15
15262100.0,3631.0,3650.0,3609.0,3609.0,2009-04-16
25113900.0,3669.0,3690.0,3622.0,3645.0,2009-04-17
48398000.0,3662.0,3674.0,3600.0,3668.0,2009-04-20
13443700.0,3567.0,3637.0,3533.0,3637.0,2009-04-21
12797800.0,3550.0,3610.0,3531.0,3580.0,2009-04-22
15794100.0,3561.0,3561.0,3530.0,3555.0,2009-04-23
5387100.0,3543.0,3566.0,3534.0,3534.0,2009-04-24
8426200.0,3546.0,3560.0,3528.0,3544.0,2009-04-27
17961200.0,3544.0,3568.0,3538.0,3538.0,2009-04-28
1920800.0,3559.0,3559.0,3549.0,3551.0,2009-04-29
66841800.0,3568.0,3590.0,3550.0,3560.0,2009-04-30
32505200.0,3649.0,3669.0,3590.0,3590.0,2009-05-04
23672900.0,3617.0,3669.0,3596.0,3669.0,2009-05-05
10957200.0,3631.0,3634.0,3617.0,3617.0,2009-05-06
23648100.0,3625.0,3679.0,3624.0,3635.0,2009-05-07
14063800.0,3635.0,3637.0,3620.0,3630.0,2009-05-08
46635000.0,3658.0,3700.0,3632.0,3632.0,2009-05-11
8224600.0,3670.0,3680.0,3659.0,3680.0,2009-05-12
6460900.0,3667.0,3680.0,3653.0,3680.0,2009-05-13
32724700.0,3620.0,3671.0,3486.0,3671.0,2009-05-14
11897600.0,3627.0,3635.0,3621.0,3635.0,2009-05-15
11791700.0,3623.0,3626.0,3605.0,3606.0,2009-05-18
4800900.0,3640.0,3653.0,3630.0,3637.0,2009-05-19
13750000.0,3627.0,3653.0,3627.0,3631.0,2009-05-20
6914100.0,3633.0,3651.0,3627.0,3627.0,2009-05-21
12927200.0,3639.0,3639.0,3627.0,3633.0,2009-05-22
7045800.0,3629.0,3645.0,3626.0,3645.0,2009-05-25
4286400.0,3629.0,3640.0,3621.0,3627.0,2009-05-26
1307700.0,3636.0,3640.0,3630.0,3640.0,2009-05-27
40103200.0,3662.0,3679.0,3643.0,3651.0,2009-06-01
32392100.0,3676.0,3766.0,3665.0,3670.0,2009-06-02
7447700.0,3698.0,3698.0,3678.0,3689.0,2009-06-03
24238100.0,3729.0,3735.0,3681.0,3685.0,2009-06-04
30240500.0,3774.0,3795.0,3745.0,3760.0,2009-06-05
54667500.0,3815.0,3815.0,3770.0,3776.0,2009-06-08
35480900.0,3804.0,3835.0,3789.0,3827.0,2009-06-09
43081400.0,3833.0,3847.0,3800.0,3847.0,2009-06-10
139333700.0,3910.0,3985.0,3836.0,3845.0,2009-06-11
140832300.0,3893.0,3948.0,3871.0,3940.0,2009-06-12
118015900.0,3868.0,3903.0,3851.0,3874.0,2009-06-15
123590100.0,3887.0,3897.0,3860.0,3860.0,2009-06-16
234716000.0,3872.0,3895.0,3866.0,3886.0,2009-06-17
184454000.0,3858.0,3880.0,3850.0,3873.0,2009-06-18
374802400.0,3912.0,3921.0,3864.0,3864.0,2009-06-19
669812400.0,3935.0,3980.0,3903.0,3903.0,2009-06-22
778970600.0,3898.0,3906.0,3851.0,3900.0,2009-06-23
