amt,close,high,low,open,date
,1204.21,1207.8,1177.99,1188.01,2015-01-05
,1218.9,1223.3,1201.91,1204.47,2015-01-06
,1210.56,1219.2,1209.22,1218.46,2015-01-07
,1208.73,1216.58,1204.73,1211.1,2015-01-08
,1223.13,1224.0,1207.5,1208.76,2015-01-09
,1233.34,1235.88,1217.74,1222.9,2015-01-12
,1230.58,1244.22,1227.44,1233.1,2015-01-13
,1229.68,1244.4,1225.21,1230.67,2015-01-14
,1261.75,1266.78,1226.27,1228.61,2015-01-15
,1279.96,1282.11,1255.2,1262.6,2015-01-16
,1276.46,1281.6,1272.3,1279.37,2015-01-19
,1293.59,1297.14,1274.2,1276.04,2015-01-20
,1293.26,1305.34,1284.81,1295.26,2015-01-21
,1301.53,1307.59,1279.76,1292.94,2015-01-22
,1294.29,1302.65,1284.58,1301.8,2015-01-23
,1281.04,1299.21,1276.05,1293.95,2015-01-26
,1292.24,1297.57,1272.5,1281.45,2015-01-27
,1284.85,1293.87,1279.97,1291.9,2015-01-28
,1257.2,1285.95,1252.05,1284.15,2015-01-29
,1283.12,1284.8,1257.35,1257.48,2015-01-30
,1275.01,1283.7,1266.65,1283.18,2015-02-02
,1259.84,1285.8,1255.7,1273.98,2015-02-03
,1269.91,1272.46,1256.92,1260.1,2015-02-04
,1264.51,1274.16,1256.4,1269.0,2015-02-05
,1233.38,1268.78,1228.54,1264.5,2015-02-06
,1239.48,1243.7,1232.78,1232.78,2015-02-09
,1233.76,1245.91,1231.17,1238.9,2015-02-10
,1218.85,1238.9,1218.35,1233.64,2015-02-11
,1222.22,1232.95,1217.2,1219.0,2015-02-12
,1229.64,1235.0,1221.82,1221.82,2015-02-13
,1230.49,1236.79,1227.71,1229.45,2015-02-16
,1209.23,1234.0,1203.95,1230.54,2015-02-17
,1204.69,1211.85,1200.2,1200.2,2015-02-25
,1208.89,1220.0,1203.75,1204.7,2015-02-26
,1213.06,1219.33,1204.67,1209.2,2015-02-27
,1206.79,1223.3,1204.8,1213.01,2015-03-02
,1203.79,1214.73,1195.59,1206.7,2015-03-03
,1199.8,1209.01,1198.5,1203.4,2015-03-04
,1198.42,1209.43,1196.7,1200.0,2015-03-05
,1166.95,1200.75,1164.0,1198.21,2015-03-06
,1166.95,1175.35,1166.1,1166.91,2015-03-09
,1161.42,1170.53,1155.5,1166.42,2015-03-10
,1154.78,1165.3,1147.72,1161.74,2015-03-11
,1152.37,1166.65,1148.8,1155.11,2015-03-12
,1158.02,1161.85,1151.63,1153.16,2015-03-13
,1154.19,1164.12,1150.58,1158.02,2015-03-16
,1149.12,1159.87,1142.97,1154.15,2015-03-17
,1167.0,1175.77,1146.1,1148.86,2015-03-18
,1171.3,1177.9,1159.83,1167.04,2015-03-19
,1182.2,1187.97,1168.95,1171.0,2015-03-20
,1189.06,1191.65,1179.55,1182.2,2015-03-23
,1192.6,1195.03,1185.64,1189.02,2015-03-24
,1195.15,1199.72,1186.85,1192.63,2015-03-25
,1203.9,1219.85,1194.7,1195.1,2015-03-26
,1198.8,1206.21,1192.8,1204.19,2015-03-27
,1185.1,1199.42,1182.59,1198.36,2015-03-30
,1183.3,1190.74,1178.69,1185.55,2015-03-31
,1203.7,1208.6,1181.09,1183.25,2015-04-01
,1201.5,1207.4,1195.17,1203.83,2015-04-02
,1202.52,1202.72,1200.6,1202.03,2015-04-03
,1208.25,1215.82,1207.7,1214.38,2015-04-07
,1202.65,1212.39,1197.69,1208.49,2015-04-08
,1194.3,1203.41,1192.85,1202.6,2015-04-09
,1207.5,1210.75,1193.42,1193.77,2015-04-10
,1198.35,1209.52,1196.6,1207.4,2015-04-13
,1192.4,1201.53,1184.21,1198.65,2015-04-14
,1201.6,1204.66,1189.1,1192.24,2015-04-15
,1198.1,1209.17,1194.95,1201.96,2015-04-16
,1204.1,1207.81,1197.65,1198.68,2015-04-17
,1196.25,1209.23,1191.58,1203.97,2015-04-20
,1202.39,1204.32,1193.31,1195.99,2015-04-21
,1187.06,1204.91,1185.96,1202.42,2015-04-22
,1193.89,1198.07,1184.55,1187.35,2015-04-23
,1178.97,1196.03,1175.38,1193.42,2015-04-24
,1201.62,1207.26,1178.77,1178.91,2015-04-27
,1211.94,1215.07,1199.35,1201.56,2015-04-28
,1204.72,1214.07,1201.55,1211.69,2015-04-29
,1183.97,1207.25,1177.2,1204.79,2015-04-30
,1187.97,1192.86,1177.93,1177.93,2015-05-04
,1193.02,1199.86,1185.9,1188.07,2015-05-05
,1191.29,1197.73,1188.5,1193.02,2015-05-06
