symbol,name
000408.SZ,*ST金源
000409.SZ,山东地矿
000629.SZ,*ST钒钛
000655.SZ,金岭矿业
000708.SZ,大冶特钢
000709.SZ,河钢股份
000717.SZ,*ST韶钢
000761.SZ,本钢板材
000778.SZ,新兴铸管
000825.SZ,太钢不锈
000898.SZ,鞍钢股份
000906.SZ,浙商中拓
000932.SZ,华菱钢铁
000959.SZ,首钢股份
002057.SZ,中钢天源
002075.SZ,沙钢股份
002110.SZ,三钢闽光
002297.SZ,博云新材
002318.SZ,久立特材
002423.SZ,*ST中特
002443.SZ,金洲管道
002478.SZ,常宝股份
002652.SZ,扬子新材
002756.SZ,永兴特钢
600005.SH,武钢股份
600010.SH,包钢股份
600019.SH,宝钢股份
600022.SH,山东钢铁
600058.SH,五矿发展
600117.SH,西宁特钢
600126.SH,杭钢股份
600193.SH,创兴资源
600231.SH,凌钢股份
600282.SH,南钢股份
600295.SH,鄂尔多斯
600307.SH,酒钢宏兴
600381.SH,青海春天
600507.SH,方大特钢
600532.SH,宏达矿业
600569.SH,安阳钢铁
600581.SH,*ST八钢
600608.SH,上海科技
600634.SH,中技控股
600782.SH,新钢股份
600784.SH,鲁银投资
600808.SH,马钢股份
600882.SH,广泽股份
601003.SH,柳钢股份
601005.SH,重庆钢铁
601028.SH,玉龙股份
601969.SH,海南矿业
603028.SH,赛福天
603969.SH,银龙股份
