symbol,name
000059.SZ,华锦股份
000096.SZ,广聚能源
000159.SZ,国际实业
000407.SZ,胜利股份
000554.SZ,泰山石油
000637.SZ,茂化实华
000698.SZ,沈阳化工
000703.SZ,恒逸石化
000782.SZ,美达股份
000819.SZ,岳阳兴长
000985.SZ,大庆华科
002064.SZ,华峰氨纶
002172.SZ,澳洋科技
002206.SZ,海利得
002221.SZ,东华能源
002254.SZ,泰和新材
002377.SZ,国创高新
002408.SZ,齐翔腾达
002476.SZ,宝莫股份
002493.SZ,荣盛石化
002648.SZ,卫星石化
002778.SZ,高科石化
002828.SZ,贝肯能源
300135.SZ,宝利国际
300384.SZ,三联虹普
600028.SH,中国石化
600175.SH,美都能源
600256.SH,广汇能源
600339.SH,*ST天利
600378.SH,天科股份
600387.SH,海越股份
600583.SH,海油工程
600688.SH,上海石化
600759.SH,洲际油气
601113.SH,华鼎股份
601233.SH,桐昆股份
601808.SH,中海油服
601857.SH,中国石油
603727.SH,博迈科
603798.SH,康普顿
603800.SH,道森股份
