日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交额(百万),成交量(股)
2002-01-04,1316.46,1316.46,1316.46,1316.46,0,0
2002-01-07,1302.08,1302.08,1302.08,1302.08,0,0
2002-01-08,1292.71,1292.71,1292.71,1292.71,0,0
2002-01-09,1272.65,1272.65,1272.65,1272.65,0,0
2002-01-10,1281.26,1281.26,1281.26,1281.26,0,0
2002-01-11,1249.81,1249.81,1249.81,1249.81,0,0
2002-01-14,1205.15,1205.15,1205.15,1205.15,0,0
2002-01-15,1186.43,1186.43,1186.43,1186.43,0,0
2002-01-16,1201.88,1201.88,1201.88,1201.88,0,0
2002-01-17,1152.15,1152.15,1152.15,1152.15,0,0
2002-01-18,1149.48,1149.48,1149.48,1149.48,0,0
2002-01-21,1108.61,1108.61,1108.61,1108.61,0,0
2002-01-22,1109.99,1109.99,1109.99,1109.99,0,0
2002-01-23,1183.15,1183.15,1183.15,1183.15,0,0
2002-01-24,1189.58,1189.58,1189.58,1189.58,0,0
2002-01-25,1189.43,1189.43,1189.43,1189.43,0,0
2002-01-28,1112.84,1112.84,1112.84,1112.84,0,0
2002-01-29,1140.38,1140.38,1140.38,1140.38,0,0
2002-01-30,1145.86,1145.86,1145.86,1145.86,0,0
2002-01-31,1221.76,1221.76,1221.76,1221.76,0,0
2002-02-01,1215.74,1215.74,1215.74,1215.74,0,0
2002-02-04,1236.97,1236.97,1236.97,1236.97,0,0
2002-02-05,1246.84,1246.84,1246.84,1246.84,0,0
2002-02-06,1216.79,1216.79,1216.79,1216.79,0,0
2002-02-07,1241.02,1241.02,1241.02,1241.02,0,0
2002-02-08,1235.09,1235.09,1235.09,1235.09,0,0
2002-02-25,1254.61,1254.61,1254.61,1254.61,0,0
2002-02-26,1253.12,1253.12,1253.12,1253.12,0,0
2002-02-27,1256,1256,1256,1256,0,0
2002-02-28,1244.6,1244.6,1244.6,1244.6,0,0
2002-03-01,1227.23,1227.23,1227.23,1227.23,0,0
