Annual Return,Annual Volatility,Contract,Max Drawdown,Sharpe,Total Return,Exchange,Class,Name
-0.056343279,0.408414384,A01.DCE,-0.82434976,0.07300239,0.350391725,DCE,agriculture,豆一连一
-0.065098574,0.332280124,AG01.SHF,-0.602818234,-0.036020978,0.726336144,SHF,noble,沪银连一
0.125143846,0.44519953,AL01.SHF,-0.695199964,0.473047399,13.12328035,SHF,metal,沪铝连一
0.122924214,0.360955976,AU01.SHF,-0.604011315,0.497124569,2.866486429,SHF,noble,沪金连一
0.128962944,0.318959601,B01.DCE,-0.550997286,0.535258067,4.374578307,DCE,agriculture,豆二连一
-0.15653111,0.402283447,BB01.DCE,-0.572243582,-0.224538048,0.583291146,DCE,energy,胶合板连一
0.465456313,0.414731305,BU01.SHF,-0.213831325,1.11358425,3.574727329,SHF,energy,沥青连一
0.210319628,0.44276483,C01.DCE,-0.508083061,0.644100554,10.69898593,DCE,agriculture,玉米连一
0.082470929,0.42083227,CF01.CZC,-0.655539088,0.389622032,2.728594875,CZC,agriculture,郑棉连一
0.122586933,0.29766397,CS01.DCE,-0.235037443,0.526732303,1.28472437,DCE,agriculture,玉米淀粉连一
0.226214332,0.530359828,CU01.SHF,-0.700534585,0.612191343,85.84192896,SHF,metal,沪铜连一
-0.072758698,0.356067881,FB01.DCE,-0.421742746,-0.041109604,0.787245946,DCE,energy,纤维板连一
0.183157262,0.216190494,FG01.CZC,-0.231495343,0.888592768,2.015318266,CZC,energy,玻璃连一
-0.04867201,0.38684227,FU01.SHF,-0.883843903,0.067626363,0.53595513,SHF,energy,燃油连一
-0.052406968,0.359502317,HC01.SHF,-0.648946546,0.037665772,0.854700098,SHF,energy,热轧卷板连一
0.128059013,0.346729188,I01.DCE,-0.431310868,0.505863003,1.494305514,DCE,metal,铁矿石连一
0.016496577,0.090899987,IC01.CFE,-0.095636336,0.222072364,1.030451418,CFE,stock,中证500期货次月连续
0.112191044,0.44856986,IF01.CFE,-0.480887639,0.442624054,2.068041208,CFE,stock,沪深300期货次月
