Contract,Sharpe,Max Drawdown
IF00.CFE,0.332077737,-0.619283212
CU03.SHF,0.695599301,-0.693015685
A00.DCE,0.240146066,-0.790869572
I00.DCE,0.3057062,-0.491374993
IC00.CFE,0.346312477,-0.092959593
IM00.SHF,0.806840645,0
J00.DCE,0.755250059,-0.533319653
JD00.DCE,-0.191035238,-0.328185547
JM00.DCE,0.681660377,-0.394231241
L00.DCE,-0.087979684,-0.809076918
M00.DCE,-0.027188301,-0.901304672
MA00.CZC,0.482536587,-0.276510941
NI00.SHF,-0.526082451,-0.39553507
OI00.CZC,0.297323027,-0.557446586
P00.DCE,0.221328615,-0.498777622
PB00.SHF,0.449023437,-0.366947135
PM00.CZC,-0.3928116,-0.487327563
PP00.DCE,0.292228912,-0.358470269
RB00.SHF,0.320107515,-0.719124049
