count,date
47393,2016-01-01
36787,2016-01-02
60219,2016-01-03
160396,2016-01-04
178548,2016-01-05
148359,2016-01-06
158142,2016-01-07
98608,2016-01-08
108791,2016-01-09
33269,2016-01-10
168064,2016-01-11
177273,2016-01-12
132890,2016-01-13
179330,2016-01-14
119528,2016-01-15
88895,2016-01-16
49374,2016-01-17
155296,2016-01-18
280328,2016-01-19
165261,2016-01-20
248630,2016-01-21
140451,2016-01-22
133903,2016-01-23
208743,2016-01-24
255418,2016-01-25
225134,2016-01-26
434615,2016-01-27
171418,2016-01-28
272979,2016-01-29
179582,2016-01-30
192599,2016-01-31
255571,2016-02-01
258556,2016-02-02
325340,2016-02-03
326416,2016-02-04
167599,2016-02-05
187189,2016-02-06
55405,2016-02-07
44240,2016-02-08
32348,2016-02-09
38718,2016-02-10
20885,2016-02-11
72465,2016-02-12
70256,2016-02-13
88689,2016-02-14
75833,2016-02-15
110266,2016-02-16
131235,2016-02-17
486702,2016-02-18
203626,2016-02-19
260790,2016-02-20
154176,2016-02-21
311641,2016-02-22
352790,2016-02-23
376378,2016-02-24
345362,2016-02-25
255543,2016-02-26
220310,2016-02-27
176384,2016-02-28
315607,2016-02-29
331131,2016-03-01
306726,2016-03-02
330084,2016-03-03
194385,2016-03-04
129402,2016-03-05
164644,2016-03-06
332939,2016-03-07
220409,2016-03-08
232282,2016-03-09
193432,2016-03-10
228076,2016-03-11
86030,2016-03-12
207254,2016-03-13
342715,2016-03-14
243034,2016-03-15
434311,2016-03-16
308933,2016-03-17
239196,2016-03-18
131654,2016-03-19
126668,2016-03-20
245588,2016-03-21
278644,2016-03-22
333819,2016-03-23
140734,2016-03-24
151444,2016-03-25
8476,2016-03-26
15041,2016-03-27
27713,2016-03-28
296640,2016-03-29
367531,2016-03-30
242032,2016-03-31
300552,2016-04-01
126734,2016-04-02
73661,2016-04-03
127392,2016-04-04
251615,2016-04-05
245226,2016-04-06
234157,2016-04-07
167216,2016-04-08
140657,2016-04-09
42696,2016-04-10
180716,2016-04-11
242076,2016-04-12
265432,2016-04-13
189678,2016-04-14
124411,2016-04-15
76167,2016-04-16
74360,2016-04-17
263563,2016-04-18
257011,2016-04-19
392279,2016-04-20
283463,2016-04-21
202071,2016-04-22
56740,2016-04-23
51390,2016-04-24
175781,2016-04-25
285047,2016-04-26
197493,2016-04-27
245747,2016-04-28
74591,2016-04-29
34149,2016-04-30
76455,2016-05-01
117444,2016-05-02
180221,2016-05-03
185086,2016-05-04
205997,2016-05-05
236065,2016-05-06
160348,2016-05-07
188275,2016-05-08
420071,2016-05-09
277178,2016-05-10
340195,2016-05-11
342477,2016-05-12
190563,2016-05-13
166586,2016-05-14
203772,2016-05-15
186804,2016-05-16
316446,2016-05-17
340595,2016-05-18
311754,2016-05-19
300519,2016-05-20
219828,2016-05-21
233552,2016-05-22
373828,2016-05-23
433250,2016-05-24
552547,2016-05-25
479669,2016-05-26
437161,2016-05-27
209551,2016-05-28
241518,2016-05-29
378400,2016-05-30
265279,2016-05-31
292964,2016-06-01
276045,2016-06-02
276091,2016-06-03
190820,2016-06-04
207617,2016-06-05
292551,2016-06-06
364384,2016-06-07
324300,2016-06-08
158799,2016-06-09
169316,2016-06-10
129669,2016-06-11
296429,2016-06-12
389789,2016-06-13
362022,2016-06-14
358457,2016-06-15
329437,2016-06-16
310580,2016-06-17
185672,2016-06-18
257473,2016-06-19
340455,2016-06-20
345543,2016-06-21
379547,2016-06-22
316237,2016-06-23
259008,2016-06-24
248307,2016-06-25
211283,2016-06-26
391455,2016-06-27
363305,2016-06-28
256936,2016-06-29
228769,2016-06-30
194310,2016-07-01
95508,2016-07-02
174292,2016-07-03
195291,2016-07-04
216944,2016-07-05
251815,2016-07-06
215706,2016-07-07
278330,2016-07-08
96013,2016-07-09
158761,2016-07-10
245578,2016-07-11
225925,2016-07-12
224500,2016-07-13
305236,2016-07-14
256839,2016-07-15
144056,2016-07-16
143641,2016-07-17
210584,2016-07-18
163596,2016-07-19
183700,2016-07-20
166180,2016-07-21
124748,2016-07-22
39197,2016-07-23
139566,2016-07-24
189126,2016-07-25
193522,2016-07-26
210753,2016-07-27
191622,2016-07-28
199413,2016-07-29
120377,2016-07-30
103447,2016-07-31
167696,2016-08-01
221584,2016-08-02
159120,2016-08-03
250324,2016-08-04
229337,2016-08-05
77762,2016-08-06
195724,2016-08-07
229994,2016-08-08
184827,2016-08-09
246249,2016-08-10
181137,2016-08-11
281084,2016-08-12
127020,2016-08-13
223377,2016-08-14
197462,2016-08-15
256792,2016-08-16
225527,2016-08-17
242022,2016-08-18
206612,2016-08-19
100530,2016-08-20
177899,2016-08-21
137717,2016-08-22
168133,2016-08-23
175201,2016-08-24
227610,2016-08-25
214724,2016-08-26
150154,2016-08-27
183274,2016-08-28
237586,2016-08-29
263494,2016-08-30
222149,2016-08-31
236152,2016-09-01
297689,2016-09-02
73060,2016-09-03
205784,2016-09-04
302533,2016-09-05
329567,2016-09-06
243581,2016-09-07
230613,2016-09-08
226328,2016-09-09
113886,2016-09-10
189487,2016-09-11
189257,2016-09-12
184795,2016-09-13
203355,2016-09-14
78681,2016-09-15
50705,2016-09-16
49127,2016-09-17
172642,2016-09-18
234930,2016-09-19
265636,2016-09-20
274468,2016-09-21
280497,2016-09-22
254066,2016-09-23
121096,2016-09-24
236586,2016-09-25
247905,2016-09-26
274508,2016-09-27
305527,2016-09-28
361020,2016-09-29
302288,2016-09-30
92993,2016-10-01
61401,2016-10-02
49609,2016-10-03
73896,2016-10-04
82350,2016-10-05
95832,2016-10-06
97062,2016-10-07
123662,2016-10-08
198369,2016-10-09
139201,2016-10-10
202210,2016-10-11
255130,2016-10-12
198642,2016-10-13
273989,2016-10-14
135290,2016-10-15
153001,2016-10-16
253557,2016-10-17
202504,2016-10-18
154632,2016-10-19
170828,2016-10-20
125664,2016-10-21
34424,2016-10-22
73734,2016-10-23
193596,2016-10-24
183367,2016-10-25
169451,2016-10-26
207382,2016-10-27
125655,2016-10-28
42320,2016-10-29
102465,2016-10-30
155079,2016-10-31
176815,2016-11-01
111630,2016-11-02
134224,2016-11-03
111111,2016-11-04
45607,2016-11-05
93814,2016-11-06
135369,2016-11-07
114715,2016-11-08
120215,2016-11-09
133635,2016-11-10
140083,2016-11-11
41005,2016-11-12
55866,2016-11-13
103788,2016-11-14
182599,2016-11-15
91597,2016-11-16
105936,2016-11-17
79996,2016-11-18
42285,2016-11-19
41822,2016-11-20
94092,2016-11-21
97710,2016-11-22
120046,2016-11-23
87947,2016-11-24
135109,2016-11-25
100936,2016-11-26
71914,2016-11-27
120023,2016-11-28
199478,2016-11-29
180329,2016-11-30
127623,2016-12-01
206687,2016-12-02
33936,2016-12-03
102331,2016-12-04
158034,2016-12-05
144895,2016-12-06
84789,2016-12-07
99862,2016-12-08
114485,2016-12-09
39455,2016-12-10
34611,2016-12-11
126346,2016-12-12
