symbol,name,J01.DCE,JM01.DCE
000552.SZ,靖远煤电,-0.103104751823,-0.128803689672
000571.SZ,新大洲A,0.168610297652,0.240540053583
000723.SZ,美锦能源,0.260814737161,0.36020574764
000780.SZ,平庄能源,0.229034226449,0.315375247089
000937.SZ,冀中能源,0.370436067862,0.48839255191
000968.SZ,*ST煤气,0.143419221501,0.194423856821
000983.SZ,西山煤电,0.250717574706,0.293421090847
002128.SZ,露天煤业,0.192106839466,0.262906076637
002753.SZ,永东股份,0.032874540827,0.0641947280149
600121.SH,郑州煤电,0.102366561673,0.157788831801
600123.SH,兰花科创,0.13404243037,0.181616084306
600157.SH,永泰能源,0.119215013639,0.174918855801
600188.SH,兖州煤业,0.262412811213,0.326799012034
600348.SH,阳泉煤业,0.190685093703,0.246221201931
600395.SH,盘江股份,0.156968200673,0.189756363621
600397.SH,安源煤业,0.123527621957,0.184386815902
600403.SH,大有能源,0.0852398658625,0.127522407937
600408.SH,安泰集团,0.0444476129216,0.0287025763298
600508.SH,上海能源,0.177940562124,0.24169212958
600546.SH,*ST山煤,0.129158672767,0.18354740166
600714.SH,金瑞矿业,0.228790076662,0.304507416811
600721.SH,*ST百花,-0.0913375353937,-0.117591854975
600725.SH,*ST云维,-0.0300226073224,-0.0350515183555
600740.SH,山西焦化,0.235007361261,0.295344844761
600792.SH,云煤能源,0.135849939892,0.190509125859
600971.SH,恒源煤电,0.26692779032,0.360565626597
600997.SH,开滦股份,0.355873464684,0.46976414532
601001.SH,大同煤业,0.309699427577,0.396657299171
601011.SH,宝泰隆,0.335953152819,0.437153595939
601015.SH,陕西黑猫,0.145108925416,0.22605128384
601088.SH,中国神华,0.225677633727,0.301775845782
601101.SH,昊华能源,0.0793074747665,0.11594897589
601225.SH,陕西煤业,0.292528502161,0.385333335467
601666.SH,平煤股份,0.237539950646,0.319600210951
601699.SH,潞安环能,0.305117204876,0.387400500371
601898.SH,中煤能源,0.203555277163,0.279887651816
601918.SH,*ST新集,-0.139014190144,-0.149104948746
