dividendyield2,mkt_cap_ard,or_ttm,pcf_ocf_ttm,pe_ttm,profit_ttm,ps_ttm,date
1.4863,3.95906772048e+12,,10.5855,23.0021,,1.2695,2005-01-01
1.4863,3.95906772048e+12,,10.5855,23.0021,,1.2695,2005-01-02
1.4863,3.95906772048e+12,,10.5855,23.0021,,1.2695,2005-01-03
1.5154,3.88067628423e+12,,10.3767,22.4178,,1.2445,2005-01-04
1.5013,3.91439112623e+12,,10.4668,22.6125,,1.2554,2005-01-05
1.5166,3.87381885635e+12,,10.3584,22.3782,,1.2423,2005-01-06
1.5114,3.88724558848e+12,,10.3943,22.4557,,1.2467,2005-01-07
1.5104,3.88978343848e+12,,10.4002,22.5914,,1.2472,2005-01-08
1.5104,3.88978343848e+12,,10.4002,22.5914,,1.2472,2005-01-09
1.5003,3.91400795545e+12,,10.4675,22.582,,1.2553,2005-01-10
1.4952,3.92745193553e+12,,10.5035,22.6596,,1.2596,2005-01-11
1.4957,3.92652550031e+12,,10.5,22.6532,,1.2593,2005-01-12
1.4954,3.92714941064e+12,,10.5017,22.6568,,1.2595,2005-01-13
1.5081,3.89056677135e+12,,10.4039,22.4457,,1.2478,2005-01-14
1.5069,3.89336546324e+12,,10.4033,22.61,,1.2483,2005-01-15
1.5069,3.89336546324e+12,,10.4033,22.61,,1.2483,2005-01-16
1.5437,3.80047147706e+12,,10.1576,21.9249,,1.2188,2005-01-17
1.5308,3.83088222213e+12,,10.2363,22.0974,,1.2285,2005-01-18
1.5402,3.80792096613e+12,,10.1737,21.9605,,1.221,2005-01-19
1.5588,3.76194881889e+12,,10.0507,21.6787,,1.2062,2005-01-20
1.5223,3.85091795915e+12,,10.2884,22.1914,,1.2347,2005-01-21
1.5211,3.85371665104e+12,,10.2868,22.352,,1.2352,2005-01-22
1.5211,3.85371665104e+12,,10.2868,22.352,,1.2352,2005-01-23
1.4957,3.9202285149e+12,,10.4668,22.5866,,1.2567,2005-01-24
1.4975,3.9182540166e+12,,10.4542,22.5771,,1.256,2005-01-25
1.5113,3.88173251467e+12,,10.3544,22.348,,1.2442,2005-01-26
1.5328,3.82857424069e+12,,10.2116,22.0401,,1.2267,2005-01-27
1.5499,3.7865797425e+12,,10.0864,21.7928,,1.2128,2005-01-28
1.5486,3.78937843439e+12,,10.069,21.9193,,1.2128,2005-01-29
1.5486,3.78937843439e+12,,10.069,21.9193,,1.2128,2005-01-30
1.5809,3.71341873144e+12,,9.8673,21.323,,1.1887,2005-01-31
1.5855,3.70314874394e+12,,9.811,21.2399,,1.1839,2005-02-01
1.5051,3.90169529302e+12,,10.3512,22.3916,,1.247,2005-02-02
1.5164,3.87983588244e+12,,10.2111,22.1193,,1.2366,2005-02-03
1.4856,3.95922492197e+12,,10.3917,22.3726,,1.2576,2005-02-04
1.4843,3.96222419495e+12,,10.4009,22.4963,,1.2581,2005-02-05
1.4843,3.96222419495e+12,,10.4009,22.4963,,1.2581,2005-02-06
1.4843,3.96222419495e+12,,10.4009,22.4963,,1.2581,2005-02-07
1.4843,3.96222419495e+12,,10.4009,22.4963,,1.2581,2005-02-08
1.4843,3.96222419495e+12,,10.4009,22.4963,,1.2581,2005-02-09
1.4843,3.96222419495e+12,,10.4009,22.4963,,1.2581,2005-02-10
1.4843,3.96222419495e+12,,10.4009,22.4963,,1.2581,2005-02-11
1.4843,3.96222419495e+12,,10.4009,22.4963,,1.2581,2005-02-12
1.4843,3.96222419495e+12,,10.4009,22.4963,,1.2581,2005-02-13
