CBOE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.  Your use of CBOE data is subject to the Terms and Conditions of CBOE's Websites.,,,,
Date,Open,High,Low,Close
3/16/2011,30.15,35.89,29.53,35.84
3/17/2011,33.78,34.6,31.58,31.77
3/18/2011,29.62,30.58,28.92,29.31
3/21/2011,27.08,27.29,25.15,25.95
3/22/2011,24.85,25.27,24.48,24.52
3/23/2011,24.39,24.89,23.55,24.03
3/24/2011,23.6,24.57,22.77,22.92
3/25/2011,23.13,23.16,22.07,22.99
3/28/2011,24.58,24.67,23.16,23.52
3/29/2011,23.03,24.05,23.01,23.8
3/30/2011,23.01,23.31,22.93,23.03
3/31/2011,22.99,23.27,22.67,23.04
4/1/2011,22.24,22.61,21.92,22.44
4/4/2011,22.43,22.5,21.82,22.4
4/5/2011,22.92,22.92,22.07,22.52
4/6/2011,22.41,22.95,22.35,22.94
4/7/2011,23.05,23.57,22.61,23.2
4/8/2011,22.83,23.64,22.64,23.56
4/11/2011,22.12,22.51,21.09,21.29
4/12/2011,21.85,23.39,21.84,22.48
4/13/2011,21.83,22.17,21.47,21.71
4/14/2011,21.88,22.13,21.2,21.76
4/15/2011,21.71,21.96,20.09,20.09
4/18/2011,22.44,22.72,21.84,22.17
4/19/2011,22.23,22.23,20.83,20.97
4/20/2011,20.11,21.37,19.91,20.79
4/21/2011,20.66,20.75,20.48,20.58
4/25/2011,22.21,22.65,21.98,22.48
4/26/2011,22.57,22.76,22.11,22.2
4/27/2011,22.45,23.43,22.26,22.4
4/28/2011,22.66,22.75,22.08,22.14
4/29/2011,22.31,22.52,21.97,22.05
5/2/2011,22.88,23.38,22.32,23.33
5/3/2011,23.91,25.26,23.7,24.95
5/4/2011,25.68,25.98,25.15,25.53
5/5/2011,25.67,25.85,23.07,23.67
5/6/2011,23.32,24.29,22.91,23.92
5/9/2011,24.53,24.55,22.67,22.98
5/10/2011,22.81,23.03,22.03,23
5/11/2011,23.65,23.99,22.98,23.05
5/12/2011,23.35,23.78,21.94,21.97
5/13/2011,21.98,23.45,21.92,23.2
5/16/2011,24.06,24.14,22.69,23.46
5/17/2011,23.61,23.92,22.89,23.02
5/18/2011,22.47,22.67,21.48,21.94
5/19/2011,22.13,22.64,21.55,21.76
5/20/2011,21.69,21.92,21.04,21.24
5/23/2011,23.67,23.81,23.38,23.53
5/24/2011,23.04,23.1,22.54,22.92
5/25/2011,22.91,23.04,21.78,21.81
5/26/2011,21.69,21.69,20.9,20.96
5/27/2011,20.58,21.04,20.31,20.92
5/31/2011,21.48,22.16,20.9,21.79
6/1/2011,22.3,23.63,22.27,23.58
6/2/2011,23.77,25.07,23.5,23.84
6/3/2011,24.97,25.04,23.29,23.69
6/6/2011,24.76,24.82,24.13,24.64
6/7/2011,23.85,24.15,23.06,24.04
6/8/2011,24.26,24.97,24.05,24.94
6/9/2011,25.12,25.27,23.99,24.25
6/10/2011,24.67,26.66,24.67,25.87
6/13/2011,25.91,26.13,24.95,25.84
6/14/2011,25.5,25.5,24.49,24.97
6/15/2011,25.68,26.87,25.11,26.54
6/16/2011,27.54,29.06,25.79,28.44
6/17/2011,28.84,28.89,27.94,28.6
6/20/2011,29.71,29.73,26.8,26.89
6/21/2011,27.17,27.17,24.67,24.79
6/22/2011,25.72,25.73,23.57,24.81
6/23/2011,25.93,26.95,24.64,24.64
6/24/2011,23.65,25.88,23.47,25.63
6/27/2011,26.12,26.22,25.02,26.1
6/28/2011,26.39,26.4,25.05,25.15
6/29/2011,25.61,25.78,23.58,23.69
6/30/2011,23.4,23.4,22.54,22.55
7/1/2011,22.47,22.61,21.96,22.12
7/5/2011,23.24,23.29,21.96,22.5
7/6/2011,23.23,23.56,22.82,23.02
7/7/2011,22.66,22.82,22.12,22.8
7/8/2011,23.21,24.25,23.21,24.25
7/11/2011,25.34,27.11,25.19,26.87
7/12/2011,27.39,27.88,26.36,26.87
7/13/2011,25.57,26.15,25.08,25.99
7/14/2011,25.27,26.31,24.54,26.11
7/15/2011,25.72,26.09,25.28,25.32
7/18/2011,26.86,27.25,25.89,25.92
7/19/2011,25.07,25.44,23.97,24.03
7/20/2011,23.44,24.51,23.44,23.76
7/21/2011,23.76,23.83,22.77,23.68
7/22/2011,23.6,23.6,22.7,22.8
7/25/2011,24.21,24.37,23.5,24.29
7/26/2011,24.31,24.33,23.71,24.15
7/27/2011,24.49,26.56,24.32,26.31
7/28/2011,26.5,26.5,25.21,26.17
7/29/2011,27.7,27.99,27.08,27.1
8/1/2011,27.19,27.91,26.23,26.41
8/2/2011,26.87,27.56,26.37,27.53
8/3/2011,28,28.85,27.09,27.2
8/4/2011,29.06,34.66,28.21,34.62
8/5/2011,37.06,41.32,35.87,39.88
8/8/2011,44.91,50.19,43.24,50.12
8/9/2011,49.19,67.08,45.08,45.38
8/10/2011,52.52,55.44,51.06,55.44
8/11/2011,52.42,52.56,44.18,46.07
8/12/2011,43.93,44.64,42.51,43.25
8/15/2011,38.68,40.32,36.5,37.06
8/16/2011,37.71,38.55,35.97,36.39
8/17/2011,35.62,35.62,32.63,33.54
8/18/2011,36.86,42.96,36.78,42.28
8/19/2011,45.48,46.68,41.68,46
8/22/2011,44.09,44.67,41.78,44.42
8/23/2011,41.95,77.07,38.71,38.71
8/24/2011,41.53,42.13,39.45,40.08
8/25/2011,39.68,46.17,39.13,46.02
8/26/2011,47.29,48.93,41.82,41.92
8/29/2011,41.38,41.38,37.69,37.73
8/30/2011,38.4,38.4,36.67,37.89
8/31/2011,36.23,36.29,34.84,34.92
9/1/2011,36.77,47.4,34.71,36.09
9/2/2011,38.71,38.75,36.8,38
9/6/2011,43.54,60.18,42,42.07
9/7/2011,40.92,41.1,37.71,38.37
9/8/2011,40.01,40.43,38.1,40.29
9/9/2011,40.81,45.58,40.77,45.07
