close,date
12.99,2002-01-04
12.83,2002-01-07
12.7,2002-01-08
12.57,2002-01-09
12.64,2002-01-10
12.31,2002-01-11
12.03,2002-01-14
11.66,2002-01-15
11.76,2002-01-16
11.27,2002-01-17
11.28,2002-01-18
10.95,2002-01-21
11.13,2002-01-22
12.01,2002-01-23
12.01,2002-01-24
12.0,2002-01-25
11.24,2002-01-28
11.6,2002-01-29
11.54,2002-01-30
12.38,2002-01-31
12.49,2002-02-01
12.57,2002-02-04
12.51,2002-02-05
12.35,2002-02-06
12.52,2002-02-07
12.5,2002-02-08
12.82,2002-02-25
12.74,2002-02-26
12.78,2002-02-27
12.64,2002-02-28
12.47,2002-03-01
12.59,2002-03-04
12.99,2002-03-05
13.17,2002-03-06
13.5,2002-03-07
13.4,2002-03-08
13.53,2002-03-11
13.3,2002-03-12
13.08,2002-03-13
13.4,2002-03-14
13.01,2002-03-15
13.11,2002-03-18
13.24,2002-03-19
13.45,2002-03-20
13.31,2002-03-21
13.12,2002-03-22
13.1,2002-03-25
12.82,2002-03-26
13.08,2002-03-27
13.04,2002-03-28
12.68,2002-03-29
12.69,2002-04-01
12.46,2002-04-02
12.57,2002-04-03
12.76,2002-04-04
12.66,2002-04-05
12.75,2002-04-08
13.05,2002-04-09
12.95,2002-04-10
12.7,2002-04-11
12.72,2002-04-12
12.63,2002-04-15
12.62,2002-04-16
12.54,2002-04-17
12.5,2002-04-18
12.47,2002-04-19
12.26,2002-04-22
12.24,2002-04-23
12.17,2002-04-24
12.16,2002-04-25
12.33,2002-04-26
12.5,2002-04-29
12.42,2002-04-30
12.29,2002-05-08
12.23,2002-05-09
12.14,2002-05-10
12.03,2002-05-13
11.95,2002-05-14
11.83,2002-05-15
11.53,2002-05-16
11.48,2002-05-17
11.75,2002-05-20
11.91,2002-05-21
11.66,2002-05-22
11.8,2002-05-23
11.82,2002-05-24
11.8,2002-05-27
11.72,2002-05-28
11.46,2002-05-29
11.42,2002-05-30
11.3,2002-05-31
11.16,2002-06-03
11.27,2002-06-04
11.09,2002-06-05
11.57,2002-06-06
11.42,2002-06-07
11.4,2002-06-10
11.43,2002-06-11
11.43,2002-06-12
11.43,2002-06-13
11.43,2002-06-14
11.43,2002-06-17
11.49,2002-06-18
11.3,2002-06-19
11.42,2002-06-20
11.9,2002-06-21
13.09,2002-06-24
13.0,2002-06-25
12.91,2002-06-26
12.79,2002-06-27
13.21,2002-06-28
13.21,2002-07-01
13.17,2002-07-02
13.01,2002-07-03
12.75,2002-07-04
12.83,2002-07-05
12.84,2002-07-08
12.78,2002-07-09
12.58,2002-07-10
12.56,2002-07-11
12.59,2002-07-12
12.43,2002-07-15
12.46,2002-07-16
12.38,2002-07-17
12.54,2002-07-18
12.52,2002-07-19
12.27,2002-07-22
12.16,2002-07-23
12.1,2002-07-24
12.0,2002-07-25
12.01,2002-07-26
12.2,2002-07-29
12.15,2002-07-30
12.05,2002-07-31
12.1,2002-08-01
12.13,2002-08-02
12.03,2002-08-05
12.17,2002-08-06
12.11,2002-08-07
12.01,2002-08-08
11.9,2002-08-09
11.81,2002-08-12
11.9,2002-08-13
11.94,2002-08-14
11.77,2002-08-15
11.79,2002-08-16
11.88,2002-08-19
12.05,2002-08-20
12.13,2002-08-21
12.2,2002-08-22
12.14,2002-08-23
11.94,2002-08-26
12.04,2002-08-27
11.98,2002-08-28
11.85,2002-08-29
11.87,2002-08-30
11.86,2002-09-02
11.91,2002-09-03
11.85,2002-09-04
11.76,2002-09-05
11.72,2002-09-06
11.48,2002-09-09
11.49,2002-09-10
11.58,2002-09-11
11.64,2002-09-12
11.58,2002-09-13
11.42,2002-09-16
11.5,2002-09-17
11.4,2002-09-18
11.75,2002-09-19
11.55,2002-09-20
11.64,2002-09-23
11.54,2002-09-24
11.56,2002-09-25
11.5,2002-09-26
11.43,2002-09-27
11.3,2002-10-08
11.09,2002-10-09
11.09,2002-10-10
11.1,2002-10-11
11.15,2002-10-14
11.02,2002-10-15
11.18,2002-10-16
11.05,2002-10-17
11.1,2002-10-18
11.16,2002-10-21
11.25,2002-10-22
11.28,2002-10-23
11.15,2002-10-24
11.1,2002-10-25
11.02,2002-10-28
11.02,2002-10-29
10.99,2002-10-30
10.99,2002-10-31
11.05,2002-11-01
11.13,2002-11-04
11.3,2002-11-05
11.2,2002-11-06
11.28,2002-11-07
11.24,2002-11-08
10.95,2002-11-11
10.56,2002-11-12
10.46,2002-11-13
10.04,2002-11-14
10.09,2002-11-15
10.0,2002-11-18
10.23,2002-11-19
10.34,2002-11-20
10.04,2002-11-21
10.22,2002-11-22
10.21,2002-11-25
9.8,2002-11-26
9.69,2002-11-27
9.95,2002-11-28
10.13,2002-11-29
9.79,2002-12-02
9.86,2002-12-03
9.94,2002-12-04
9.88,2002-12-05
9.86,2002-12-06
9.8,2002-12-09
9.72,2002-12-10
9.73,2002-12-11
9.72,2002-12-12
9.77,2002-12-13
9.84,2002-12-16
9.91,2002-12-17
9.83,2002-12-18
9.82,2002-12-19
9.94,2002-12-20
9.98,2002-12-23
9.95,2002-12-24
9.97,2002-12-25
9.78,2002-12-26
9.79,2002-12-27
9.6,2002-12-30
9.65,2002-12-31
9.2,2003-01-02
9.09,2003-01-03
9.15,2003-01-06
9.04,2003-01-07
9.23,2003-01-08
9.57,2003-01-09
9.54,2003-01-10
9.53,2003-01-13
10.02,2003-01-14
9.91,2003-01-15
10.15,2003-01-16
