close,date
128.5199,2010-01-04
128.5362,2010-01-05
128.5692,2010-01-06
128.5554,2010-01-07
128.525,2010-01-08
128.545,2010-01-11
128.5302,2010-01-12
128.4597,2010-01-13
128.5088,2010-01-14
128.5379,2010-01-15
128.5853,2010-01-18
128.6034,2010-01-19
128.6778,2010-01-20
128.7065,2010-01-21
128.7539,2010-01-22
128.8073,2010-01-25
128.8592,2010-01-26
128.9101,2010-01-27
128.9274,2010-01-28
128.9535,2010-01-29
129.0554,2010-02-01
129.1234,2010-02-02
129.177,2010-02-03
129.1792,2010-02-04
129.2182,2010-02-05
129.298,2010-02-08
129.3435,2010-02-09
129.37,2010-02-10
129.3836,2010-02-11
129.3859,2010-02-12
129.4211,2010-02-22
129.4275,2010-02-23
129.4923,2010-02-24
129.5845,2010-02-25
129.8012,2010-02-26
129.8986,2010-03-01
129.9781,2010-03-02
130.0852,2010-03-03
130.0618,2010-03-04
130.11,2010-03-05
130.1911,2010-03-08
130.1944,2010-03-09
130.2462,2010-03-10
130.2231,2010-03-11
130.2365,2010-03-12
130.2839,2010-03-15
130.3298,2010-03-16
130.4155,2010-03-17
130.4692,2010-03-18
130.4921,2010-03-19
130.4931,2010-03-22
130.496,2010-03-23
130.5122,2010-03-24
130.5099,2010-03-25
130.5062,2010-03-26
130.4915,2010-03-29
130.4607,2010-03-30
130.5083,2010-03-31
130.5156,2010-04-01
130.5338,2010-04-02
130.5726,2010-04-06
130.505,2010-04-07
130.4473,2010-04-08
130.4498,2010-04-09
130.4859,2010-04-12
130.5476,2010-04-13
130.571,2010-04-14
130.6039,2010-04-15
130.6286,2010-04-16
130.7282,2010-04-19
130.787,2010-04-20
130.8299,2010-04-21
130.8756,2010-04-22
130.9456,2010-04-23
131.057,2010-04-26
131.0863,2010-04-27
131.1399,2010-04-28
131.171,2010-04-29
131.1865,2010-04-30
131.1705,2010-05-04
131.1634,2010-05-05
131.2008,2010-05-06
131.3381,2010-05-07
131.3624,2010-05-10
131.3631,2010-05-11
131.4193,2010-05-12
131.4701,2010-05-13
131.4843,2010-05-14
131.5605,2010-05-17
131.6703,2010-05-18
131.7691,2010-05-19
131.7657,2010-05-20
131.7842,2010-05-21
131.7664,2010-05-24
131.7533,2010-05-25
131.7736,2010-05-26
131.747,2010-05-27
131.7358,2010-05-28
131.7527,2010-05-31
131.6688,2010-06-01
131.6817,2010-06-02
131.7302,2010-06-03
131.7611,2010-06-04
131.8186,2010-06-07
131.8167,2010-06-08
131.8065,2010-06-09
131.7687,2010-06-10
131.7099,2010-06-11
131.7538,2010-06-17
131.5322,2010-06-18
131.5558,2010-06-21
131.5816,2010-06-22
131.5674,2010-06-23
131.5798,2010-06-24
131.5699,2010-06-25
131.678,2010-06-28
131.7505,2010-06-29
131.809,2010-06-30
131.8438,2010-07-01
131.8773,2010-07-02
131.9441,2010-07-05
132.0698,2010-07-06
132.1403,2010-07-07
132.1626,2010-07-08
132.1836,2010-07-09
132.2469,2010-07-12
132.3527,2010-07-13
132.3976,2010-07-14
132.4298,2010-07-15
132.4835,2010-07-16
