close,date
1172.4143,2002-01-04
1159.0706,2002-01-07
1149.4117,2002-01-08
1128.373,2002-01-09
1138.5033,2002-01-10
1106.8322,2002-01-11
1065.3959,2002-01-14
1044.7494,2002-01-15
1057.2181,2002-01-16
1005.9463,2002-01-17
999.4201,2002-01-18
956.0754,2002-01-21
949.8397,2002-01-22
1015.4988,2002-01-23
1024.6583,2002-01-24
1025.7593,2002-01-25
956.7452,2002-01-28
983.5446,2002-01-29
990.965,2002-01-30
1061.4296,2002-01-31
1058.5637,2002-02-01
1080.0443,2002-02-04
1085.7147,2002-02-05
1057.4211,2002-02-06
1081.3279,2002-02-07
1076.613,2002-02-08
1097.0051,2002-02-25
1099.3324,2002-02-26
1103.2211,2002-02-27
1093.0841,2002-02-28
1075.0428,2002-03-01
1094.6536,2002-03-04
1122.1053,2002-03-05
1132.4258,2002-03-06
1169.0643,2002-03-07
1190.7234,2002-03-08
1214.7362,2002-03-11
1197.0487,2002-03-12
1177.7418,2002-03-13
1212.4818,2002-03-14
1177.8104,2002-03-15
1180.91,2002-03-18
1210.2268,2002-03-19
1223.5598,2002-03-20
1225.8198,2002-03-21
1213.6246,2002-03-22
1219.413,2002-03-25
1199.7758,2002-03-26
1204.9628,2002-03-27
1204.1525,2002-03-28
1167.6301,2002-03-29
1173.0083,2002-04-01
1153.0398,2002-04-02
1158.8754,2002-04-03
1192.1228,2002-04-04
1187.8528,2002-04-05
1190.7006,2002-04-08
1213.2184,2002-04-09
1220.8234,2002-04-10
1200.0334,2002-04-11
1206.5708,2002-04-12
1201.4773,2002-04-15
1198.0089,2002-04-16
1198.7491,2002-04-17
1185.1216,2002-04-18
1188.9738,2002-04-19
1183.5309,2002-04-22
1180.0259,2002-04-23
1168.9137,2002-04-24
1172.8528,2002-04-25
1192.797,2002-04-26
1213.3708,2002-04-29
1215.9514,2002-04-30
1205.7505,2002-05-08
1207.7908,2002-05-09
1198.1726,2002-05-10
1187.0687,2002-05-13
1181.8799,2002-05-14
1169.0724,2002-05-15
1130.1093,2002-05-16
1143.533,2002-05-17
1127.2083,2002-05-20
1165.5377,2002-05-21
1147.8488,2002-05-22
1153.4292,2002-05-23
1136.649,2002-05-24
1141.9471,2002-05-27
1144.35,2002-05-28
1118.9354,2002-05-29
1118.2736,2002-05-30
1111.3063,2002-05-31
1085.351,2002-06-03
1091.2197,2002-06-04
1065.6692,2002-06-05
1112.9949,2002-06-06
1122.0454,2002-06-07
1112.6746,2002-06-10
1122.7493,2002-06-11
1117.4059,2002-06-12
1106.0454,2002-06-13
1091.7837,2002-06-14
1093.9639,2002-06-17
1118.3547,2002-06-18
1105.8997,2002-06-19
1114.1591,2002-06-20
1154.7367,2002-06-21
1261.4189,2002-06-24
1252.2974,2002-06-25
1259.6024,2002-06-26
1260.9703,2002-06-27
1259.2721,2002-06-28
1246.8253,2002-07-01
1257.7897,2002-07-02
1260.4857,2002-07-03
1247.7371,2002-07-04
1253.0756,2002-07-05
