close,date
7506.0,2010-01-04
7525.0,2010-01-05
7665.0,2010-01-06
7542.5,2010-01-07
7510.0,2010-01-08
7587.5,2010-01-11
7330.0,2010-01-12
7492.75,2010-01-13
7489.0,2010-01-14
7390.0,2010-01-15
7530.0,2010-01-18
7582.0,2010-01-19
7420.0,2010-01-20
7280.0,2010-01-21
7395.0,2010-01-22
7455.0,2010-01-25
7378.0,2010-01-26
7047.5,2010-01-27
6870.0,2010-01-28
6738.25,2010-01-29
6825.0,2010-02-01
6853.75,2010-02-02
6590.0,2010-02-03
6376.5,2010-02-04
6285.0,2010-02-05
6408.75,2010-02-08
6630.0,2010-02-09
6640.0,2010-02-10
6946.25,2010-02-11
6790.0,2010-02-12
7313.0,2010-02-22
7110.0,2010-02-23
7166.0,2010-02-24
7078.25,2010-02-25
7226.0,2010-02-26
7360.0,2010-03-01
7500.0,2010-03-02
7550.0,2010-03-03
7403.0,2010-03-04
7532.0,2010-03-05
7519.0,2010-03-08
7507.5,2010-03-09
7437.0,2010-03-10
7465.0,2010-03-11
7461.0,2010-03-12
7296.0,2010-03-15
7426.0,2010-03-16
7550.0,2010-03-17
7495.0,2010-03-18
7445.0,2010-03-19
7460.0,2010-03-22
7445.0,2010-03-23
7346.0,2010-03-24
7390.0,2010-03-25
7515.0,2010-03-26
7795.0,2010-03-29
7830.0,2010-03-30
7819.75,2010-03-31
7885.0,2010-04-01
7885.0,2010-04-02
7961.25,2010-04-06
7950.0,2010-04-07
7890.0,2010-04-08
7915.0,2010-04-09
7850.0,2010-04-12
7943.75,2010-04-13
7960.0,2010-04-14
7944.75,2010-04-15
7773.5,2010-04-16
7734.0,2010-04-19
7753.0,2010-04-20
7794.0,2010-04-21
7715.0,2010-04-22
7761.0,2010-04-23
7790.25,2010-04-26
7460.0,2010-04-27
7465.75,2010-04-28
7395.5,2010-04-29
7407.0,2010-04-30
7023.0,2010-05-04
6958.0,2010-05-05
6880.0,2010-05-06
6928.75,2010-05-07
7121.0,2010-05-10
7036.5,2010-05-11
7015.0,2010-05-12
7152.0,2010-05-13
6890.0,2010-05-14
6478.0,2010-05-17
