close,date
11702.15,2002-01-04
11892.64,2002-01-07
11713.71,2002-01-08
11440.72,2002-01-09
11256.07,2002-01-10
11166.46,2002-01-11
11209.43,2002-01-14
11013.59,2002-01-15
10964.09,2002-01-16
11013.84,2002-01-17
10972.96,2002-01-18
11000.25,2002-01-21
10797.69,2002-01-22
10762.14,2002-01-23
10741.46,2002-01-24
10772.96,2002-01-25
10767.46,2002-01-28
11014.24,2002-01-29
10756.96,2002-01-30
10725.3,2002-01-31
10691.25,2002-02-01
10721.32,2002-02-04
10609.19,2002-02-05
10592.39,2002-02-06
10409.68,2002-02-07
10518.99,2002-02-08
10496.02,2002-02-25
10547.13,2002-02-26
10648.71,2002-02-27
10482.55,2002-02-28
10425.31,2002-03-01
10704.12,2002-03-04
10985.84,2002-03-05
11003.0,2002-03-06
11188.07,2002-03-07
11233.23,2002-03-08
11318.87,2002-03-11
11273.86,2002-03-12
11217.5,2002-03-13
11303.7,2002-03-14
11210.25,2002-03-15
11230.64,2002-03-18
11222.83,2002-03-19
11036.6,2002-03-20
10829.73,2002-03-21
10863.07,2002-03-22
10836.64,2002-03-25
10786.92,2002-03-26
10987.88,2002-03-27
11032.92,2002-03-28
11032.92,2002-03-29
11032.92,2002-04-01
10878.04,2002-04-02
10833.96,2002-04-03
10831.37,2002-04-04
10831.37,2002-04-05
10723.68,2002-04-08
10733.69,2002-04-09
10643.14,2002-04-10
10744.91,2002-04-11
10710.48,2002-04-12
10727.98,2002-04-15
10788.53,2002-04-16
11090.58,2002-04-17
11217.15,2002-04-18
11252.18,2002-04-19
11139.42,2002-04-22
11345.18,2002-04-23
11396.57,2002-04-24
11409.29,2002-04-25
11385.08,2002-04-26
11361.49,2002-04-29
11497.58,2002-04-30
11768.31,2002-05-08
11700.76,2002-05-09
11645.9,2002-05-10
11733.43,2002-05-13
11690.31,2002-05-14
11838.36,2002-05-15
11832.77,2002-05-16
11974.61,2002-05-17
11974.61,2002-05-20
11753.29,2002-05-21
11795.2,2002-05-22
11624.75,2002-05-23
11626.78,2002-05-24
11564.73,2002-05-27
11581.58,2002-05-28
11430.66,2002-05-29
11380.61,2002-05-30
11301.94,2002-05-31
11359.8,2002-06-03
11312.55,2002-06-04
11402.38,2002-06-05
11380.77,2002-06-06
11284.71,2002-06-07
11288.84,2002-06-10
11215.02,2002-06-11
11147.97,2002-06-12
11119.33,2002-06-13
10955.52,2002-06-14
10832.26,2002-06-17
10852.04,2002-06-18
10673.11,2002-06-19
10754.41,2002-06-20
10591.86,2002-06-21
10657.34,2002-06-24
10608.98,2002-06-25
10355.92,2002-06-26
10518.09,2002-06-27
10598.55,2002-06-28
10598.55,2002-07-01
10491.76,2002-07-02
10579.19,2002-07-03
10765.58,2002-07-04
10806.16,2002-07-05
10803.45,2002-07-08
10843.15,2002-07-09
10787.54,2002-07-10
10558.81,2002-07-11
10648.3,2002-07-12
10581.66,2002-07-15
10421.49,2002-07-16
10335.12,2002-07-17
10452.55,2002-07-18
10325.46,2002-07-19
10110.25,2002-07-22
10313.89,2002-07-23
9971.99,2002-07-24
9884.78,2002-07-25
9773.12,2002-07-26
9975.99,2002-07-29
10155.25,2002-07-30
10267.36,2002-07-31
10180.02,2002-08-01
9991.72,2002-08-02
9862.33,2002-08-05
9700.69,2002-08-06
9977.74,2002-08-07
9962.24,2002-08-08
10014.06,2002-08-09
9959.92,2002-08-12
10100.06,2002-08-13
9961.35,2002-08-14
10219.71,2002-08-15
10265.04,2002-08-16
10246.96,2002-08-19
10408.01,2002-08-20
10402.26,2002-08-21
10424.0,2002-08-22
10245.69,2002-08-23
10226.33,2002-08-26
10185.52,2002-08-27
10130.25,2002-08-28
10061.15,2002-08-29
10043.87,2002-08-30
9896.98,2002-09-02
9790.68,2002-09-03
9820.33,2002-09-04
9726.03,2002-09-05
9720.86,2002-09-06
9723.67,2002-09-09
9885.77,2002-09-10
9882.35,2002-09-11
9896.33,2002-09-12
9650.97,2002-09-13
9505.13,2002-09-16
9707.25,2002-09-17
9474.07,2002-09-18
9427.79,2002-09-19
9328.22,2002-09-20
9314.87,2002-09-23
9197.68,2002-09-24
9124.91,2002-09-25
9270.71,2002-09-26
9294.46,2002-09-27
8977.41,2002-10-08
8977.35,2002-10-09
8858.69,2002-10-10
8965.73,2002-10-11
8965.73,2002-10-14
9336.39,2002-10-15
9459.14,2002-10-16
9576.15,2002-10-17
9613.07,2002-10-18
9570.36,2002-10-21
9548.94,2002-10-22
9804.65,2002-10-23
9787.49,2002-10-24
9722.54,2002-10-25
9853.74,2002-10-28
9634.67,2002-10-29
9560.46,2002-10-30
9441.25,2002-10-31
9407.68,2002-11-01
9720.83,2002-11-04
9655.36,2002-11-05
9773.98,2002-11-06
9844.38,2002-11-07
9770.68,2002-11-08
9580.88,2002-11-11
9613.84,2002-11-12
9616.62,2002-11-13
9740.84,2002-11-14
9865.65,2002-11-15
9920.09,2002-11-18
9965.03,2002-11-19
9971.15,2002-11-20
10003.54,2002-11-21
10065.32,2002-11-22
10100.77,2002-11-25
9995.52,2002-11-26
9944.59,2002-11-27
10147.84,2002-11-28
10069.87,2002-11-29
10205.16,2002-12-02
10227.01,2002-12-03
9995.73,2002-12-04
10009.88,2002-12-05
9973.75,2002-12-06
9868.48,2002-12-09
9857.99,2002-12-10
9784.57,2002-12-11
