close,date
4649.368,2010-01-04
4653.992,2010-01-05
4735.236,2010-01-06
4689.526,2010-01-07
4689.2,2010-01-08
4669.024,2010-01-11
4577.707,2010-01-12
4546.546,2010-01-13
4533.253,2010-01-14
4470.141,2010-01-15
4470.141,2010-01-18
4492.431,2010-01-19
4426.012,2010-01-20
4367.346,2010-01-21
4308.313,2010-01-22
4334.259,2010-01-25
4295.205,2010-01-26
4228.681,2010-01-27
4209.739,2010-01-28
4176.224,2010-01-29
4237.106,2010-02-01
4357.808,2010-02-02
4330.638,2010-02-03
4173.809,2010-02-04
4079.466,2010-02-05
4115.853,2010-02-08
4189.771,2010-02-09
4216.06,2010-02-10
4272.765,2010-02-11
4221.701,2010-02-12
4450.151,2010-02-22
4372.284,2010-02-23
4419.243,2010-02-24
4331.934,2010-02-25
4408.356,2010-02-26
4368.017,2010-03-01
4417.662,2010-03-02
4476.233,2010-03-03
4427.549,2010-03-04
4478.763,2010-03-05
4485.709,2010-03-08
4459.326,2010-03-09
4476.315,2010-03-10
4462.609,2010-03-11
4439.437,2010-03-12
4376.801,2010-03-15
4454.467,2010-03-16
4510.686,2010-03-17
4486.83,2010-03-18
4420.041,2010-03-19
4430.933,2010-03-22
4431.746,2010-03-23
4381.336,2010-03-24
4366.008,2010-03-25
4348.023,2010-03-26
4446.398,2010-03-29
4462.323,2010-03-30
4493.675,2010-03-31
4557.7,2010-04-01
4557.7,2010-04-02
4638.185,2010-04-06
4612.002,2010-04-07
4575.623,2010-04-08
4579.245,2010-04-09
4573.316,2010-04-12
4575.801,2010-04-13
4638.819,2010-04-14
4646.343,2010-04-15
4569.689,2010-04-16
4491.777,2010-04-19
4536.55,2010-04-20
4546.372,2010-04-21
4556.96,2010-04-22
4609.125,2010-04-23
4582.719,2010-04-26
4508.923,2010-04-27
4525.941,2010-04-28
4572.002,2010-04-29
4618.374,2010-04-30
4498.59,2010-05-04
4382.237,2010-05-05
4271.738,2010-05-06
4211.235,2010-05-07
4288.078,2010-05-10
4286.244,2010-05-11
4299.372,2010-05-12
4266.687,2010-05-13
4118.831,2010-05-14
4002.494,2010-05-17
3998.962,2010-05-18
3957.959,2010-05-19
3892.077,2010-05-20
3890.458,2010-05-21
3890.872,2010-05-24
3822.464,2010-05-25
3919.882,2010-05-26
4042.386,2010-05-27
4009.247,2010-05-28
4009.247,2010-05-31
3951.125,2010-06-01
3966.554,2010-06-02
4024.272,2010-06-03
3899.346,2010-06-04
3893.579,2010-06-07
3911.569,2010-06-08
3990.563,2010-06-09
4034.398,2010-06-10
4008.853,2010-06-11
4159.611,2010-06-17
4150.919,2010-06-18
4169.379,2010-06-21
4135.843,2010-06-22
4068.565,2010-06-23
4079.763,2010-06-24
4161.521,2010-06-25
4133.171,2010-06-28
4013.592,2010-06-29
4025.973,2010-06-30
3936.786,2010-07-01
3905.163,2010-07-02
3905.163,2010-07-05
3908.979,2010-07-06
3992.451,2010-07-07
4041.575,2010-07-08
4065.021,2010-07-09
4012.836,2010-07-12
4097.758,2010-07-13
4098.777,2010-07-14
4106.142,2010-07-15
4072.266,2010-07-16
4083.169,2010-07-19
4102.861,2010-07-20
4082.945,2010-07-21
4194.276,2010-07-22
4178.474,2010-07-23
4178.368,2010-07-26
4122.733,2010-07-27
4132.517,2010-07-28
4200.785,2010-07-29
4252.641,2010-07-30
4350.698,2010-08-02
4383.501,2010-08-03
4409.273,2010-08-04
4396.681,2010-08-05
4324.286,2010-08-06
4337.58,2010-08-09
4281.791,2010-08-10
4198.672,2010-08-11
4141.374,2010-08-12
4123.563,2010-08-13
4106.284,2010-08-16
4147.0,2010-08-17
4136.662,2010-08-18
4102.245,2010-08-19
4065.75,2010-08-20
4043.257,2010-08-23
3979.122,2010-08-24
3990.554,2010-08-25
4043.499,2010-08-26
4108.825,2010-08-27
4106.527,2010-08-30
4017.692,2010-08-31
4097.86,2010-09-01
4137.884,2010-09-02
4150.602,2010-09-03
4150.602,2010-09-06
4154.717,2010-09-07
4169.508,2010-09-08
4159.769,2010-09-09
4211.656,2010-09-10
4252.575,2010-09-13
4267.203,2010-09-14
4246.517,2010-09-15
4212.322,2010-09-16
4206.639,2010-09-17
4240.318,2010-09-20
4197.398,2010-09-21
4251.296,2010-09-27
4244.989,2010-09-28
4303.808,2010-09-29
4358.721,2010-09-30
4489.487,2010-10-08
4489.42,2010-10-11
4488.891,2010-10-12
4531.559,2010-10-13
4517.906,2010-10-14
4453.868,2010-10-15
4511.552,2010-10-18
4379.848,2010-10-19
4481.572,2010-10-20
4406.165,2010-10-21
4442.088,2010-10-22
4481.274,2010-10-25
4494.01,2010-10-26
4464.278,2010-10-27
4487.387,2010-10-28
4470.164,2010-10-29
4511.516,2010-11-01
4553.442,2010-11-02
4576.751,2010-11-03
4679.791,2010-11-04
4699.34,2010-11-05
4718.019,2010-11-08
4737.825,2010-11-09
4745.951,2010-11-10
4726.76,2010-11-11
4566.659,2010-11-12
4583.383,2010-11-15
4438.421,2010-11-16
4394.488,2010-11-17
4482.371,2010-11-18
4440.693,2010-11-19
4428.504,2010-11-22
4413.074,2010-11-23
4517.035,2010-11-24
4517.035,2010-11-25
4509.003,2010-11-26
4567.548,2010-11-29
4518.552,2010-11-30
4653.77,2010-12-01
4716.533,2010-12-02
4776.882,2010-12-03
4785.393,2010-12-06
4761.377,2010-12-07
4762.918,2010-12-08
4762.152,2010-12-09
4737.764,2010-12-10
4794.532,2010-12-13
4778.458,2010-12-14
4784.935,2010-12-15
4750.751,2010-12-16
4780.073,2010-12-17
4830.099,2010-12-20
4857.489,2010-12-21
4890.005,2010-12-22
4915.74,2010-12-23
4915.74,2010-12-24
4899.281,2010-12-27
4931.555,2010-12-28
4924.01,2010-12-29
4865.246,2010-12-30
4943.414,2010-12-31
4877.259,2011-01-04
4925.643,2011-01-05
4855.763,2011-01-06
4826.458,2011-01-07
4883.354,2011-01-10
4957.553,2011-01-11
5003.802,2011-01-12
4986.516,2011-01-13
4999.055,2011-01-14
4999.055,2011-01-17
5004.733,2011-01-18
4994.839,2011-01-19
4934.444,2011-01-20
4959.907,2011-01-21
4925.756,2011-01-24
4844.837,2011-01-25
4935.266,2011-01-26
4897.677,2011-01-27
4991.932,2011-01-28
5094.275,2011-01-31
5094.783,2011-02-01
5040.038,2011-02-09
5024.686,2011-02-10
4994.696,2011-02-11
5024.368,2011-02-14
4970.618,2011-02-15
5002.141,2011-02-16
5029.028,2011-02-17
5030.715,2011-02-18
5030.715,2011-02-21
5127.498,2011-02-22
5239.575,2011-02-23
5217.261,2011-02-24
5282.827,2011-02-25
5285.083,2011-02-28
5372.549,2011-03-01
5446.766,2011-03-02
5444.51,2011-03-03
5505.271,2011-03-04
5494.24,2011-03-07
5442.585,2011-03-08
5455.183,2011-03-09
5381.515,2011-03-10
5328.081,2011-03-11
5319.477,2011-03-14
5117.274,2011-03-15
5149.215,2011-03-16
5323.35,2011-03-17
5336.625,2011-03-18
5378.58,2011-03-21
5434.189,2011-03-22
5445.856,2011-03-23
5465.23,2011-03-24
5462.576,2011-03-25
5399.886,2011-03-28
5418.763,2011-03-29
5405.534,2011-03-30
5515.06,2011-03-31
5559.32,2011-04-01
5640.261,2011-04-06
5660.671,2011-04-07
5775.291,2011-04-08
5697.231,2011-04-11
5545.894,2011-04-12
5579.525,2011-04-13
5587.027,2011-04-14
5636.538,2011-04-15
5567.726,2011-04-18
5581.431,2011-04-19
5679.504,2011-04-20
5707.182,2011-04-21
5707.182,2011-04-22
5710.899,2011-04-25
5706.041,2011-04-26
5709.085,2011-04-27
5700.698,2011-04-28
5758.369,2011-04-29
5637.539,2011-05-03
5551.57,2011-05-04
5189.544,2011-05-05
5114.607,2011-05-06
5298.166,2011-05-09
5373.729,2011-05-10
5163.79,2011-05-11
5163.602,2011-05-12
5182.368,2011-05-13
5122.727,2011-05-16
5101.295,2011-05-17
5238.71,2011-05-18
5179.707,2011-05-19
5219.604,2011-05-20
5130.84,2011-05-23
5191.189,2011-05-24
5280.333,2011-05-25
5265.434,2011-05-26
5296.977,2011-05-27
5296.977,2011-05-30
5361.708,2011-05-31
5280.731,2011-06-01
5295.33,2011-06-02
5304.971,2011-06-03
5278.974,2011-06-07
5334.407,2011-06-08
5384.911,2011-06-09
5324.647,2011-06-10
5276.752,2011-06-13
5324.616,2011-06-14
5144.463,2011-06-15
5122.416,2011-06-16
5079.2,2011-06-17
5063.05,2011-06-20
5074.352,2011-06-21
5110.387,2011-06-22
4924.655,2011-06-23
4895.413,2011-06-24
4879.682,2011-06-27
4986.991,2011-06-28
5089.612,2011-06-29
5077.249,2011-06-30
5042.848,2011-07-01
5042.848,2011-07-04
5126.674,2011-07-05
5114.335,2011-07-06
5244.513,2011-07-07
5202.782,2011-07-08
5159.803,2011-07-11
5231.662,2011-07-12
5292.82,2011-07-13
5218.499,2011-07-14
5260.436,2011-07-15
5212.532,2011-07-18
5265.469,2011-07-19
5279.092,2011-07-20
5271.601,2011-07-21
5318.31,2011-07-22
5287.404,2011-07-25
5316.782,2011-07-26
5267.159,2011-07-27
5254.709,2011-07-28
5200.874,2011-07-29
5185.735,2011-08-01
5183.728,2011-08-02
5091.116,2011-08-03
4889.149,2011-08-04
4892.33,2011-08-05
4699.652,2011-08-08
4652.291,2011-08-09
4768.119,2011-08-10
4868.183,2011-08-11
4865.676,2011-08-12
4943.415,2011-08-15
4921.195,2011-08-16
4970.432,2011-08-17
4806.859,2011-08-18
4853.501,2011-08-19
4888.284,2011-08-22
4936.775,2011-08-23
4922.614,2011-08-24
4941.368,2011-08-25
4977.451,2011-08-26
5016.073,2011-08-29
5088.5,2011-08-30
5104.938,2011-08-31
5072.33,2011-09-01
5006.142,2011-09-02
5006.142,2011-09-05
4979.247,2011-09-06
5084.516,2011-09-07
5069.36,2011-09-08
4976.33,2011-09-09
4992.996,2011-09-13
4967.392,2011-09-14
4996.392,2011-09-15
4954.806,2011-09-16
4847.562,2011-09-19
4883.137,2011-09-20
4844.421,2011-09-21
4608.788,2011-09-22
4546.291,2011-09-23
4554.828,2011-09-26
4703.921,2011-09-27
4578.931,2011-09-28
4603.519,2011-09-29
4483.729,2011-09-30
4697.663,2011-10-10
4741.341,2011-10-11
4748.538,2011-10-12
4729.207,2011-10-13
4844.303,2011-10-14
4806.332,2011-10-17
4839.126,2011-10-18
4757.506,2011-10-19
4743.801,2011-10-20
4789.14,2011-10-21
4901.686,2011-10-24
4930.518,2011-10-25
4843.285,2011-10-26
4990.445,2011-10-27
4955.589,2011-10-28
4920.722,2011-10-31
4873.156,2011-11-01
4883.301,2011-11-02
4943.89,2011-11-03
4964.451,2011-11-04
5012.433,2011-11-07
5051.62,2011-11-08
4987.355,2011-11-09
5016.958,2011-11-10
5050.262,2011-11-11
5013.811,2011-11-14
5056.024,2011-11-15
5103.15,2011-11-16
4957.027,2011-11-17
4918.34,2011-11-18
4868.446,2011-11-21
4916.378,2011-11-22
4840.904,2011-11-23
4840.904,2011-11-24
4824.311,2011-11-25
4890.407,2011-11-28
4956.026,2011-11-29
4990.427,2011-11-30
4963.282,2011-12-01
4992.713,2011-12-02
4986.598,2011-12-05
5003.158,2011-12-06
4955.679,2011-12-07
4897.015,2011-12-08
4904.327,2011-12-09
4840.958,2011-12-12
4910.455,2011-12-13
4711.123,2011-12-14
4683.115,2011-12-15
4680.61,2011-12-16
4692.71,2011-12-19
4806.227,2011-12-20
4854.876,2011-12-21
4886.132,2011-12-22
4892.535,2011-12-23
4892.535,2011-12-26
4949.15,2011-12-27
4889.262,2011-12-28
4892.023,2011-12-29
4885.256,2011-12-30
5076.432,2012-01-04
5009.541,2012-01-05
5013.966,2012-01-06
5016.689,2012-01-09
5059.246,2012-01-10
5019.839,2012-01-11
4956.371,2012-01-12
4925.129,2012-01-13
4925.129,2012-01-16
4985.79,2012-01-17
4968.787,2012-01-18
4987.375,2012-01-19
4928.739,2012-01-20
4998.364,2012-01-30
4994.307,2012-01-31
4994.971,2012-02-01
4971.871,2012-02-02
5037.78,2012-02-03
5053.7,2012-02-06
