close,date
1172.51,2002-01-04
1164.89,2002-01-07
1160.71,2002-01-08
1155.14,2002-01-09
1156.55,2002-01-10
1145.6,2002-01-11
1138.41,2002-01-14
1146.19,2002-01-15
1127.57,2002-01-16
1138.88,2002-01-17
1127.58,2002-01-18
1127.58,2002-01-21
1119.31,2002-01-22
1128.18,2002-01-23
1132.15,2002-01-24
1133.28,2002-01-25
1133.06,2002-01-28
1100.64,2002-01-29
1113.57,2002-01-30
1130.2,2002-01-31
1122.2,2002-02-01
1094.44,2002-02-04
1090.02,2002-02-05
1083.51,2002-02-06
1080.17,2002-02-07
1096.22,2002-02-08
1109.43,2002-02-25
1109.38,2002-02-26
1109.89,2002-02-27
1106.73,2002-02-28
1131.78,2002-03-01
1153.84,2002-03-04
1146.14,2002-03-05
1162.77,2002-03-06
1157.54,2002-03-07
1164.31,2002-03-08
1168.26,2002-03-11
1165.58,2002-03-12
1154.09,2002-03-13
1153.04,2002-03-14
1166.16,2002-03-15
1165.55,2002-03-18
1170.29,2002-03-19
1151.85,2002-03-20
1153.59,2002-03-21
1148.7,2002-03-22
1131.87,2002-03-25
1138.49,2002-03-26
1144.58,2002-03-27
1147.39,2002-03-28
1147.39,2002-03-29
1146.54,2002-04-01
1136.76,2002-04-02
1125.4,2002-04-03
1126.34,2002-04-04
1122.73,2002-04-05
1125.29,2002-04-08
1117.8,2002-04-09
1130.46,2002-04-10
1103.69,2002-04-11
1111.01,2002-04-12
1102.55,2002-04-15
1128.37,2002-04-16
1126.07,2002-04-17
1124.47,2002-04-18
1125.17,2002-04-19
1107.83,2002-04-22
1100.96,2002-04-23
1093.14,2002-04-24
1091.48,2002-04-25
1076.32,2002-04-26
1065.45,2002-04-29
1076.92,2002-04-30
1088.85,2002-05-08
1073.01,2002-05-09
1054.99,2002-05-10
1074.56,2002-05-13
1097.28,2002-05-14
1091.07,2002-05-15
1098.23,2002-05-16
1106.59,2002-05-17
1091.88,2002-05-20
1079.88,2002-05-21
1086.02,2002-05-22
1097.08,2002-05-23
1083.82,2002-05-24
1083.82,2002-05-27
1074.55,2002-05-28
1067.66,2002-05-29
1064.66,2002-05-30
1067.14,2002-05-31
1040.68,2002-06-03
1040.69,2002-06-04
1049.9,2002-06-05
1029.15,2002-06-06
1027.53,2002-06-07
1030.74,2002-06-10
1013.6,2002-06-11
1020.26,2002-06-12
1009.56,2002-06-13
1007.27,2002-06-14
1036.17,2002-06-17
1037.14,2002-06-18
1019.99,2002-06-19
1006.29,2002-06-20
989.14,2002-06-21
992.72,2002-06-24
976.14,2002-06-25
973.53,2002-06-26
990.64,2002-06-27
989.81,2002-06-28
968.65,2002-07-01
948.09,2002-07-02
953.99,2002-07-03
953.99,2002-07-04
989.03,2002-07-05
976.98,2002-07-08
952.83,2002-07-09
920.47,2002-07-10
927.37,2002-07-11
921.39,2002-07-12
917.93,2002-07-15
901.05,2002-07-16
906.04,2002-07-17
881.56,2002-07-18
847.76,2002-07-19
819.85,2002-07-22
797.7,2002-07-23
843.42,2002-07-24
838.68,2002-07-25
852.84,2002-07-26
898.96,2002-07-29
902.78,2002-07-30
911.62,2002-07-31
884.66,2002-08-01
864.24,2002-08-02
