close,date
2622.54,2010-01-04
2616.89,2010-01-05
2617.35,2010-01-06
2617.88,2010-01-07
2629.34,2010-01-08
2623.85,2010-01-11
2603.58,2010-01-12
2602.17,2010-01-13
2620.44,2010-01-14
2589.86,2010-01-15
2607.68,2010-01-18
2634.1,2010-01-19
2590.68,2010-01-20
2553.27,2010-01-21
2522.76,2010-01-22
2499.23,2010-01-25
2515.31,2010-01-26
2488.82,2010-01-27
2454.12,2010-01-28
2478.51,2010-01-29
2490.83,2010-02-01
2512.2,2010-02-02
2495.82,2010-02-03
2425.13,2010-02-04
2373.24,2010-02-05
2398.57,2010-02-08
2397.77,2010-02-09
2415.97,2010-02-10
2424.54,2010-02-11
2421.81,2010-02-12
2510.61,2010-02-22
2477.82,2010-02-23
2486.15,2010-02-24
2444.53,2010-02-25
2470.18,2010-02-26
2496.06,2010-03-01
2514.78,2010-03-02
2532.66,2010-03-03
2533.26,2010-03-04
2576.68,2010-03-05
2575.07,2010-03-08
2577.27,2010-03-09
2588.66,2010-03-10
2578.01,2010-03-11
2581.57,2010-03-12
2565.3,2010-03-15
2590.34,2010-03-16
2614.97,2010-03-17
2614.19,2010-03-18
2598.57,2010-03-19
2598.85,2010-03-22
2611.2,2010-03-23
2614.9,2010-03-24
2640.62,2010-03-25
2625.16,2010-03-26
2630.97,2010-03-29
2633.74,2010-03-30
2629.16,2010-03-31
2668.82,2010-04-01
2668.82,2010-04-02
2678.6,2010-04-06
2668.36,2010-04-07
2646.84,2010-04-08
2681.76,2010-04-09
2680.09,2010-04-12
2673.94,2010-04-13
2691.17,2010-04-14
2711.84,2010-04-15
2660.45,2010-04-16
2643.82,2010-04-19
2674.72,2010-04-20
2652.55,2010-04-21
2616.79,2010-04-22
2628.6,2010-04-23
2654.65,2010-04-26
2566.17,2010-04-27
2543.28,2010-04-28
2563.38,2010-04-29
2541.22,2010-04-30
2466.69,2010-05-04
2457.57,2010-05-05
2416.91,2010-05-06
2327.66,2010-05-07
2498.4,2010-05-10
2484.01,2010-05-11
2506.17,2010-05-12
2513.21,2010-05-13
2421.43,2010-05-14
2424.79,2010-05-17
2456.92,2010-05-18
2386.73,2010-05-19
2343.08,2010-05-20
2326.48,2010-05-21
2330.72,2010-05-24
2285.13,2010-05-25
2328.71,2010-05-26
2398.85,2010-05-27
2389.32,2010-05-28
2397.18,2010-05-31
2392.92,2010-06-01
2389.62,2010-06-02
2418.55,2010-06-03
2375.56,2010-06-04
2362.17,2010-06-07
2338.51,2010-06-08
