close,date
116.33,2002-01-04
116.51,2002-01-07
116.8,2002-01-08
117.01,2002-01-09
116.88,2002-01-10
116.64,2002-01-11
116.51,2002-01-14
117.29,2002-01-15
117.59,2002-01-16
117.85,2002-01-17
117.51,2002-01-18
117.66,2002-01-21
117.75,2002-01-22
118.47,2002-01-23
118.64,2002-01-24
119.85,2002-01-25
120.04,2002-01-28
119.62,2002-01-29
119.73,2002-01-30
120.24,2002-01-31
119.79,2002-02-01
118.86,2002-02-04
119.4,2002-02-05
119.3,2002-02-06
119.07,2002-02-07
118.98,2002-02-08
119.13,2002-02-25
119.82,2002-02-26
119.57,2002-02-27
119.16,2002-02-28
119.4,2002-03-01
118.73,2002-03-04
118.57,2002-03-05
117.9,2002-03-06
116.8,2002-03-07
117.99,2002-03-08
117.73,2002-03-11
117.8,2002-03-12
117.96,2002-03-13
117.29,2002-03-14
117.19,2002-03-15
117.5,2002-03-18
117.5,2002-03-19
117.22,2002-03-20
117.45,2002-03-21
118.05,2002-03-22
118.05,2002-03-25
118.14,2002-03-26
118.54,2002-03-27
118.62,2002-03-28
118.62,2002-03-29
117.77,2002-04-01
117.92,2002-04-02
117.68,2002-04-03
117.94,2002-04-04
117.74,2002-04-05
118.18,2002-04-08
117.59,2002-04-09
117.56,2002-04-10
117.43,2002-04-11
117.71,2002-04-12
117.73,2002-04-15
117.37,2002-04-16
116.5,2002-04-17
116.39,2002-04-18
116.29,2002-04-19
116.41,2002-04-22
116.57,2002-04-23
116.1,2002-04-24
115.45,2002-04-25
115.04,2002-04-26
114.89,2002-04-29
115.19,2002-04-30
114.91,2002-05-08
114.52,2002-05-09
113.92,2002-05-10
114.19,2002-05-13
115.09,2002-05-14
114.12,2002-05-15
114.13,2002-05-16
113.0,2002-05-17
112.94,2002-05-20
112.8,2002-05-21
112.34,2002-05-22
112.79,2002-05-23
112.8,2002-05-24
113.0,2002-05-27
112.1,2002-05-28
111.66,2002-05-29
111.26,2002-05-30
111.81,2002-05-31
111.04,2002-06-03
111.09,2002-06-04
111.34,2002-06-05
110.83,2002-06-06
110.99,2002-06-07
111.01,2002-06-10
110.78,2002-06-11
111.0,2002-06-12
111.15,2002-06-13
110.76,2002-06-14
110.85,2002-06-17
110.2,2002-06-18
109.63,2002-06-19
108.94,2002-06-20
108.19,2002-06-21
107.51,2002-06-24
107.37,2002-06-25
106.56,2002-06-26
106.37,2002-06-27
106.11,2002-06-28
106.51,2002-07-01
106.59,2002-07-02
107.09,2002-07-03
107.24,2002-07-04
107.67,2002-07-05
106.21,2002-07-08
105.65,2002-07-09
106.1,2002-07-10
105.72,2002-07-11
105.81,2002-07-12
104.83,2002-07-15
104.49,2002-07-16
104.42,2002-07-17
104.47,2002-07-18
104.06,2002-07-19
104.75,2002-07-22
106.66,2002-07-23
105.68,2002-07-24
105.12,2002-07-25
106.61,2002-07-26
107.1,2002-07-29
106.8,2002-07-30
107.41,2002-07-31
106.93,2002-08-01
106.67,2002-08-02
107.27,2002-08-05
108.69,2002-08-06
107.84,2002-08-07
108.57,2002-08-08
108.21,2002-08-09
107.41,2002-08-12
106.86,2002-08-13
106.79,2002-08-14
106.72,2002-08-15
106.72,2002-08-16
107.52,2002-08-19
107.31,2002-08-20
107.09,2002-08-21
108.13,2002-08-22
107.97,2002-08-23
107.86,2002-08-26
106.77,2002-08-27
107.12,2002-08-28
106.7,2002-08-29
106.98,2002-08-30
106.7,2002-09-02
105.57,2002-09-03
106.1,2002-09-04
105.98,2002-09-05
106.84,2002-09-06
107.03,2002-09-09
107.49,2002-09-10
107.62,2002-09-11
107.13,2002-09-12
108.06,2002-09-13
108.24,2002-09-16
108.33,2002-09-17
107.76,2002-09-18
107.0,2002-09-19
107.53,2002-09-20
107.87,2002-09-23
107.52,2002-09-24
107.79,2002-09-25
107.68,2002-09-26
107.53,2002-09-27
107.96,2002-10-08
106.94,2002-10-09
107.19,2002-10-10
107.14,2002-10-11
107.24,2002-10-14
107.69,2002-10-15
107.66,2002-10-16
108.53,2002-10-17
108.45,2002-10-18
108.29,2002-10-21
107.94,2002-10-22
108.01,2002-10-23
107.84,2002-10-24
107.92,2002-10-25
107.15,2002-10-28
107.24,2002-10-29
107.16,2002-10-30
106.5,2002-10-31
106.08,2002-11-01
106.02,2002-11-04
105.87,2002-11-05
105.6,2002-11-06
104.97,2002-11-07
104.5,2002-11-08
104.57,2002-11-11
104.66,2002-11-12
105.1,2002-11-13
105.32,2002-11-14
105.04,2002-11-15
105.2,2002-11-18
105.67,2002-11-19
105.87,2002-11-20
105.81,2002-11-21
106.11,2002-11-22
106.54,2002-11-25
106.53,2002-11-26
106.77,2002-11-27
106.52,2002-11-28
106.41,2002-11-29
106.35,2002-12-02
106.37,2002-12-03
106.14,2002-12-04
106.1,2002-12-05
105.36,2002-12-06
105.24,2002-12-09
105.37,2002-12-10
105.35,2002-12-11
104.51,2002-12-12
103.98,2002-12-13
104.06,2002-12-16
103.51,2002-12-17
103.63,2002-12-18
103.48,2002-12-19
103.46,2002-12-20
103.64,2002-12-23
103.28,2002-12-24
103.16,2002-12-25
102.82,2002-12-26
102.41,2002-12-27
102.01,2002-12-30
101.85,2002-12-31
102.98,2003-01-02
102.47,2003-01-03
101.97,2003-01-06
102.57,2003-01-07
101.87,2003-01-08
101.94,2003-01-09
101.23,2003-01-10
101.47,2003-01-13
101.21,2003-01-14
101.34,2003-01-15
100.79,2003-01-16
100.55,2003-01-17
100.67,2003-01-20
100.23,2003-01-21
100.23,2003-01-22
99.86,2003-01-23
99.22,2003-01-24
99.26,2003-01-27
99.48,2003-01-28
99.28,2003-01-29
100.27,2003-02-10
100.39,2003-02-11
100.51,2003-02-12
99.59,2003-02-13
100.04,2003-02-14
100.54,2003-02-17
100.53,2003-02-18
100.0,2003-02-19
99.55,2003-02-20
100.09,2003-02-21
