close,date
243.89,2010-01-04
249.35,2010-01-05
246.87,2010-01-06
250.34,2010-01-07
248.08,2010-01-08
254.31,2010-01-11
255.16,2010-01-12
249.84,2010-01-13
252.0,2010-01-14
251.84,2010-01-15
251.58,2010-01-18
252.35,2010-01-19
251.0,2010-01-20
247.5,2010-01-21
244.27,2010-01-22
244.8,2010-01-25
243.84,2010-01-26
242.91,2010-01-27
241.0,2010-01-28
239.7,2010-01-29
239.61,2010-02-01
244.1,2010-02-02
246.78,2010-02-03
243.8,2010-02-04
235.31,2010-02-05
235.6,2010-02-08
236.55,2010-02-09
237.47,2010-02-10
237.49,2010-02-11
239.73,2010-02-12
246.59,2010-02-22
245.29,2010-02-23
242.5,2010-02-24
240.55,2010-02-25
243.54,2010-02-26
245.35,2010-03-01
245.09,2010-03-02
249.0,2010-03-03
248.9,2010-03-04
248.78,2010-03-05
249.7,2010-03-08
245.58,2010-03-09
246.94,2010-03-10
243.72,2010-03-11
244.94,2010-03-12
243.64,2010-03-15
245.15,2010-03-16
248.3,2010-03-17
246.87,2010-03-18
247.29,2010-03-19
244.2,2010-03-22
243.37,2010-03-23
243.5,2010-03-24
242.02,2010-03-25
243.2,2010-03-26
244.77,2010-03-29
244.97,2010-03-30
244.57,2010-03-31
245.48,2010-04-01
246.87,2010-04-02
247.53,2010-04-06
249.8,2010-04-07
251.4,2010-04-08
253.87,2010-04-09
255.69,2010-04-12
253.39,2010-04-13
253.65,2010-04-14
253.5,2010-04-15
253.39,2010-04-16
248.85,2010-04-19
250.59,2010-04-20
251.45,2010-04-21
252.42,2010-04-22
251.0,2010-04-23
254.3,2010-04-26
253.49,2010-04-27
255.15,2010-04-28
256.24,2010-04-29
257.26,2010-04-30
258.13,2010-05-04
256.88,2010-05-05
257.64,2010-05-06
263.63,2010-05-07
263.09,2010-05-10
265.2,2010-05-11
270.63,2010-05-12
271.8,2010-05-13
271.54,2010-05-14
271.83,2010-05-17
266.79,2010-05-18
266.7,2010-05-19
261.24,2010-05-20
259.8,2010-05-21
261.89,2010-05-24
261.29,2010-05-25
265.2,2010-05-26
266.06,2010-05-27
266.64,2010-05-28
266.01,2010-05-31
267.69,2010-06-01
268.5,2010-06-02
268.87,2010-06-03
264.66,2010-06-04
267.21,2010-06-07
272.28,2010-06-08
271.35,2010-06-09
269.62,2010-06-10
268.92,2010-06-11
271.3,2010-06-17
272.97,2010-06-18
276.09,2010-06-21
271.54,2010-06-22
272.3,2010-06-23
270.14,2010-06-24
272.19,2010-06-25
273.93,2010-06-28
270.0,2010-06-29
271.44,2010-06-30
270.52,2010-07-01
263.82,2010-07-02
264.71,2010-07-05
263.86,2010-07-06
260.13,2010-07-07
263.18,2010-07-08
261.83,2010-07-09
263.3,2010-07-12
261.88,2010-07-13
264.54,2010-07-14
264.03,2010-07-15
263.6,2010-07-16
260.65,2010-07-19
259.0,2010-07-20
260.0,2010-07-21
259.02,2010-07-22
261.73,2010-07-23
261.2,2010-07-26
259.5,2010-07-27
255.8,2010-07-28
255.8,2010-07-29
255.8,2010-07-30
258.39,2010-08-02
258.59,2010-08-03
260.63,2010-08-04
260.78,2010-08-05
261.31,2010-08-06
263.5,2010-08-09
261.78,2010-08-10
261.82,2010-08-11
262.62,2010-08-12
265.9,2010-08-13
266.86,2010-08-16
268.0,2010-08-17
266.8,2010-08-18
268.79,2010-08-19
268.82,2010-08-20
269.25,2010-08-23
267.52,2010-08-24
269.67,2010-08-25
271.82,2010-08-26
270.01,2010-08-27
270.96,2010-08-30
270.63,2010-08-31
273.97,2010-09-01
273.28,2010-09-02
273.9,2010-09-03
273.7,2010-09-06
273.44,2010-09-07
275.57,2010-09-08
274.14,2010-09-09
272.3,2010-09-10
272.39,2010-09-13
273.0,2010-09-14
276.0,2010-09-15
275.2,2010-09-16
277.55,2010-09-17
277.51,2010-09-20
276.42,2010-09-21
280.39,2010-09-27
278.22,2010-09-28
281.95,2010-09-29
282.1,2010-09-30
285.8,2010-10-08
289.99,2010-10-11
289.86,2010-10-12
291.7,2010-10-13
295.99,2010-10-14
295.06,2010-10-15
290.99,2010-10-18
292.62,2010-10-19
287.59,2010-10-20
287.65,2010-10-21
283.95,2010-10-22
289.13,2010-10-25
287.9,2010-10-26
287.13,2010-10-27
286.43,2010-10-28
289.2,2010-10-29
293.07,2010-11-01
292.38,2010-11-02
291.99,2010-11-03
292.59,2010-11-04
297.39,2010-11-05
298.89,2010-11-08
303.62,2010-11-09
300.78,2010-11-10
302.16,2010-11-11
298.99,2010-11-12
295.2,2010-11-15
293.76,2010-11-16
289.0,2010-11-17
292.09,2010-11-18
292.4,2010-11-19
293.53,2010-11-22
294.57,2010-11-23
296.5,2010-11-24
295.58,2010-11-25
294.85,2010-11-26
294.7,2010-11-29
295.08,2010-11-30
299.6,2010-12-01
299.99,2010-12-02
298.99,2010-12-03
303.09,2010-12-06
304.33,2010-12-07
298.69,2010-12-08
298.52,2010-12-09
299.37,2010-12-10
299.5,2010-12-13
301.0,2010-12-14
298.83,2010-12-15
298.19,2010-12-16
296.81,2010-12-17
299.55,2010-12-20
298.8,2010-12-21
298.89,2010-12-22
298.07,2010-12-23
298.39,2010-12-24
298.49,2010-12-27
299.0,2010-12-28
301.07,2010-12-29
301.5,2010-12-30
301.8,2010-12-31
302.5,2011-01-04
297.68,2011-01-05
298.57,2011-01-06
296.89,2011-01-07
298.53,2011-01-10
299.79,2011-01-11
299.22,2011-01-12
297.8,2011-01-13
295.79,2011-01-14
293.39,2011-01-17
296.46,2011-01-18
295.99,2011-01-19
293.91,2011-01-20
291.01,2011-01-21
291.22,2011-01-24
287.3,2011-01-25
288.2,2011-01-26
287.35,2011-01-27
282.58,2011-01-28
285.7,2011-01-31
285.95,2011-02-01
290.0,2011-02-09
289.71,2011-02-10
290.28,2011-02-11
290.29,2011-02-14
290.95,2011-02-15
292.83,2011-02-16
293.4,2011-02-17
294.1,2011-02-18
296.49,2011-02-21
296.86,2011-02-22
297.3,2011-02-23
299.05,2011-02-24
298.32,2011-02-25
299.6,2011-02-28
299.79,2011-03-01
302.27,2011-03-02
301.7,2011-03-03
299.72,2011-03-04
304.05,2011-03-07
302.02,2011-03-08
302.05,2011-03-09
303.3,2011-03-10
300.95,2011-03-11
302.68,2011-03-14
300.44,2011-03-15
298.5,2011-03-16
297.6,2011-03-17
300.84,2011-03-18
303.15,2011-03-21
302.8,2011-03-22
302.8,2011-03-23
304.3,2011-03-24
303.98,2011-03-25
300.39,2011-03-28
300.83,2011-03-29
301.74,2011-03-30
302.16,2011-03-31
303.04,2011-04-01
306.47,2011-04-06
306.54,2011-04-07
309.2,2011-04-08
310.55,2011-04-11
307.5,2011-04-12
307.95,2011-04-13
308.54,2011-04-14
310.22,2011-04-15
312.0,2011-04-18
313.6,2011-04-19
315.39,2011-04-20
315.8,2011-04-21
317.48,2011-04-22
318.9,2011-04-25
316.07,2011-04-26
315.74,2011-04-27
320.17,2011-04-28
320.17,2011-04-29
322.0,2011-05-03
321.67,2011-05-04
318.12,2011-05-05
311.39,2011-05-06
314.92,2011-05-09
316.0,2011-05-10
318.29,2011-05-11
312.53,2011-05-12
317.0,2011-05-13
314.02,2011-05-16
314.0,2011-05-17
313.35,2011-05-18
313.7,2011-05-19
314.12,2011-05-20
315.5,2011-05-23
318.05,2011-05-24
318.89,2011-05-25
319.59,2011-05-26
319.39,2011-05-27
320.29,2011-05-30
320.64,2011-05-31
319.48,2011-06-01
321.38,2011-06-02
319.77,2011-06-03
322.03,2011-06-07
321.0,2011-06-08
320.71,2011-06-09
321.73,2011-06-10
320.0,2011-06-13
317.96,2011-06-14
318.5,2011-06-15
319.34,2011-06-16
318.7,2011-06-17
320.67,2011-06-20
321.33,2011-06-21
321.78,2011-06-22
321.5,2011-06-23
317.88,2011-06-24
313.95,2011-06-27
313.62,2011-06-28
314.61,2011-06-29
314.7,2011-06-30
313.33,2011-07-01
312.27,2011-07-04
312.13,2011-07-05
316.51,2011-07-06
319.2,2011-07-07
318.98,2011-07-08
321.89,2011-07-11
322.27,2011-07-12
326.81,2011-07-13
329.08,2011-07-14
327.2,2011-07-15
331.55,2011-07-18
333.94,2011-07-19
330.39,2011-07-20
333.17,2011-07-21
329.7,2011-07-22
335.5,2011-07-25
334.5,2011-07-26
336.1,2011-07-27
334.84,2011-07-28
334.0,2011-07-29
333.98,2011-08-01
336.4,2011-08-02
345.88,2011-08-03
344.8,2011-08-04
344.95,2011-08-05
352.64,2011-08-08
360.87,2011-08-09
361.75,2011-08-10
368.2,2011-08-11
362.79,2011-08-12
359.51,2011-08-15
364.76,2011-08-16
368.0,2011-08-17
369.37,2011-08-18
381.48,2011-08-19
389.8,2011-08-22
387.86,2011-08-23
380.45,2011-08-24
361.01,2011-08-25
368.84,2011-08-26
375.5,2011-08-29
371.05,2011-08-30
377.69,2011-08-31
375.11,2011-09-01
380.19,2011-09-02
387.59,2011-09-05
393.48,2011-09-06
379.49,2011-09-07
380.9,2011-09-08
386.93,2011-09-09
377.5,2011-09-13
378.0,2011-09-14
374.98,2011-09-15
366.93,2011-09-16
377.2,2011-09-19
370.63,2011-09-20
374.61,2011-09-21
368.0,2011-09-22
360.0,2011-09-23
327.56,2011-09-26
342.37,2011-09-27
343.25,2011-09-28
336.0,2011-09-29
338.49,2011-09-30
342.91,2011-10-10
346.79,2011-10-11
346.22,2011-10-12
347.0,2011-10-13
345.61,2011-10-14
348.29,2011-10-17
343.62,2011-10-18
340.8,2011-10-19
334.98,2011-10-20
336.74,2011-10-21
341.46,2011-10-24
341.5,2011-10-25
352.5,2011-10-26
352.97,2011-10-27
356.34,2011-10-28
350.49,2011-10-31
351.27,2011-11-01
353.52,2011-11-02
353.4,2011-11-03
359.49,2011-11-04
361.65,2011-11-07
365.2,2011-11-08
364.91,2011-11-09
358.89,2011-11-10
361.19,2011-11-11
365.7,2011-11-14
362.63,2011-11-15
362.17,2011-11-16
361.1,2011-11-17
353.7,2011-11-18
352.87,2011-11-21
346.37,2011-11-22
350.25,2011-11-23
348.47,2011-11-24
345.52,2011-11-25
350.99,2011-11-28
352.04,2011-11-29
351.77,2011-11-30
357.68,2011-12-01
357.59,2011-12-02
357.5,2011-12-05
351.48,2011-12-06
354.6,2011-12-07
356.29,2011-12-08
350.8,2011-12-09
346.34,2011-12-12
339.31,2011-12-13
337.95,2011-12-14
322.28,2011-12-15
329.42,2011-12-16
327.72,2011-12-19
328.65,2011-12-20
333.2,2011-12-21
329.91,2011-12-22
330.29,2011-12-23
328.78,2011-12-26
326.37,2011-12-27
323.64,2011-12-28
315.5,2011-12-29
319.8,2011-12-30
328.72,2012-01-04
331.98,2012-01-05
332.58,2012-01-06
331.04,2012-01-09
332.05,2012-01-10
