Date,GVZ
6/3/2008,22.89
6/4/2008,22.69
6/5/2008,22.78
6/6/2008,23.6
6/9/2008,24.47
6/10/2008,25.39
6/11/2008,25.36
6/12/2008,25.04
6/13/2008,24.94
6/16/2008,24.98
6/17/2008,24.45
6/18/2008,23.93
6/19/2008,24.33
6/20/2008,26.22
6/23/2008,27.18
6/24/2008,26.79
6/25/2008,26.78
6/26/2008,27.33
6/27/2008,26.47
6/30/2008,26.92
7/1/2008,27.64
7/2/2008,27.54
7/3/2008,26.85
7/7/2008,26.59
7/8/2008,26.12
7/9/2008,26.09
7/10/2008,26.79
7/11/2008,33.32
7/14/2008,31.09
7/15/2008,30.4
7/16/2008,28.41
7/17/2008,27.28
7/18/2008,27.05
7/21/2008,26.61
7/22/2008,25.81
7/23/2008,25.64
7/24/2008,26.15
7/25/2008,26.06
7/28/2008,26.45
7/29/2008,25.46
7/30/2008,24.92
7/31/2008,22.94
8/1/2008,24.73
8/4/2008,25.42
8/5/2008,26.54
8/6/2008,25.67
8/7/2008,24.84
8/8/2008,26.56
8/11/2008,31.79
8/12/2008,32.18
8/13/2008,28.78
8/14/2008,29.01
8/15/2008,32.58
8/18/2008,32.06
8/19/2008,30.89
8/20/2008,29.61
8/21/2008,29.47
8/22/2008,28.12
8/25/2008,28.71
8/26/2008,28.55
8/27/2008,27.91
8/28/2008,27.5
8/29/2008,27.37
9/2/2008,29.52
9/3/2008,29.59
9/4/2008,29.79
9/5/2008,29.87
9/8/2008,30.9
9/9/2008,33.08
9/10/2008,33.96
9/11/2008,35.95
9/12/2008,35.08
9/15/2008,38.46
9/16/2008,40.18
9/17/2008,50.36
9/18/2008,54.65
9/19/2008,47.26
9/22/2008,52.36
9/23/2008,49.03
9/24/2008,43.31
9/25/2008,43.94
9/26/2008,45.28
9/29/2008,50.57
9/30/2008,48.92
10/1/2008,47.2
10/2/2008,52.54
10/3/2008,50.05
10/6/2008,54.58
10/7/2008,51.51
10/8/2008,50.93
10/9/2008,52.46
10/10/2008,64.53
10/13/2008,61.23
10/14/2008,55.11
10/15/2008,55.8
10/16/2008,54.91
10/17/2008,55.32
10/20/2008,49.36
10/21/2008,47.95
10/22/2008,57.82
10/23/2008,54.21
10/24/2008,57.9
10/27/2008,59.43
10/28/2008,60.2
10/29/2008,59.65
10/30/2008,58.25
10/31/2008,55.61
11/3/2008,52.8
11/4/2008,50.56
11/5/2008,47.62
11/6/2008,46.71
11/7/2008,44.37
11/10/2008,44.79
11/11/2008,44.5
11/12/2008,45.65
11/13/2008,48.36
11/14/2008,50.31
11/17/2008,48.52
11/18/2008,46.22
11/19/2008,44.95
11/20/2008,46.02
11/21/2008,53.09
11/24/2008,54.34
11/25/2008,52.14
11/26/2008,49.74
11/28/2008,48.81
12/1/2008,49.86
12/2/2008,48.06
12/3/2008,47.22
12/4/2008,46.49
12/5/2008,46.24
12/8/2008,45.46
12/9/2008,44.4
12/10/2008,45.46
12/11/2008,46.49
12/12/2008,46.02
12/15/2008,48.54
12/16/2008,46.77
12/17/2008,46.92
12/18/2008,44.61
12/19/2008,42.33
12/22/2008,41.71
12/23/2008,39.71
12/24/2008,39.62
12/26/2008,41.93
12/29/2008,44.33
12/30/2008,43.61
12/31/2008,42.89
1/2/2009,41.86
1/5/2009,40.31
1/6/2009,39.87
1/7/2009,39.72
1/8/2009,39.68
1/9/2009,37.82
1/12/2009,36.93
1/13/2009,35.24
1/14/2009,35.03
1/15/2009,35.25
1/16/2009,34.45
1/20/2009,37.81
1/21/2009,35.95
1/22/2009,35.18
1/23/2009,39.56
1/26/2009,40.27
1/27/2009,37.28
1/28/2009,37.77
1/29/2009,38.7
1/30/2009,39.9
2/2/2009,40.17
2/3/2009,39.2
2/4/2009,38.81
2/5/2009,38.56
2/6/2009,37.9
2/9/2009,37.24
2/10/2009,37.04
2/11/2009,39.18
2/12/2009,39.5
2/13/2009,37.51
2/17/2009,42.83
2/18/2009,43.09
2/19/2009,39.21
2/20/2009,40.73
2/23/2009,42.23
2/24/2009,40.87
2/25/2009,41.15
2/26/2009,39.95
2/27/2009,39.06
3/2/2009,41.41
3/3/2009,38.27
3/4/2009,37.05
3/5/2009,37.8
3/6/2009,38.9
3/9/2009,37.71
3/10/2009,35.95
3/11/2009,35.58
3/12/2009,33.85
3/13/2009,33.65
3/16/2009,35.27
3/17/2009,22.58
3/18/2009,25.69
3/19/2009,41.52
3/20/2009,38.9
3/23/2009,29.76
3/24/2009,36.28
3/25/2009,36.28
3/26/2009,35.19
3/27/2009,33.25
3/30/2009,33.62
3/31/2009,31.39
4/1/2009,32.33
4/2/2009,34.39
4/3/2009,36.42
4/6/2009,32.95
4/7/2009,32.07
4/8/2009,30.42
4/9/2009,28.0
4/13/2009,29.09
4/14/2009,28.88
4/15/2009,27.47
4/16/2009,27.42
4/17/2009,27.41
4/20/2009,28.45
4/21/2009,29.0
4/22/2009,28.67
4/23/2009,29.92
4/24/2009,30.08
4/27/2009,30.24
4/28/2009,28.53
4/29/2009,27.98
4/30/2009,26.7
5/1/2009,26.44
5/4/2009,28.26
5/5/2009,27.49
5/6/2009,26.77
5/7/2009,26.75
5/8/2009,25.93
5/11/2009,23.6
5/12/2009,23.8
5/13/2009,25.41
5/14/2009,23.08
5/15/2009,22.6
5/18/2009,22.46
5/19/2009,22.41
5/20/2009,24.74
5/21/2009,27.94
5/22/2009,28.34
5/26/2009,26.33
5/27/2009,25.82
5/28/2009,26.7
5/29/2009,28.44
6/1/2009,29.5
6/2/2009,28.69
6/3/2009,27.64
6/4/2009,28.16
6/5/2009,26.82
6/8/2009,27.09
6/9/2009,25.03
6/10/2009,24.78
6/11/2009,24.44
6/12/2009,24.79
6/15/2009,25.31
6/16/2009,23.12
6/17/2009,22.8
6/18/2009,22.43
6/19/2009,21.64
6/22/2009,22.1
6/23/2009,21.93
6/24/2009,22.74
6/25/2009,22.72
6/26/2009,21.97
6/29/2009,21.72
6/30/2009,20.9
7/1/2009,20.29
7/2/2009,19.93
7/6/2009,20.6
7/7/2009,20.71
7/8/2009,23.58
7/9/2009,21.02
7/10/2009,20.79
7/13/2009,19.27
7/14/2009,18.8
7/15/2009,19.36
7/16/2009,18.26
7/17/2009,18.1
7/20/2009,18.55
7/21/2009,18.05
7/22/2009,17.46
7/23/2009,18.44
7/24/2009,18.04
7/27/2009,18.72
7/28/2009,19.26
7/29/2009,19.39
7/30/2009,18.85
7/31/2009,20.51
8/3/2009,21.11
8/4/2009,23.58
8/5/2009,22.12
8/6/2009,21.13
8/7/2009,20.95
8/10/2009,20.33
8/11/2009,19.61
8/12/2009,19.83
8/13/2009,19.97
8/14/2009,19.56
8/17/2009,19.83
8/18/2009,18.93
8/19/2009,19.38
8/20/2009,18.12
8/21/2009,19.11
8/24/2009,19.65
8/25/2009,19.56
8/26/2009,19.6
8/27/2009,19.52
8/28/2009,19.32
8/31/2009,20.43
9/1/2009,21.4
9/2/2009,25.58
9/3/2009,28.86
9/4/2009,27.23
9/8/2009,26.97
9/9/2009,24.71
9/10/2009,24.22
9/11/2009,25.67
9/14/2009,24.78
9/15/2009,24.43
9/16/2009,25.09
9/17/2009,23.53
9/18/2009,22.62
9/21/2009,23.22
9/22/2009,24.53
9/23/2009,23.98
9/24/2009,22.0
9/25/2009,21.79
9/28/2009,20.4
9/29/2009,20.45
9/30/2009,21.54
10/1/2009,21.46
10/2/2009,21.38
10/5/2009,22.78
10/6/2009,25.36
10/7/2009,24.01
10/8/2009,24.88
10/9/2009,23.19
10/12/2009,22.47
10/13/2009,22.34
10/14/2009,20.57
10/15/2009,20.35
