Date,Open,High,Low,Close
1/2/2004,22.39,23.37,21.81,23.04
1/5/2004,22.26,22.65,21.0,21.04
1/6/2004,21.46,21.63,18.64,19.42
1/7/2004,19.18,20.26,17.66,17.73
1/8/2004,19.56,21.18,19.29,20.12
1/9/2004,21.08,21.57,20.11,21.53
1/12/2004,21.95,22.69,21.09,21.09
1/13/2004,21.49,22.92,21.37,21.82
1/14/2004,21.57,22.24,21.48,21.73
1/15/2004,21.75,22.91,20.72,21.05
1/16/2004,20.6,20.96,19.21,19.6
1/20/2004,21.57,22.26,21.28,21.29
1/21/2004,21.57,21.99,20.84,21.12
1/22/2004,21.21,21.47,20.76,21.3
1/23/2004,20.75,20.96,20.16,20.22
1/26/2004,20.84,21.33,20.07,20.07
1/27/2004,20.58,21.46,20.33,21.46
1/28/2004,21.33,23.34,21.33,23.24
1/29/2004,23.31,24.06,23.04,23.52
1/30/2004,23.25,23.25,22.38,22.5
2/2/2004,23.01,23.91,22.51,23.05
2/3/2004,23.5,23.69,23.09,23.54
2/4/2004,24.3,24.79,24.1,24.77
2/5/2004,24.66,25.09,23.87,24.51
2/6/2004,23.73,23.84,22.61,22.7
2/9/2004,23.5,24.22,23.5,23.77
2/10/2004,24.12,24.24,22.93,22.93
2/11/2004,23.4,23.62,22.76,22.77
2/12/2004,23.41,23.41,22.82,23.16
2/13/2004,23.08,23.94,23.08,23.92
2/17/2004,24.86,24.9,24.01,24.2
2/18/2004,24.4,24.72,24.2,24.57
2/19/2004,23.9,24.47,23.71,24.34
2/20/2004,24.98,25.13,24.02,24.3
2/23/2004,24.6,25.15,24.56,25.07
2/24/2004,25.62,25.9,24.3,24.34
2/25/2004,24.65,24.65,23.33,23.41
2/26/2004,23.69,23.69,22.57,22.57
2/27/2004,22.77,22.79,21.7,21.87
3/1/2004,23.06,23.09,21.84,21.89
3/2/2004,22.1,23.15,21.66,22.34
3/3/2004,22.95,23.0,22.32,22.43
3/4/2004,22.59,22.74,21.74,21.75
3/5/2004,21.98,21.98,21.07,21.34
3/8/2004,21.68,22.65,21.63,22.63
3/9/2004,22.67,23.53,22.59,23.3
3/10/2004,23.45,24.74,23.25,24.74
3/11/2004,25.51,26.11,24.75,26.11
3/12/2004,25.88,25.99,24.48,24.48
3/15/2004,26.07,27.57,26.07,27.57
3/16/2004,26.78,27.65,26.74,26.94
3/17/2004,26.01,26.03,25.47,25.62
3/18/2004,25.84,26.27,25.63,25.88
3/19/2004,25.73,25.9,25.47,25.78
3/22/2004,26.29,26.51,25.99,26.05
3/23/2004,25.71,25.73,24.9,24.94
