close,date
77.51,2010-01-04
77.63,2010-01-05
77.47,2010-01-06
77.99,2010-01-07
77.48,2010-01-08
77.02,2010-01-11
77.0,2010-01-12
76.84,2010-01-13
76.76,2010-01-14
77.2,2010-01-15
77.11,2010-01-18
77.53,2010-01-19
78.36,2010-01-20
78.43,2010-01-21
78.27,2010-01-22
78.2,2010-01-25
78.5,2010-01-26
78.72,2010-01-27
78.93,2010-01-28
79.49,2010-01-29
79.19,2010-02-01
79.0,2010-02-02
79.41,2010-02-03
80.0,2010-02-04
80.25,2010-02-05
80.38,2010-02-08
79.77,2010-02-09
80.04,2010-02-10
79.99,2010-02-11
80.24,2010-02-12
80.56,2010-02-22
80.92,2010-02-23
80.77,2010-02-24
80.74,2010-02-25
80.35,2010-02-26
80.72,2010-03-01
80.47,2010-03-02
80.01,2010-03-03
80.55,2010-03-04
80.44,2010-03-05
80.43,2010-03-08
80.56,2010-03-09
80.4,2010-03-10
80.26,2010-03-11
79.8,2010-03-12
80.23,2010-03-15
79.67,2010-03-16
79.75,2010-03-17
80.31,2010-03-18
80.77,2010-03-19
80.53,2010-03-22
80.88,2010-03-23
81.91,2010-03-24
82.15,2010-03-25
81.62,2010-03-26
81.29,2010-03-29
81.47,2010-03-30
81.07,2010-03-31
80.72,2010-04-01
81.18,2010-04-02
81.39,2010-04-06
81.61,2010-04-07
81.5,2010-04-08
80.88,2010-04-09
80.58,2010-04-12
80.42,2010-04-13
80.22,2010-04-14
80.47,2010-04-15
80.8,2010-04-16
80.92,2010-04-19
81.04,2010-04-20
81.23,2010-04-21
81.69,2010-04-22
81.36,2010-04-23
81.28,2010-04-26
82.33,2010-04-27
82.29,2010-04-28
82.01,2010-04-29
81.91,2010-04-30
83.47,2010-05-04
84.15,2010-05-05
84.95,2010-05-06
84.39,2010-05-07
84.25,2010-05-10
84.73,2010-05-11
84.84,2010-05-12
85.43,2010-05-13
86.29,2010-05-14
86.14,2010-05-17
87.31,2010-05-18
86.12,2010-05-19
85.95,2010-05-20
85.46,2010-05-21
86.48,2010-05-24
86.39,2010-05-25
87.36,2010-05-26
86.3,2010-05-27
86.77,2010-05-28
86.47,2010-05-31
86.88,2010-06-01
86.74,2010-06-02
87.21,2010-06-03
88.3,2010-06-04
88.49,2010-06-07
88.15,2010-06-08
87.92,2010-06-09
87.11,2010-06-10
87.28,2010-06-11
85.69,2010-06-17
85.57,2010-06-18
85.94,2010-06-21
86.11,2010-06-22
85.82,2010-06-23
85.76,2010-06-24
85.35,2010-06-25
85.69,2010-06-28
86.13,2010-06-29
86.05,2010-06-30
84.55,2010-07-01
84.37,2010-07-02
84.56,2010-07-05
84.05,2010-07-06
83.96,2010-07-07
83.86,2010-07-08
83.98,2010-07-09
84.25,2010-07-12
83.52,2010-07-13
83.35,2010-07-14
82.35,2010-07-15
82.57,2010-07-16
82.56,2010-07-19
82.75,2010-07-20
83.34,2010-07-21
82.64,2010-07-22
82.52,2010-07-23
82.07,2010-07-26
82.13,2010-07-27
82.13,2010-07-28
81.62,2010-07-29
81.57,2010-07-30
80.9,2010-08-02
80.6,2010-08-03
80.99,2010-08-04
80.78,2010-08-05
