Date,Open,High,Low,Close
03/16/2011,29.18,34.32,28.53,32.86
03/17/2011,31.0,31.11,29.54,30.3
03/18/2011,29.18,30.1,27.73,29.59
03/21/2011,27.59,27.66,25.76,26.45
03/22/2011,26.17,26.17,25.23,25.5
03/23/2011,25.5,25.9,24.58,25.0
03/24/2011,24.45,24.77,23.41,23.68
03/25/2011,23.88,24.17,23.27,24.1
03/28/2011,25.34,25.34,24.03,24.26
03/29/2011,24.0,24.58,24.0,24.16
03/30/2011,23.5,23.86,22.85,22.9
03/31/2011,22.49,23.49,22.48,23.08
04/01/2011,22.07,23.04,21.94,22.14
04/04/2011,22.46,22.99,22.28,22.91
04/05/2011,23.57,23.58,22.44,22.95
04/06/2011,22.26,23.75,22.26,23.49
04/07/2011,23.63,24.14,22.73,23.81
04/08/2011,23.29,24.2,22.89,24.05
04/11/2011,24.48,24.52,23.26,23.73
04/12/2011,25.1,25.55,23.77,24.13
04/13/2011,23.03,23.82,22.24,22.66
04/14/2011,23.26,23.49,21.77,21.85
04/15/2011,22.12,22.48,20.78,21.07
04/18/2011,23.95,24.13,22.83,23.02
04/19/2011,22.59,22.6,21.14,21.3
04/20/2011,20.06,20.94,20.01,20.59
04/21/2011,20.4,21.33,20.27,21.14
04/25/2011,22.79,23.59,22.62,23.13
04/26/2011,23.19,23.51,22.11,22.35
04/27/2011,22.55,23.8,21.83,22.02
04/28/2011,22.8,22.97,21.93,21.95
04/29/2011,21.81,21.95,21.4,21.85
05/02/2011,22.58,23.36,22.43,23.13
05/03/2011,24.18,25.69,23.99,25.56
05/04/2011,26.02,26.55,25.21,25.5
05/05/2011,26.13,26.59,24.81,26.11
05/06/2011,24.78,26.32,23.7,25.21
05/09/2011,26.14,26.14,24.25,24.37
05/10/2011,23.99,24.01,23.02,23.32
05/11/2011,23.85,25.64,23.85,24.84
05/12/2011,25.58,26.08,23.93,24.4
05/13/2011,24.84,25.88,24.57,25.35
05/16/2011,26.21,26.25,24.42,25.27
05/17/2011,25.81,25.96,24.86,24.95
05/18/2011,24.75,24.8,23.16,23.5
05/19/2011,23.69,23.96,23.2,23.31
05/20/2011,23.58,24.34,22.76,23.28
05/23/2011,26.08,26.17,25.03,25.27
05/24/2011,24.75,24.75,23.73,24.46
05/25/2011,24.86,24.91,23.1,23.16
05/26/2011,23.06,23.06,22.04,22.36
05/27/2011,21.81,21.99,20.84,21.87
05/31/2011,21.97,22.81,21.8,22.29
06/01/2011,22.51,25.17,22.43,25.17
06/02/2011,24.82,25.4,24.27,24.75
06/03/2011,25.5,25.51,23.95,24.78
06/06/2011,25.46,26.44,25.36,26.13
06/07/2011,25.12,25.62,24.65,25.62
06/08/2011,26.05,26.3,25.74,26.09
06/09/2011,26.08,26.43,24.14,24.27
06/10/2011,25.23,26.2,25.19,26.01
06/13/2011,26.11,26.94,25.51,26.49
06/14/2011,25.78,25.82,24.3,24.77
06/15/2011,26.08,28.5,25.92,28.29
06/16/2011,28.89,31.77,27.36,31.03
06/17/2011,29.71,30.78,28.81,29.65
06/20/2011,31.54,31.66,27.74,28.21
06/21/2011,27.17,27.17,24.95,26.29
06/22/2011,26.97,26.97,24.66,25.36
06/23/2011,27.27,28.75,26.11,26.95
06/24/2011,26.21,27.88,26.13,27.51
06/27/2011,28.61,28.66,26.69,27.2
06/28/2011,27.09,27.38,25.72,26.17
06/29/2011,25.79,26.06,23.61,23.86
06/30/2011,23.19,23.38,22.38,22.47
07/01/2011,22.45,22.74,21.43,21.73
07/05/2011,22.65,22.93,21.77,22.66
