Date,Open,High,Low,Close
1/2/2008,,,,18.97
1/3/2008,,,,18.91
1/4/2008,,,,19.03
1/7/2008,,,,19.13
1/8/2008,,,,18.87
1/9/2008,,,,21.63
1/10/2008,,,,21.57
1/11/2008,,,,21.98
1/14/2008,,,,21.53
1/15/2008,,,,22.66
1/16/2008,,,,22.71
1/17/2008,,,,21.79
1/18/2008,,,,26.75
1/22/2008,,,,30.93
1/23/2008,,,,31.94
1/24/2008,,,,31.55
1/25/2008,,,,30.92
1/28/2008,,,,31.41
1/29/2008,,,,30.37
1/30/2008,,,,30.84
1/31/2008,,,,29.05
2/1/2008,,,,26.31
2/4/2008,,,,27.41
2/5/2008,,,,30.42
2/6/2008,,,,30.67
2/7/2008,,,,30.49
2/8/2008,,,,30.64
2/11/2008,,,,31.39
2/12/2008,,,,29.64
2/13/2008,,,,27.5
2/14/2008,,,,27.82
2/15/2008,,,,27.76
2/19/2008,,,,26.06
2/20/2008,,,,27.02
2/21/2008,,,,26.64
2/22/2008,,,,26.06
2/25/2008,,,,24.51
2/26/2008,,,,22.54
2/27/2008,,,,22.86
2/28/2008,,,,24.55
2/29/2008,,,,27.56
3/3/2008,,,,28.22
3/4/2008,,,,28.45
3/5/2008,,,,27.77
3/6/2008,,,,30.48
3/7/2008,,,,30.57
3/10/2008,,,,31.76
3/11/2008,,,,28.89
3/12/2008,,,,28.8
3/13/2008,,,,29.23
3/14/2008,,,,30.5
3/17/2008,,,,33.49
3/18/2008,,,,31.7
3/19/2008,,,,33.24
3/20/2008,,,,33.11
3/24/2008,,,,26.78
3/25/2008,,,,24.93
3/26/2008,,,,25.31
3/27/2008,,,,24.93
3/28/2008,,,,24.82
3/31/2008,,,,26.62
4/1/2008,,,,23.81
4/2/2008,,,,23.95
4/3/2008,,,,23.96
4/4/2008,,,,23.48
4/7/2008,,,,23.53
4/8/2008,,,,24.72
4/9/2008,,,,25.0
4/10/2008,,,,24.52
4/11/2008,,,,25.11
4/14/2008,,,,25.56
4/15/2008,,,,23.57
4/16/2008,,,,20.96
4/17/2008,,,,21.81
4/18/2008,,,,20.04
4/21/2008,,,,20.77
4/22/2008,,,,21.35
4/23/2008,,,,20.77
4/24/2008,,,,20.63
4/25/2008,,,,20.21
4/28/2008,,,,20.12
4/29/2008,,,,20.58
4/30/2008,,,,20.21
5/1/2008,,,,19.98
5/2/2008,,,,18.99
5/5/2008,,,,19.47
5/6/2008,,,,18.99
5/7/2008,,,,20.15
5/8/2008,,,,19.57
5/9/2008,,,,20.15
5/12/2008,,,,18.54
5/13/2008,,,,18.39
5/14/2008,,,,17.97
5/15/2008,,,,16.96
5/16/2008,,,,14.26
5/19/2008,,,,16.36
5/20/2008,,,,18.13
5/21/2008,,,,18.88
5/22/2008,,,,18.09
5/23/2008,,,,18.79
5/27/2008,,,,19.22
5/28/2008,,,,18.48
