Date,Open,High,Low,Close
3/16/2011,36.1,42.63,35.74,38.09
3/17/2011,36.84,39.09,35.68,37.23
3/18/2011,35.98,35.98,33.54,33.64
3/21/2011,34.63,35.9,31.36,31.46
3/22/2011,31.03,34.05,30.61,31.34
3/23/2011,31.49,35.71,30.28,30.62
3/24/2011,32.36,32.39,29.49,30.78
3/25/2011,30.6,30.96,29.86,30.24
3/28/2011,32.05,32.06,30.11,30.36
3/29/2011,30.4,30.93,30.08,30.91
3/30/2011,30.62,30.71,29.71,29.76
3/31/2011,29.58,30.52,29.47,30.52
4/1/2011,30.53,30.98,29.97,30.07
4/4/2011,30.79,30.8,30.29,30.56
4/5/2011,30.59,31.49,29.92,31.41
4/6/2011,31.27,31.91,31.2,31.36
4/7/2011,31.43,31.79,30.91,31.72
4/8/2011,31.15,32.25,31.0,31.65
4/11/2011,31.12,32.49,31.01,32.47
4/12/2011,32.94,34.41,32.8,33.29
4/13/2011,33.1,33.37,31.91,31.96
4/14/2011,32.31,32.71,31.05,31.17
4/15/2011,31.99,32.18,30.46,31.45
4/18/2011,33.28,35.73,32.64,33.74
4/19/2011,33.65,33.65,30.15,31.12
4/20/2011,30.72,30.74,29.72,30.06
4/21/2011,30.07,42.84,29.19,29.93
4/25/2011,32.01,34.14,32.01,33.85
4/26/2011,33.95,35.08,32.03,32.53
4/27/2011,32.7,34.01,31.9,31.98
4/28/2011,31.77,32.99,31.36,32.34
4/29/2011,32.02,32.76,31.0,32.57
5/2/2011,34.29,35.85,34.12,35.84
5/3/2011,35.96,37.46,35.89,36.22
5/4/2011,36.09,40.85,35.96,36.04
5/5/2011,36.39,41.8,36.39,40.44
5/6/2011,40.19,40.52,35.68,37.75
5/9/2011,39.11,39.11,34.19,35.22
5/10/2011,35.07,36.9,33.64,33.91
5/11/2011,34.04,40.96,33.2,35.73
5/12/2011,36.47,47.1,36.4,36.51
5/13/2011,36.18,60.73,35.4,36.44
5/16/2011,37.1,38.75,34.5,37.31
5/17/2011,37.46,40.18,35.43,35.44
5/18/2011,35.4,36.47,33.86,33.94
5/19/2011,34.16,36.62,32.4,32.75
5/20/2011,32.72,34.71,32.03,33.57
5/23/2011,35.26,36.38,33.72,33.97
5/24/2011,33.91,33.91,31.81,32.14
5/25/2011,32.35,32.78,30.87,30.95
5/26/2011,30.69,30.81,29.28,29.63
5/27/2011,29.51,29.54,28.78,29.26
5/31/2011,30.37,30.51,29.68,30.07
6/1/2011,30.3,32.34,30.3,32.33
6/2/2011,32.34,32.8,31.03,31.23
6/3/2011,31.64,49.04,29.99,31.45
6/6/2011,32.85,33.43,32.38,33.38
6/7/2011,33.35,33.37,32.28,32.58
6/8/2011,33.11,34.82,32.86,33.55
6/9/2011,33.77,33.98,32.69,33.0
6/10/2011,33.56,35.32,33.25,34.39
6/13/2011,36.41,36.43,32.87,33.66
6/14/2011,33.25,33.35,31.92,32.26
6/15/2011,32.65,34.93,32.17,34.21
6/16/2011,35.07,52.95,33.93,36.94
6/17/2011,36.45,37.39,35.67,36.52
6/20/2011,37.62,37.62,33.14,33.14
6/21/2011,32.57,32.57,29.64,30.78
6/22/2011,31.08,31.47,29.9,30.28
6/23/2011,31.93,33.31,31.5,32.84
6/24/2011,33.08,34.15,32.96,33.66
6/27/2011,35.33,36.05,33.49,33.54
6/28/2011,33.18,34.0,32.55,32.99
6/29/2011,32.53,40.39,30.57,31.46
6/30/2011,31.2,31.31,29.43,29.62
7/1/2011,30.2,31.61,30.2,30.68
7/5/2011,30.47,30.97,29.75,30.87
7/6/2011,30.51,46.18,30.08,30.5
7/7/2011,30.29,30.29,28.36,28.91
7/8/2011,28.7,28.87,28.34,28.72
7/11/2011,28.21,30.76,28.17,30.52
7/12/2011,31.13,31.72,28.62,31.3
7/13/2011,30.59,33.09,30.38,30.9
7/14/2011,30.75,33.16,30.75,31.7
7/15/2011,30.98,36.31,29.99,30.43
7/18/2011,31.59,32.95,31.39,32.48
7/19/2011,32.39,32.68,30.29,31.75
7/20/2011,32.01,32.23,31.04,31.75
7/21/2011,31.79,31.79,30.3,31.13
7/22/2011,31.1,31.58,30.41,30.81
7/25/2011,31.92,36.79,31.92,32.52
7/26/2011,32.33,42.47,31.59,32.62
7/27/2011,32.91,39.75,31.85,34.61
7/28/2011,34.79,35.9,32.96,34.04
7/29/2011,35.88,44.24,34.67,35.59
8/1/2011,34.74,36.81,34.45,35.19
8/2/2011,35.05,36.77,34.02,36.28
8/3/2011,35.1,36.46,33.49,34.83
8/4/2011,34.58,43.36,34.58,42.82
8/5/2011,41.34,47.59,40.12,41.5
8/8/2011,42.28,53.59,42.28,51.62
8/9/2011,51.97,67.37,47.34,48.85
8/10/2011,49.01,53.53,46.84,51.46
8/11/2011,52.37,62.41,46.51,47.04
8/12/2011,47.57,51.68,40.46,41.78
8/15/2011,42.19,42.68,36.92,39.76
8/16/2011,40.1,46.79,39.71,40.22
8/17/2011,43.77,43.77,38.39,40.61
8/18/2011,41.93,55.85,41.93,44.71
8/19/2011,45.5,46.59,43.7,45.32
8/22/2011,45.76,57.61,42.11,44.58
8/23/2011,45.39,45.89,42.47,42.73
8/24/2011,43.39,45.1,42.66,43.96
8/25/2011,43.34,46.53,41.7,43.47
8/26/2011,43.26,68.85,39.0,40.25
