Date    ,Open,High ,Low  ,Close
1/2/2004,18.13,18.59,17.6,17.94
1/5/2004,17.82,17.85,16.69,16.71
1/6/2004,16.63,16.78,15.07,15.34
1/7/2004,15.75,16.14,14.75,14.85
1/8/2004,14.86,15.39,14.42,14.46
1/9/2004,15.67,16.21,15.23,15.94
1/12/2004,16.56,17.05,16.17,16.25
1/13/2004,16.63,17.86,16.38,16.87
1/14/2004,16.76,17.1,16.26,16.7
1/15/2004,16.61,17.31,16.04,16.23
1/16/2004,15.61,16.04,14.88,15.27
1/20/2004,15.66,15.83,14.91,14.91
1/21/2004,15.51,15.64,14.37,14.43
1/22/2004,14.39,15.34,14.39,15.01
1/23/2004,15.08,15.46,14.67,14.87
1/26/2004,14.87,15.28,14.21,14.32
1/27/2004,14.95,15.41,14.75,15.32
1/28/2004,15.26,17.11,15.24,17.1
1/29/2004,16.96,18.01,16.93,17.11
1/30/2004,17.72,17.77,16.82,17.05
2/2/2004,16.89,17.19,16.04,16.87
2/3/2004,17.42,17.72,16.92,17.06
2/4/2004,17.74,18.1,17.25,17.58
2/5/2004,18.18,18.39,17.66,17.75
2/6/2004,17.52,17.59,15.83,15.98
2/9/2004,16.35,16.47,15.65,15.77
2/10/2004,16.05,16.09,15.32,15.55
2/11/2004,16.09,16.26,14.8,14.88
2/12/2004,15.29,15.46,14.73,14.9
2/13/2004,15.18,16.25,14.73,15.63
2/17/2004,15.91,16.15,15.24,15.56
2/18/2004,15.83,16.14,15.29,15.74
2/19/2004,15.76,16.9,15.46,16.9
2/20/2004,16.56,17.23,16.04,16.25
2/23/2004,16.61,16.79,15.75,15.93
2/24/2004,16.59,16.72,15.47,15.82
2/25/2004,15.98,15.98,14.89,14.99
2/26/2004,15.4,15.59,14.59,14.65
2/27/2004,15.24,15.24,14.29,14.76
3/1/2004,14.94,14.94,14.15,14.18
3/2/2004,14.57,14.92,14.03,14.6
3/3/2004,14.86,15.46,14.6,14.61
3/4/2004,14.71,14.99,14.57,14.71
3/5/2004,14.93,14.99,14.09,14.8
3/8/2004,14.89,15.35,14.49,15.33
3/9/2004,16.07,16.89,15.93,16.37
3/10/2004,17.01,19.23,16.75,18.8
3/11/2004,20.04,21.71,18.35,21.71
3/12/2004,20.58,20.83,18.58,18.72
3/15/2004,19.51,21.64,19.22,21.38
3/16/2004,20.43,21.34,20.2,20.71
3/17/2004,19.68,19.73,18.07,18.14
3/18/2004,18.67,19.65,18.18,18.62
3/19/2004,18.71,19.4,18.25,19.16
3/22/2004,20.67,22.66,20.41,21.43
3/23/2004,21.31,21.78,19.7,20.45
3/24/2004,21.04,21.34,19.85,20.49
3/25/2004,19.61,19.99,17.65,17.76
3/26/2004,18.14,18.25,16.74,17.21
3/29/2004,16.7,16.7,15.8,15.96
3/30/2004,16.7,16.92,15.96,15.99
3/31/2004,16.7,16.9,16.19,16.73
4/1/2004,17.19,17.44,17.01,17.15
4/2/2004,15.99,16.3,15.48,15.56
4/5/2004,15.76,15.76,13.88,13.88
4/6/2004,14.93,14.96,14.34,14.49
4/7/2004,15.19,16.01,15.19,15.42
4/8/2004,14.91,16.6,14.73,15.83
4/12/2004,16.0,16.26,15.3,15.44
4/13/2004,15.48,18.06,15.47,17.5
4/14/2004,18.18,18.3,16.66,16.66
4/15/2004,16.67,17.24,16.1,16.24
4/16/2004,16.51,16.63,15.0,15.67
4/19/2004,15.6,16.11,15.08,15.23
4/20/2004,15.3,16.59,14.74,16.51
4/21/2004,17.54,17.59,15.58,15.66
4/22/2004,16.22,16.36,14.17,14.59
4/23/2004,14.34,14.99,13.98,14.22
4/26/2004,14.06,15.26,13.91,14.94
4/27/2004,14.89,15.36,14.24,14.98
4/28/2004,16.25,17.1,16.25,16.72
4/29/2004,17.31,18.01,16.23,17.3
4/30/2004,17.05,18.14,16.69,17.56
5/3/2004,17.89,17.89,16.57,16.63
5/4/2004,16.97,17.52,15.88,16.36
5/5/2004,16.59,17.14,16.06,16.23
5/6/2004,17.51,18.98,17.47,17.65
5/7/2004,17.17,19.3,17.13,19.07
5/10/2004,20.19,21.29,19.43,19.74
5/11/2004,19.14,19.14,18.13,18.49
5/12/2004,19.31,21.32,18.48,18.49
5/13/2004,18.96,19.78,18.41,19.39
5/14/2004,19.56,20.37,18.51,18.93
5/17/2004,21.02,21.42,20.32,21.03
5/18/2004,20.2,20.54,19.23,19.82
5/19/2004,18.78,19.48,17.6,19.37
5/20/2004,19.54,20.11,19.05,19.36
5/21/2004,19.15,19.69,18.62,19.16
5/24/2004,18.61,18.97,18.05,18.31
5/25/2004,18.95,19.21,15.63,15.91
5/26/2004,16.19,17.06,15.95,16.23
5/27/2004,15.9,16.39,15.37,15.53
5/28/2004,15.92,16.42,15.64,15.82
6/1/2004,16.93,17.6,16.47,16.67
6/2/2004,16.53,16.87,15.0,16.24
6/3/2004,17.0,17.45,16.44,17.29
6/4/2004,16.34,16.79,15.51,16.51
6/7/2004,15.86,15.87,14.61,14.7
6/8/2004,14.94,15.17,13.75,13.75
6/9/2004,14.66,14.82,14.26,14.76
6/10/2004,14.76,14.87,13.83,13.83
6/14/2004,15.62,16.33,15.48,16.15
6/15/2004,15.34,15.64,14.61,15.0
6/16/2004,15.28,15.35,14.48,14.66
6/17/2004,15.08,15.97,14.87,15.04
6/18/2004,15.29,15.42,14.44,14.75
6/21/2004,15.11,15.24,14.42,14.63
6/22/2004,15.16,15.54,14.02,14.1
6/23/2004,13.9,14.56,13.37,13.63
6/24/2004,14.17,14.64,13.95,14.39
6/25/2004,14.78,15.13,14.37,14.89
6/28/2004,15.03,15.86,14.65,15.6
6/29/2004,16.45,16.45,15.37,15.37
6/30/2004,15.52,15.97,13.81,13.99
7/1/2004,14.48,15.99,14.4,15.08
7/2/2004,15.67,15.82,14.84,15.09
7/6/2004,16.29,16.94,15.55,16.17
7/7/2004,16.37,16.37,15.27,15.75
7/8/2004,15.67,16.29,15.37,16.05
7/9/2004,15.7,16.11,15.4,15.49
7/12/2004,16.5,17.13,15.8,16.07
7/13/2004,15.85,16.2,15.33,15.68
7/14/2004,16.02,16.16,14.43,15.02
7/15/2004,15.41,15.74,14.96,15.73
7/16/2004,15.1,15.37,14.54,15.35
7/19/2004,15.23,15.94,14.72,14.95
7/20/2004,15.4,15.85,14.45,14.58
7/21/2004,14.45,16.14,14.15,16.14
7/22/2004,16.8,17.86,15.41,15.82
7/23/2004,16.35,17.18,16.29,16.63
7/26/2004,17.33,17.85,16.88,17.0
7/27/2004,17.14,17.14,15.7,15.7
7/28/2004,16.29,17.56,15.39,15.88
7/29/2004,16.12,16.24,15.22,15.46
7/30/2004,16.04,16.31,15.34,15.4
8/2/2004,16.03,16.16,14.58,14.62
8/3/2004,15.19,15.44,14.8,15.21
8/4/2004,16.07,16.41,15.17,15.78
8/5/2004,15.93,18.2,15.84,18.12
8/6/2004,19.43,20.72,19.28,20.24
8/9/2004,19.47,19.76,18.06,18.46
8/10/2004,18.34,18.5,16.9,16.9
8/11/2004,18.19,18.5,17.3,17.53
8/12/2004,18.17,19.53,18.13,19.16
8/13/2004,19.56,20.03,18.68,18.77
8/16/2004,18.92,18.98,17.39,17.56
8/17/2004,17.41,17.66,16.98,17.19
8/18/2004,17.7,17.8,16.27,16.48
8/19/2004,16.76,17.64,16.56,17.27
8/20/2004,17.27,17.42,16.03,16.3
8/23/2004,16.62,16.92,15.4,15.86
8/24/2004,15.5,15.87,14.91,15.21
8/25/2004,15.7,15.73,14.42,14.63
8/26/2004,15.12,15.23,14.56,14.87
8/27/2004,15.06,15.22,14.57,14.79
8/30/2004,14.99,15.28,14.71,15.11
8/31/2004,15.1,16.09,14.92,14.98
9/1/2004,15.59,15.62,14.57,14.98
9/2/2004,15.24,15.26,14.2,14.37
9/3/2004,14.32,14.54,13.9,13.91
9/7/2004,14.17,14.54,13.55,13.58
9/8/2004,14.05,14.11,13.58,13.7
9/9/2004,14.08,14.39,13.34,13.75
9/10/2004,14.43,14.43,13.19,13.49
9/13/2004,13.92,14.0,13.12,13.4
9/14/2004,13.69,14.01,13.29,13.55
9/15/2004,13.87,14.79,13.78,14.77
9/16/2004,14.63,14.76,14.15,14.44
9/17/2004,14.32,14.92,13.55,13.55
9/20/2004,14.3,14.69,13.78,13.78
9/21/2004,14.14,14.15,12.66,12.86
9/22/2004,13.93,14.96,13.8,14.57
9/23/2004,15.16,15.47,14.62,14.87
9/24/2004,15.15,15.15,13.94,14.14
9/27/2004,14.61,14.76,14.07,14.3
9/28/2004,14.11,14.68,13.05,13.23
9/29/2004,13.54,13.81,12.55,12.81
9/30/2004,13.42,13.68,13.1,13.44
10/1/2004,12.89,13.06,12.43,12.55
10/4/2004,12.67,13.23,12.6,13.11
10/5/2004,13.36,13.92,13.2,13.27
10/6/2004,14.17,14.18,12.91,13.0
10/7/2004,13.63,14.59,13.37,14.56
10/8/2004,14.34,15.5,13.57,14.95
10/11/2004,15.36,15.54,14.7,14.99
10/12/2004,15.93,16.1,14.87,15.17
10/13/2004,15.35,16.7,14.99,16.25
10/14/2004,16.11,17.8,15.78,17.13
10/15/2004,16.72,17.53,15.46,15.89
10/18/2004,16.09,16.27,14.69,14.69
10/19/2004,14.9,15.64,14.46,15.63
10/20/2004,15.8,16.25,15.05,15.1
10/21/2004,15.68,15.97,14.86,14.99
10/22/2004,15.1,16.11,14.85,16.09
10/25/2004,16.62,17.34,16.4,16.87
10/26/2004,16.95,17.28,16.12,16.48
10/27/2004,17.28,17.39,15.97,16.13
10/28/2004,16.57,16.64,15.37,15.46
10/29/2004,15.82,16.69,15.62,16.57
11/1/2004,16.71,17.07,16.27,16.31
11/2/2004,16.57,17.02,15.56,16.85
11/3/2004,15.16,15.34,14.01,14.18
11/4/2004,14.26,14.35,13.05,14.21
11/5/2004,14.31,14.46,13.79,14.36
11/8/2004,14.57,14.92,13.77,13.92
11/9/2004,14.05,14.18,13.49,13.64
11/10/2004,13.73,14.08,13.18,13.63
11/11/2004,13.65,13.65,12.8,13.32
11/12/2004,13.94,14.33,13.56,14.05
11/15/2004,14.42,14.8,14.0,14.21
11/16/2004,14.66,14.69,13.79,14.0
11/17/2004,13.73,14.02,13.57,13.64
11/18/2004,14.2,14.52,13.87,13.95
11/19/2004,14.14,14.85,13.78,14.6
11/22/2004,14.03,14.28,13.48,13.58
11/23/2004,13.28,13.71,12.81,13.08
11/24/2004,13.11,13.48,12.82,12.97
11/26/2004,13.4,13.56,13.22,13.55
11/29/2004,13.39,14.03,13.34,13.46
11/30/2004,13.96,14.17,13.53,13.54
12/1/2004,13.77,13.85,13.26,13.46
12/2/2004,14.13,14.21,13.58,13.91
12/3/2004,13.76,14.22,13.38,13.61
12/6/2004,13.9,14.29,13.37,13.57
12/7/2004,13.76,14.41,13.59,14.18
12/8/2004,14.48,14.55,13.65,13.72
12/9/2004,14.34,14.59,13.23,13.23
12/10/2004,13.83,13.83,13.08,13.2
12/13/2004,13.35,13.77,12.8,13.55
12/14/2004,13.64,14.07,13.29,13.45
12/15/2004,13.75,14.14,13.0,13.16
12/16/2004,13.37,13.72,12.57,13.01
12/17/2004,13.38,13.64,12.4,12.71
12/20/2004,12.61,13.63,12.28,13.61
12/21/2004,12.08,12.23,11.35,11.52
12/22/2004,12.18,12.18,11.58,11.81
12/23/2004,12.06,12.06,11.21,11.23
12/27/2004,11.99,12.34,11.53,12.16
12/28/2004,12.32,12.47,12.12,12.31
12/29/2004,12.6,12.84,12.46,12.47
12/30/2004,12.74,12.96,12.67,12.86
12/31/2004,13.17,13.69,13.06,13.58
1/3/2005,13.48,14.29,13.46,14.2
1/4/2005,13.93,14.96,13.89,14.13
1/5/2005,14.37,14.37,13.49,13.97
1/6/2005,14.5,14.69,13.89,14.17
1/7/2005,14.16,14.24,13.58,13.85
1/10/2005,14.1,14.22,12.99,13.17
1/11/2005,13.77,13.92,12.9,13.03
1/12/2005,13.53,13.78,12.77,12.79
1/13/2005,13.34,13.42,12.59,13.07
1/14/2005,13.14,13.28,12.62,12.85
1/18/2005,13.48,13.66,12.56,12.67
1/19/2005,13.18,13.79,12.77,13.74
1/20/2005,14.14,14.52,13.8,14.34
1/21/2005,14.15,14.55,13.43,14.55
1/24/2005,14.63,14.66,13.88,14.53
1/25/2005,14.02,14.23,13.41,13.63
1/26/2005,13.44,13.6,12.78,13.07
1/27/2005,13.23,13.34,12.76,12.78
1/28/2005,12.97,13.58,12.6,13.33
1/31/2005,12.69,12.97,12.3,12.37
2/1/2005,12.64,12.77,11.6,11.62
2/2/2005,12.0,12.05,11.22,11.38
2/3/2005,11.85,12.24,11.71,11.78
2/4/2005,12.04,12.04,10.75,10.92
2/7/2005,11.24,11.48,11.1,11.21
2/8/2005,11.57,11.57,11.08,11.22
2/9/2005,11.45,12.14,11.42,12.12
2/10/2005,12.05,12.28,11.38,11.54
2/11/2005,11.73,11.87,11.06,11.33
2/14/2005,11.75,11.86,11.43,11.59
2/15/2005,11.69,11.69,11.14,11.4
2/16/2005,11.74,11.83,11.1,11.31
2/17/2005,11.29,12.04,11.18,11.68
2/18/2005,12.06,12.07,10.9,11.05
2/22/2005,12.01,12.92,11.51,12.83
2/23/2005,12.74,12.79,11.9,12.28
2/24/2005,12.19,12.45,11.17,11.3
2/25/2005,11.37,11.4,10.86,11.27
2/28/2005,11.79,12.36,11.54,11.86
3/1/2005,11.77,12.16,11.63,11.78
3/2/2005,12.6,12.78,12.17,12.59
3/3/2005,12.65,13.24,12.39,12.56
3/4/2005,12.43,12.5,11.96,12.05
3/7/2005,12.06,12.13,11.6,11.64
3/8/2005,11.98,12.25,11.75,11.95
3/9/2005,12.32,12.79,11.98,12.59
3/10/2005,12.89,13.03,12.44,12.53
3/11/2005,12.6,13.16,12.4,12.96
3/14/2005,13.09,13.39,12.59,12.62
3/15/2005,12.68,13.11,12.31,12.85
3/16/2005,13.74,14.23,13.4,13.85
3/17/2005,13.58,13.92,13.15,13.51
3/18/2005,13.49,13.88,12.84,12.9
3/21/2005,13.19,13.7,12.77,12.97
3/22/2005,12.98,13.97,11.87,13.75
3/23/2005,13.88,14.13,13.23,13.39
3/24/2005,13.14,13.19,12.28,12.88
3/28/2005,13.09,13.15,12.74,13.15
3/29/2005,13.24,14.06,12.88,13.93
3/30/2005,13.95,14.14,13.09,13.3
3/31/2005,13.38,13.84,13.3,13.62
4/1/2005,13.18,14.49,13.03,13.97
4/4/2005,14.19,14.54,13.36,13.49
