Date,Open,High,Low,Close
3/16/2011,45.3,46.56,44.17,45.97
3/17/2011,45.05,45.42,44.43,44.75
3/18/2011,44.06,44.13,41.85,42.3
3/21/2011,43.3,43.31,40.26,40.68
3/22/2011,40.42,41.07,40.24,40.36
3/23/2011,40.16,40.18,39.01,39.18
3/24/2011,40.05,40.87,39.71,40.59
3/25/2011,40.21,40.41,39.33,39.55
3/28/2011,41.07,41.07,39.71,39.99
3/29/2011,39.84,39.86,38.89,39.07
3/30/2011,39.03,39.4,38.03,38.1
3/31/2011,38.34,38.89,37.62,37.77
4/1/2011,38.03,38.33,37.02,37.09
4/4/2011,37.91,37.91,36.46,36.46
4/5/2011,36.88,37.01,36.16,36.48
4/6/2011,36.75,36.91,36.08,36.59
4/7/2011,36.84,36.85,35.54,36.11
4/8/2011,36.31,37.08,35.74,37.08
4/11/2011,37.99,40.44,37.53,40.23
4/12/2011,40.18,41.51,39.72,40.06
4/13/2011,39.18,40.14,38.93,39.51
4/14/2011,39.68,40.57,38.96,40.42
4/15/2011,40.91,42.15,40.86,41.56
4/18/2011,43.25,51.24,42.42,43.75
4/19/2011,44.66,44.66,40.4,40.56
4/20/2011,41.07,43.7,39.98,43.06
4/21/2011,43.91,47.25,43.44,47.16
4/25/2011,52.37,54.83,51.46,54.48
4/26/2011,48.33,52.67,48.33,50.87
4/27/2011,50.5,52.1,49.78,52.01
4/28/2011,53.25,54.94,51.77,52.99
4/29/2011,53.68,54.62,52.85,53.71
5/2/2011,58.06,60.46,56.29,60.46
5/3/2011,58.74,61.43,57.34,60.62
5/4/2011,59.06,62.72,58.79,59.4
5/5/2011,61.25,72.43,60.95,72.08
5/6/2011,70.89,70.89,65.74,66.5
5/9/2011,68.85,68.85,64.16,64.29
5/10/2011,62.96,63.25,58.16,58.53
5/11/2011,57.86,62.09,56.6,60.98
5/12/2011,65.04,67.27,63.37,64.32
5/13/2011,63.23,67.36,62.84,63.08
5/16/2011,65.93,66.27,62.5,65.99
5/17/2011,64.36,64.81,59.94,60.51
5/18/2011,58.27,58.33,54.57,54.65
5/19/2011,53.35,53.95,51.55,51.57
5/20/2011,51.51,51.98,49.61,49.89
5/23/2011,51.6,51.6,48.25,48.3
5/24/2011,48.1,48.56,47.11,47.67
