Date,Open,High,Low,Close
3/16/2011,28.99,33.52,28.65,32.16
3/17/2011,30.24,30.56,28.67,29.36
3/18/2011,28.47,28.88,27.71,28.56
3/21/2011,27.16,27.2,25.63,26.21
3/22/2011,26.15,26.17,25.58,25.71
3/23/2011,26.0,26.23,24.89,24.96
3/24/2011,24.71,25.38,24.48,24.49
3/25/2011,24.44,24.53,23.49,24.01
3/28/2011,25.03,25.09,24.22,24.74
3/29/2011,24.87,25.03,24.25,24.56
3/30/2011,24.1,24.83,23.98,24.08
3/31/2011,24.02,24.45,23.71,24.45
4/1/2011,23.75,23.95,23.46,23.81
4/4/2011,24.27,24.37,23.99,24.05
4/5/2011,24.25,24.26,23.26,23.37
4/6/2011,22.96,24.06,22.96,23.92
4/7/2011,24.22,24.83,23.63,23.77
4/8/2011,23.63,24.85,23.34,24.84
4/11/2011,24.12,24.43,22.52,23.99
4/12/2011,25.34,26.32,24.84,24.94
4/13/2011,24.21,25.2,24.15,25.12
4/14/2011,25.9,26.01,23.34,23.59
4/15/2011,23.88,24.12,22.94,23.16
4/18/2011,25.93,26.27,24.01,24.12
4/19/2011,24.33,24.33,22.23,22.27
4/20/2011,21.12,21.48,20.78,21.16
4/21/2011,21.4,21.54,20.92,21.28
4/25/2011,23.46,23.65,22.97,23.44
4/26/2011,23.62,23.62,22.58,22.81
4/27/2011,22.86,24.04,22.86,23.16
4/28/2011,23.56,23.78,22.8,23.13
4/29/2011,23.13,23.14,22.23,22.88
5/2/2011,23.78,25.16,23.77,24.96
5/3/2011,25.61,27.74,25.56,26.72
5/4/2011,26.88,29.15,26.47,26.95
5/5/2011,28.06,31.04,26.97,30.34
5/6/2011,29.1,29.1,26.78,28.73
5/9/2011,29.28,29.28,26.21,26.7
5/10/2011,26.57,26.75,25.14,25.47
5/11/2011,26.05,28.58,26.05,27.96
5/12/2011,28.56,30.43,28.06,28.29
5/13/2011,28.05,29.45,27.39,28.45
5/16/2011,29.67,29.85,27.55,29.23
5/17/2011,29.62,29.75,28.34,28.37
5/18/2011,28.08,28.24,26.16,27.04
5/19/2011,26.82,27.53,26.56,26.68
5/20/2011,26.92,27.55,25.74,26.43
5/23/2011,29.34,29.34,27.48,27.53
5/24/2011,26.95,26.95,25.61,26.03
5/25/2011,26.49,26.49,24.69,24.93
5/26/2011,25.1,25.23,24.05,24.13
5/27/2011,23.86,23.94,23.26,23.44
5/31/2011,23.74,24.18,23.53,23.53
6/1/2011,23.75,25.51,23.56,25.51
6/2/2011,25.62,26.01,25.05,25.41
6/3/2011,27.16,27.23,24.39,25.28
6/6/2011,26.46,27.34,26.19,27.31
6/7/2011,26.85,27.3,25.94,26.42
6/8/2011,26.66,27.08,26.1,26.97
6/9/2011,26.92,27.13,24.66,25.0
6/10/2011,25.77,27.06,25.6,26.93
6/13/2011,27.69,28.61,27.14,28.15
6/14/2011,27.59,27.6,25.61,26.13
6/15/2011,27.63,29.21,26.78,29.06
6/16/2011,28.99,31.58,28.51,30.12
6/17/2011,29.46,30.38,28.92,29.46
6/20/2011,30.87,30.89,27.74,28.08
6/21/2011,27.57,27.57,24.47,25.57
6/22/2011,26.12,26.14,24.24,25.45
6/23/2011,27.28,28.35,26.21,26.36
6/24/2011,26.29,28.39,26.07,28.25
6/27/2011,29.52,29.69,27.36,27.84
6/28/2011,27.42,27.46,25.82,25.91
6/29/2011,25.8,26.07,24.35,25.01
6/30/2011,24.66,24.69,23.12,23.44
7/1/2011,23.88,24.19,22.7,22.8
7/5/2011,23.97,23.98,23.05,23.37
7/6/2011,24.01,24.57,23.93,24.0
7/7/2011,23.17,23.74,23.01,23.4
7/8/2011,24.8,24.8,23.53,23.58
7/11/2011,25.51,25.64,24.58,25.25
7/12/2011,26.08,26.28,24.7,26.17
7/13/2011,25.76,25.97,24.68,25.25
7/14/2011,24.98,27.69,24.95,27.32
7/15/2011,26.96,27.04,25.71,26.15
7/18/2011,27.73,27.79,27.29,27.34
7/19/2011,26.66,26.66,24.64,24.83
7/20/2011,24.61,25.44,24.61,24.92
7/21/2011,24.41,24.82,23.51,24.22
7/22/2011,24.15,25.54,23.63,25.21
7/25/2011,27.53,27.53,25.9,26.47
7/26/2011,26.83,26.89,25.86,26.49
7/27/2011,27.35,29.15,27.16,27.93
7/28/2011,28.37,29.18,27.47,29.18
7/29/2011,30.58,30.92,29.68,30.17
8/1/2011,29.15,31.0,28.87,29.19
8/2/2011,29.92,30.22,27.99,30.22
8/3/2011,29.87,37.26,29.5,29.53
8/4/2011,31.05,39.18,31.05,39.17
8/5/2011,37.07,45.23,36.87,40.47
8/8/2011,45.05,52.46,44.37,52.04
